09年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-40,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂイズミコマンダｰ, 64,池添謙,, 63,* -6,*  7, 3,  5.0,②②②, 1, 9,Ａゼットサンサン, 77,デムｰ,, 72,  -6,* 13, 1,  1.5, ⑤⑥, 1, 8,Ｄダイシンオレンジ, 75,川田将,, 80,*  8,* 12, 4,  5.8,②②②, 1, 2,Ｆアンライバルド, 62,岩田康,, 81,   4,* 11, 1,  2.0,⑧⑥⑤
 2, 4,Ｉパルクエスト, 46,デムｰ, 0.1, 62,* -5,*  5, 6, 44.1,①①①, 2, 8,Ｅエイシンクエスト, 68,浜中俊, 0.2, 70,* -2,   7, 4, 14.7, ②②, 2,11,Ｃニュｰイチトク, 77,小牧太, 0.4, 77,*  7,* 10, 3,  4.8,③③③, 2, 1,Ｂメイショウドンタク, 73,小牧太, 0.6, 74,*  7,  -3, 2,  4.3,③④③
 3, 1,Ａフィロンルｰジュ, 66,岩田康, 1.3, 54,  -8,   0, 1,  2.1,⑧⑧⑧, 3, 4,Ｆフィｰルドチャペル, 68,幸英明, 0.4, 68,* -1,   5, 5, 16.3, ①①, 3, 5,Ｂトシセント, 80,岩田康, 0.8, 74,   6,*  8, 1,  2.5,⑤⑤⑤, 3, 4,Ｄガウディ, 66,福永祐, 0.7, 77,   2,*  7, 3,  6.5,⑩⑩⑩
 4, 5,Ｄヴィｰヴァシラオキ, 54,藤岡佑, 1.4, 53,  -7,  -4, 4, 12.9,③④③, 4, 5,Ｂマルカフリｰト, 73,福永祐, 0.6, 67,  -5,   8, 3,  6.3, ④④, 4,13,Ａゴｰルドスミス, 81,福永祐, 1.8, 68,   4,   3, 2,  3.0,⑩⑩⑥, 4, 7,Ｇトップクリフォｰド, 59,川田将, 1.2, 68,   3,  -4, 7, 28.6,⑥⑦⑧
 5,11,Ｆナタｰシャ, 49,和田竜, 1.6, 52,  -6,  -4,11,228.2,⑥⑥⑥, 5, 3,Ｃタマモトワイライト, 73,小林徹, 0.6, 67, -11,* 13, 6, 19.9, ⑨⑩, 5, 4,Ｇラバｰソウル, 68,幸英明, 1.9, 65,*  8,  -5, 9,137.7,①①①, 5,10,Ｅマイベストソング, 66,ルメｰ, 1.3, 68,   5,  -8, 5,  8.8,④⑤⑥
 6, 6,Ｌアリソンイモン, 39,渡辺薫, 2.0, 53,  -8,  -4,12,264.1,⑩⑪⑩, 6, 7,Ｄメイショウマレンゴ, 69,藤岡佑, 0.8, 65,  -6,   7, 2,  5.1, ⑥⑤, 6, 1,Ｉシルクヘラクレス, 66,和田竜, 2.0, 65,*  7,  -4, 6, 22.9,④④④, 6, 6,Ｃコパノカミ, 72,藤岡佑, 1.3, 66,*  8, -17, 4,  7.8,①①①
 7,13,Ｅピサノロンドフォル, 53,浜中俊, 2.0, 50,* -6,  -9, 7, 55.5,⑤⑤⑤, 7, 1,Ｈスマイルミッキｰ, 61,石橋脩, 1.0, 63,  -8,   7, 7, 54.2, ⑦⑦, 7,12,Ｆステラパラダイス, 74,四位洋, 2.0, 66,   4,   2, 5, 21.7,⑪⑪⑦, 7, 8,Ａキクノアポロ, 73,石橋脩, 1.4, 68,   3,  -7, 6, 25.1,⑨⑧⑨
 8,10,Ｃスイｰトマトルｰフ, 57,川田将, 2.1, 49,  -8,  -8, 2,  2.6,⑦⑦⑦, 8,10,Ｇタムロウイング, 63,佐藤哲, 1.0, 63,  -8,   7, 9, 78.6, ⑧⑧, 8, 7,Ｈエプソムスタウト, 68,浜中俊, 2.1, 66,   5,   1,10,160.1,⑨⑧⑩, 8, 5, ピｰスオブパワｰ,---,浜中俊, 1.7, 67,   3,  -9, 9,151.8,⑦⑨⑦
 9, 2,Ｇシルクボヌｰル, 48,小林徹, 2.2, 49,  -8,  -7,13,292.2,⑪⑨⑨, 9, 2,Ｉカシノヘラクレス, 60,小坂忠, 1.7, 57, -12,   4,10,169.7, ⑩⑨, 9, 6,Ｍバブルガムロｰマン, 53,秋山真, 3.2, 58,   4,  -9,12,285.1,⑧⑨⑨, 9, 9,Ｈコンゴウ, 52,和田竜, 2.3, 59,*  8, -28, 8, 36.1,②②②
10, 7,Ｈオカゲサマデ, 46,福永祐, 2.9, 43,* -6, -18, 5, 29.2,④③④,10, 6,Ｋテイエムプレストン, 43,小牧太, 1.8, 56, -13,   4, 8, 65.8, ⑪⑪,10, 2,Ｅゴｰルデンラダｰ, 75,熊沢重, 3.5, 57,   5, -11, 8,125.8,⑦⑦⑧,10, 3,Ｉプルプル, 49,佐藤哲, 2.9, 54,   6, -33,10,212.4,⑤③④
