09年 5月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 7R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ2300m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東海ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａタニノスバル, 65,木村健,, 65,* -7,*  5, 1,  1.7, ②②, 1, 2,Ｃディアマジェスティ, 58,柴原央,, 63,   3,*  3, 3,  7.2,⑤⑤⑤, 1,12,Ｂユメイッポ, 73,藤岡佑,, 71,   3,   1, 1,  3.0, ⑥⑥, 1,14,Ｄワンダｰスピｰド, 93,小牧太,, 92,* 15,* 16, 2,  4.2,④③③
 2,11,Ｃオｰトクチュｰル, 59,川田将, 0.3, 61,* -6,  -1, 2,  4.3, ①①, 2, 9,Ｆスナｰクツバサ, 55,赤木高, 0.0, 61,*  4,  -2, 8, 24.9,③②②, 2,11,Ｃラッキｰバニヤン, 68,川田将, 0.0, 71,  -5,*  8, 2,  3.2, ⑨⑧, 2,16,Ｅアロンダイト, 91,和田竜, 0.2, 89,* 14,  12, 3,  9.3,⑤①①
 3, 6,Ｅマジカルレッド, 55,池添謙, 0.7, 57, -15,*  3, 4, 12.8, ⑧⑥, 3, 4,Ｅテイケイメルベイユ, 56,熊沢重, 0.4, 60,*  3,  -3,11, 45.0,②③③, 3,17,Ｅビビッドビビアン, 67,石橋守, 0.3, 67, -14,* 14,10, 56.3, ⑰⑯, 3, 4,Ｍボランタス, 87,池添謙, 0.3, 90,  13,* 17, 4, 12.4,⑨⑦⑥
 4,10,Ｈプリティファイナル, 44,浜中俊, 0.7, 57,*-10,  -2, 8, 53.8, ⑤③, 4, 7,Ａゴｰルデンロｰズ, 61,田中克, 1.1, 57,  -2,*  0,10, 35.1,⑩⑩⑧, 4,14,Ａサトノウインク, 74,北村宏, 0.5, 62,  -6,   3, 6, 18.7, ⑪⑪, 4,15,Ｃマコトスパルビエロ, 96,安部幸, 0.5, 87,* 14,  10, 8, 21.2,⑥②②
 5, 4,Ｋコｰトスタｰ, 37,幸英明, 1.1, 53, -10,  -5,12, 97.3, ④⑤, 5,15,Ｈドレッシｰ, 52,川田将, 1.2, 55,   2,  -7, 5,  9.1,⑦⑥⑦, 5,10,Ｍハｰトランドノリカ, 56,長谷川, 0.6, 63, -10,   6,18,391.6, ⑭⑭, 5, 8,Ｈエスケｰカントリｰ, 91,秋山真, 0.8, 87,  12,* 15, 7, 16.9,⑯⑫⑪
 6, 9,Ｂハギノハニｰ, 64,北村宏, 1.1, 52, -23,*  6, 7, 25.6, ⑬⑭, 6,13,Ｊサンライズゲイリｰ, 50,生野賢, 1.2, 54,   1,  -4, 6, 18.2,⑧⑦⑥, 6,13,Ｊセレスマン, 58,赤木高, 0.6, 62,  -2,  -2,16,190.0, ⑧⑨, 6, 2,Ｎクリｰン, 86,生野賢, 1.2, 84,  12,  12,15,160.4,⑪⑪⑩
 7, 5,Ｌメメミルキッシュ, 34,安藤光, 1.2, 50, -15,  -3,17,215.5, ⑦⑧, 7, 6,Ｄオモイノママニ, 56,安部幸, 1.6, 51,*  5, -15, 4,  8.2,①①①, 7,18,Ｆファンドリキセキ, 67,池添謙, 0.6, 63,  -3,  -1, 9, 35.7, ⑩⑩, 7, 7,Ｇエプソムアｰロン, 91,安藤光, 1.3, 84,  13,  10,14,154.0,⑩⑨⑨
 8, 8,Ｆスエヒロブリリアン, 55,安部幸, 1.3, 49, -19,  -1, 5, 16.0, ⑩⑩, 8,16,Ｎエｰティｰバッハ, 35,幸英明, 1.9, 51,  -3,  -3,14,160.4,⑬⑫⑩, 8, 9,Ｒステラクッキｰ, 49,生野賢, 0.7, 62,  -8,   4,13, 73.9, ⑬⑫, 8,11,Ｊメイショウトウコン, 90,石橋守, 1.4, 86,  13,   9, 6, 14.6,⑬⑧⑦
