09年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松戸特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃニシキホマレ, 53,吉田豊,, 51,* -5,* -6, 6, 19.3,⑤③④, 1, 2, モルフェサイレンス,,大江原,,,,, 1,  3.0,⑦③③, 1, 8,Ｈダイショウベリｰ, 61,石神深,, 70,*  5,*  2, 5,  8.0,①①①, 1, 6,Ｂオメガファルコン, 82,松岡正,, 83,* 12,* 10, 4,  6.3,③②②
 2, 1,Ｄオンマイマインド, 52,蛯名正, 0.3, 50,  -6,* -7, 3,  5.0,④⑤②, 2,14, エイシンルンナ,,西谷誠,191.9,,,, 4,  8.5,①①①, 2, 7,Ａキュｰトエンブレム, 80,柴田善, 0.2, 69,   3,*  3, 1,  1.9,④③③, 2,13,Ｅダイバクフ, 80,岩田康, 0.4, 82,   7,* 15, 6, 11.5,⑫⑪⑪
 3,16,Ａマイネルマグレブ, 58,松岡正, 0.5, 48,* -5,*-11, 1,  2.4,①①①, 3,12, ユウタｰストライプ,,浜野谷,193.5,,,, 2,  3.0,②②②, 3, 5,Ｇビクトリアスバイオ, 62,田中勝, 0.8, 64,   2,   0, 7, 41.4,⑦⑤④, 3, 5,Ｇトｰホウオルビス, 79,浜中俊, 0.6, 80,* 11,   4, 3,  5.4,①①①
 4, 8,Ｆナムラリョｰマ, 51,後藤浩, 1.5, 41,  -6, -17, 4, 10.2,⑭⑦⑤, 4,13, エイトシｰド,,平沢健,194.6,,,, 5, 14.0,④⑤⑤, 4,11,Ｄパルクエスト, 70,松岡正, 1.0, 62,*  4,  -5, 2,  4.7,②②②, 4, 4,Ａアｰクビスティｰ, 82,勝浦正, 0.9, 77,  10,   5, 1,  4.1,⑤⑤⑤
 5, 6,Ｅメモリｰアンジェロ, 52,岩田康, 2.0, 39,  -7, -19, 2,  3.7,⑥⑧⑧, 5,10, オンワｰドマック,,宗像徹,194.7,,,,10, 51.2,③④④, 5, 4,Ｃバｰニングラブ, 70,内田博, 1.0, 66,   2,  -2, 4,  7.5,⑪⑥⑤, 5, 7,Ｍワｰルドブルｰ, 65,武豊  , 1.2, 77,   8,   6, 8, 16.2,⑪⑩⑧
 6, 2,Ｇケイアイブル, 50,熊沢重, 2.3, 39,  -5, -23, 7, 25.5,②④⑦, 6, 6, ユウフジ,,山本康,194.8,,,,11, 87.1,⑥⑥⑥, 6, 2,Ｂハエヌキ, 71,蛯名正, 1.6, 60,   1,  -4, 3,  6.7,⑧⑨⑧, 6,10,Ｄロｰランウェルズ, 81,武士沢, 1.5, 73,   7,   5,11, 60.1,⑬⑫⑫
 7,13,Ｊヒネラウカタウリ, 37,勝浦正, 2.4, 36,  -6, -24,14,244.6,⑦⑥⑥, 7, 8, メジロファルカル,,穂苅寿,195.4,,,, 9, 45.4,⑧⑧⑦, 7, 9,Ｊクリノマックス, 59,村田一, 1.9, 59,   2,  -9, 8, 55.0,⑤⑦⑦, 7, 8,Ｈグラスゴッド, 79,伊藤工, 1.6, 72,   9,   1,13, 98.9,⑩⑨⑨
 8,12,Ｈエムエムクイｰン, 44,田辺裕, 2.6, 36,  -8, -21,15,271.1,⑬⑩⑪, 8, 9, シャススプリｰン,,高野和,195.5,,,,13,122.2,⑩⑨⑧, 8,10,Ｅヤマニンノベリスト, 68,柴山雄, 3.0, 50,   2, -18,10, 94.2,③④⑥, 8,12,Ｋタイキジャガｰ, 75,後藤浩, 1.6, 72,* 11,  -2, 9, 34.0,⑥④⑥
