09年 1月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａプライムパレス, 67,和田竜,, 68,*  1,*  7, 1,  1.1, ①①, 1, 2, エイシンテンリュｰ,,西谷誠,,,,, 1,  2.0,③③③, 1, 9,Ｃサザンビュｰティｰ, 77,田嶋翔,, 76,   7,*  9, 3,  7.6, ⑦⑤, 1,10,Ｄマチカネハヤテ, 80,田中克,, 87,*  7,  10, 8, 19.0, ①①
 2,13,Ｄマイネスタｰライト, 55,デムｰ, 0.6, 63,*  0,*  3, 2,  8.2, ②③, 2,12, スリｰラスカル,,熊沢重,197.4,,,, 9, 56.7,①①①, 2, 5,Ｈテイエムクレナイ, 68,藤岡佑, 0.4, 74,   9,   4,10, 36.7, ④④, 2,11,Ａセトノアンテウス, 88,安藤勝, 0.2, 85,*  5,  10, 1,  2.6, ③②
 3, 6,Ｆエｰシンファスタｰ, 52,幸英明, 1.3, 56,  -1,  -2, 5, 28.6, ③②, 3, 5, スナｰクムサシ,,仲田雅,197.5,,,, 3,  7.5,②②②, 3,12,Ｅミキノセレナｰデ, 72,幸英明, 0.5, 74,* 12,  -1, 7, 12.8, ②①, 3, 5,Ｊジョイントスタｰズ, 77,西田雄, 0.5, 81,   2,   9,14, 88.6, ⑤⑥
 4, 8,Ｂスタｰサイクル, 57,渡辺薫, 1.4, 57,* -1,  -4, 3, 16.8, ④④, 4, 1, ランドマッハ,,植野貴,198.0,,,, 5, 16.3,⑨⑧⑦, 4, 8,Ｂホットフレイバｰ, 78,田村太, 0.5, 70,   4,   7, 2,  4.0, ⑨⑩, 4,12,Ｉレッドビｰムシチｰ, 78,四位洋, 0.5, 81,   2,   9, 2,  6.4, ⑥⑤
 5, 1,Ｅプレストスペル, 55,田村太, 1.6, 53,  -4,  -2, 8, 89.4, ⑤⑤, 5,13, オウケンハカイダｰ,,高野容,198.1,,,,11,104.7,⑥⑤④, 5, 4,Ｆウレッコ, 71,小牧太, 0.8, 68,  -2,* 11, 4,  7.8, ⑬⑬, 5, 4,Ｈエフテｰストライク, 78,吉田豊, 0.6, 81,   0,  10,10, 35.4, ⑦⑨
 6, 3,Ｃキｰネプチュｰン, 56,畑端省, 1.7, 53,  -5,  -2, 7, 83.4, ⑨⑦, 6, 7, カシノオウジャ,,林満明,198.6,,,,13,175.2,⑦⑥⑥, 6,10,Ｋトシザコジｰン, 62,安藤勝, 1.0, 65,   0,   6, 6, 11.5, ⑫⑫, 6, 9,Ｂサワヤカラスカル, 82,和田竜, 0.6, 82,  -3,* 13, 4,  9.7, ⑪⑪
 7, 2,Ｍデンコウテンパイ, 43,池添謙, 1.8, 53,  -6,   0,11,206.6, ⑫⑧, 7,11, ハストラング,,高田潤,199.3,,,, 6, 23.3,④④⑤, 7, 2,Ｏリバｰキャッスル, 55,秋山真, 1.4, 62,   1,   3,11,179.5, ⑪⑪, 7,14,Ｆランチボックス, 78,池添謙, 0.7, 79,  -1,   9, 6, 12.9, ⑩⑧
 8,10,Ｇシルクトマホｰク, 49,吉田豊, 2.1, 51,  -9,   0,10,161.8, ⑮⑭, 8,14, メイショウセレット,,岩崎祐,199.4,,,,10, 69.6,⑩⑩⑨, 8, 3,Ｊハングインゼア, 63,小林徹, 1.5, 63,  -4,   8,14,421.8, ⑮⑮, 8,13,Ｍエアニックス, 75,秋山真, 0.7, 79,   3,   5,13, 66.9, ④③
 9, 7,Ｊマｰベラスリリｰ, 47,小牧太, 2.1, 50,  -3,  -7, 4, 17.8, ⑥⑥, 9, 6, テイエムモッコス,,金折知,199.5,,,,12,114.6,⑫⑪⑪, 9,13,Ｉマチカネハナアラシ, 66,荻野琢, 1.6, 63,   5,  -4, 9, 23.3, ⑩⑨, 9, 8,Ｇビｰチアイドル, 78,岩田康, 0.8, 77,   0,   8, 3,  6.5, ⑨⑦
