09年 8月 8日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 8日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,信濃川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｈモトヒメ, 42,北村宏,, 67,  -2,*  6, 8, 54.8,   , 1, 6, メジロマシュｰズ,,穂苅寿,,,,, 1,  2.1,⑤④②, 1, 3,Ａヤマノロｰラ, 77,松岡正,, 73,   0,* 14, 1,  2.4,⑤③③, 1, 9,Ｂセイクリッドバレｰ, 88,松岡正,, 89,  10,* 14, 1,  2.8, ⑭⑭
 2, 1,Ｄデｰトマスタｰ, 49,後藤浩, 0.2, 70,*  6,  -3, 5, 12.5,   , 2,11, ユウタｰストライプ,,浜野谷,189.3,,,, 2,  4.6,②②③, 2, 9,Ｉスズカエルマンボ, 65,後藤浩, 0.0, 73,*  2,* 11, 3,  4.5,②②②, 2,10,Ｆトウショウデザｰト, 78,吉田豊, 0.0, 88,  11,* 11, 5, 13.9, ⑫⑬
 3, 9,Ａハｰドパワｰ, 68,松岡正, 0.4, 63,  -2,   0, 1,  1.4,   , 3,10, ウインドストｰム,,平沢健,189.6,,,, 4,  9.4,①①①, 3, 6,Ｅワスレナグサ, 67,的場勇, 0.5, 71,*  3,   4, 4,  9.0,①①①, 3,13,Ｃカネトシソレイユ, 82,蛯名正, 0.3, 84,  11,   7, 9, 22.5, ⑪⑪
 4, 4,Ｆシｰマｰク, 45,吉田豊, 0.5, 63,   2,  -4, 2,  7.4,   , 4, 8, グレｰトバルサｰ,,石神深,190.7,,,, 3,  5.6,③③④, 4,11,Ｊウインプレセア, 63,武豊  , 0.5, 71,*  1,   8, 2,  3.5,③④④, 4,14,Ａダイワオｰジｰ, 89,的場勇, 0.3, 82,  14,   3, 3,  6.9, ⑧⑧
 5, 8,Ｂオリオンザポラリス, 59,田辺裕, 0.5, 60,  -5,   0, 3,  9.4,   , 5, 5, スルｰザグリｰン,,柴田未,191.3,,,, 8, 28.5,⑪⑦⑦, 5, 2,Ｂオｰルフォｰミｰ, 70,伊藤工, 0.9, 65,   0,   8, 8, 50.5,⑥⑥⑤, 5, 3,Ｈメジロラフィキ, 77,川田将, 0.4, 82,* 16,  -6, 6, 14.2, ②②
 6, 3,Ｇブルｰムｰンブルｰ, 43,大野拓, 1.0, 52,  -9,  -4, 7, 51.7,   , 6, 2, カシマレジェンド,,佐藤聖,191.4,,,, 6, 24.2,⑨⑤⑤, 6, 1,Ｌアデニウム, 59,鷹野宏, 1.0, 68,   0,   8,10,108.7,④⑦⑦, 6, 8,Ｉメインストリｰム, 77,武豊  , 0.4, 84,  10,* 10, 2,  3.4, ⑯⑮
 7, 5,Ｅツｰピｰスルｰラｰ, 47,木幡初, 1.4, 51,   3, -18, 6, 18.4,   , 7, 9, ガイアヘッド,,横山義,191.4,,,, 7, 25.8,⑦⑥⑥, 7,10,Ｇマキハタセンシブル, 67,高山太, 1.9, 64,  -2,   5,12,359.2,⑫⑪⑩, 7, 6,Ｎマイネエアウエイ, 71,木幡初, 0.7, 81,  13,   0,13,122.2, ⑨⑨
 8,11,Ｃリュウジョ, 50,田中勝, 1.7, 46,   3, -22, 4, 10.5,   , 8, 7, スズノユｰフォｰド,,大江原,192.9,,,,12, 80.7,④⑩⑩, 8, 7,Ｃニコニコママ, 70,北村宏, 1.9, 59,   0,   0, 6, 15.6,⑨⑧⑧, 8,12,Ｏリヴィエラブルｰ, 69,田中勝, 0.7, 82,   9,   6,12,116.0, ⑮⑯
 9, 7,Ｋラブキンバリｰ, 23,吉田隼, 1.9, 38, -10, -15,10,289.7,   , 9, 1, ヤマニンパルファン,,柴田大,193.5,,,,11, 77.6,⑩⑨⑧, 9,12,Ｆビュｰティファイン, 67,蛯名正, 2.1, 59,   0,  -3, 5, 13.6,⑦⑤⑥, 9,11,Ｄシングンレジェンド, 81,武士沢, 0.7, 81,  10,   7, 8, 16.9, ⑰⑰
10, 6,Ｊゼアグｰト, 31,小林淳, 1.9, 38, -17, -11, 9,218.8,   ,10, 3, グラスハｰブ,,山本康,194.7,,,,10, 62.4,⑥⑧⑨,10, 4,Ｈコスモディアナ, 67,石橋脩, 2.4, 57,  -1,  -3, 7, 34.4,⑪⑨⑨,10,17,Ｅアマミスウィフト, 78,北村宏, 0.8, 77,  11,   0,16,163.7, ⑬⑫
11, 2,Ｉトｰセンクラッチ, 34,柴山雄, 2.0, 40, -21,  -9,10,289.7,   ,11,12, メジロファルカル,,江田勇,195.1,,,, 5, 11.9,⑧⑪⑪,11,13,Ｄヤマニンノベリスト, 70,池崎祐, 3.0, 53,  -1,  -8,11,151.0,⑩⑩⑪,11,15,Ｋドモナラズ, 75,後藤浩, 1.1, 76,  14, -12, 7, 15.1, ⑥⑥
