09年11月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,きんもくせい特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂフリｰクヒロイン, 64,小林徹,, 63,*  1,* -3, 4, 11.9, ①①, 1,12,Ｃゼットオｰラ, 69,松田大,, 74,  -3,*  9, 2,  5.3, ⑥⑥, 1, 3,Ｃタカラサンデｰ, 74,中舘英,, 72,* 12,  -7, 1,  2.5,①①①, 1, 3,Ａテｰオｰケンジャ, 71,藤岡康,, 66,  -8,   8, 3,  5.3,⑥⑥⑥
 2, 3,Ｃトｰセンキャッスル, 62,菅原勲, 0.3, 59,* -1,  -4, 2,  5.3, ③③, 2,10,Ｄラヴファンタジスタ, 68,上村洋, 0.2, 71,*  0,   3, 3,  6.2, ④③, 2,10,Ｅインテンスブルｰ, 69,江田照, 0.0, 72,   9,   0, 7, 22.1,⑩④③, 2, 1,Ｅエイシンナナツボシ, 56,上村洋, 0.1, 64,* -7,   2, 8, 28.6,①①①
 3, 1,Ｎビレッジホワイト, 39,丹内祐, 0.4, 57,  -4,* -2, 5, 19.9, ⑥④, 3, 5,Ｍリキサンシンオｰ, 60,柴原央, 0.7, 64,  -8,   5, 8, 17.4, ⑨⑩, 3,15,Ａピｰスキｰパｰ, 77,藤岡康, 0.1, 71,* 12,  -5, 2,  5.3,②②②, 3, 2,Ｂロフティｰクリフ, 69,丹内祐, 0.3, 62,  -8,   2, 1,  2.7,③④②
 4, 6,Ｉライジングタイド, 47,高橋智, 0.8, 50,  -8,* -3, 9, 42.4, ⑪⑩, 4,11,Ａマヤノアンズ, 70,菅原勲, 0.8, 63,  -6,   2,14,110.4, ⑩⑧, 4,12,Ｋメイショウケンロク, 61,小林徹, 0.2, 72,   4,* 10, 8, 23.9,⑭⑮⑫, 4, 5,Ｄカワキタコマンド, 61,田辺裕, 0.3, 62,  -8,   2, 4,  7.5,④⑤⑤
 5,15,Ｍニジイロノホシ, 41,的場勇, 1.3, 51,*  1, -14,15,180.0, ②②, 5, 6,Ｈタニノスバル, 65,藤岡康, 0.8, 63,*  0,  -4, 5,  7.6, ③②, 5, 8,Ｆキングウェｰルズ, 67,坂井英, 0.4, 70,   7,*  2, 3,  6.4,⑬⑫⑨, 5, 4,Ｆアカシロｰレル, 53,村田一, 0.5, 62, -11,   5, 5, 14.4,⑦⑦⑧
 6,11,Ｆコアレススキャン, 50,芹沢純, 1.5, 44,  -5, -11, 6, 25.7, ⑨⑥, 6, 8,Ｂミサトバレｰ, 70,荻野琢, 1.0, 60, -15,*  7,13, 92.1, ⑯⑭, 6,16,Ｇジョイザラス, 66,津村明, 0.4, 69,   8,  -1,13, 77.1,⑨⑧⑦, 6, 8, リュウノボｰイ,---,菅原勲, 0.5, 65, -13,* 11, 6, 17.0,⑧⑧⑦
 7, 4,Ｊマイハｰトスロブス, 45,丸山元, 1.5, 44, -12,  -5,14,143.3, ⑯⑬, 7,13,Ｌポパイザセｰラマン, 62,二本柳, 1.0, 60, -11,   3,11, 43.5, ⑭⑪, 7, 1,Ｊコアレスランナｰ, 63,荻野琢, 0.4, 68,   8,   0,12, 63.1,⑦⑩⑧, 7, 7,Ｃベビｰネイル, 69,中舘英, 0.6, 59,* -7,  -4, 2,  2.7,⑤③④
 8,14,Ｄマリンバラッド, 59,坂井英, 1.6, 44,  -8,  -9, 3,  9.0, ⑬⑫, 8, 7,Ｆフェルミオン, 67,村田一, 1.1, 61, -10,   3, 6, 10.3, ⑬⑬, 8, 2,Ｉロイヤルダリア, 64,鷹野宏, 0.9, 64,   8,  -7, 4,  8.0,⑧⑪⑪, 8, 6, メジャｰテｰスト,---,吉田隼, 1.8, 43,* -7, -20, 7, 27.7,②②③
 9,13,Ａケイアイカミｰリア, 68,中舘英, 2.3, 37,  -6, -17, 1,  1.6, ⑩⑨, 9, 9,Ｇウィザｰスプｰン, 65,木幡初, 1.3, 56,  -3,  -8, 4,  6.5, ⑤⑤, 9, 9,Ｌトウショウパンサｰ, 58,田中博, 1.4, 61,   9, -16,10, 27.5,④⑥⑩,,,,,,,,,,,,
10,12,Ｇキセキ, 48,吉田隼, 2.6, 34, -11, -15,11, 62.3, ⑮⑮,10,14,Ｊムｰヴ, 63,西田雄, 1.4, 56,  -6,  -5,15,179.5, ⑪⑨,10,14,Ｂトｰホウホｰプ, 76,吉田隼, 1.4, 60,* 11, -20, 9, 27.3,⑥③④,,,,,,,,,,,,
11, 2,Ｅリュウジョ, 55,木幡初, 2.7, 34,  -3, -23, 8, 34.6, ⑤⑦,11, 4,Ｉマチカネモンスｰン, 63,古川吉, 1.5, 55,*  0, -13,10, 23.1, ②④,11, 5,Ｈアコガレノダンス, 64,石橋脩, 1.7, 58,   7, -15, 5, 10.4,⑪⑬⑭,,,,,,,,,,,,
12, 7,Ｋチャメ, 44,小野次, 2.8, 32, -11, -17,10, 54.0, ⑭⑯,12, 1,Ｅコチャ, 68,小野次, 1.6, 54, -11,  -4, 7, 16.5, ⑫⑮,12, 6,Ｄコンプトゥス, 72,渡辺薫, 1.8, 55,   9, -24, 6, 15.1,⑤⑦⑤,,,,,,,,,,,,
13,16,Ｈコスモサプライズ, 48,大野拓, 2.9, 32,  -5, -23,16,189.3, ⑧⑧,13, 3,Ｐグランドロｰザ, 52,柄崎将, 1.9, 49, -14,  -4,16,479.9, ⑮⑯,13,13,Ｏレオタツオｰ, 37,大野拓, 2.0, 54,   5, -18,11, 44.5,⑮⑭⑮,,,,,,,,,,,,
14,10,Ｌツナミストｰム, 42,宮崎北, 2.9, 30,  -8, -21,13,134.6, ⑫⑭,14, 2,Ｎドリｰムブランチ, 58,伊藤直, 2.1, 47,  -5, -16,12, 61.4, ⑧⑦,14, 4,Ｍハギノハニｰ, 57,鮫島良, 2.5, 50,   9, -33,15,166.4,③⑤⑥,,,,,,,,,,,,
15, 9,Ｏネコキック, 35,江田照, 3.0, 33,  -2, -27, 7, 25.8, ④⑤,15,16,Ｏホｰマンライズ, 56,坂井英, 2.5, 42,*  3, -29, 9, 21.9, ①①,15, 7,Ｎウインモンスタｰ, 56,二本柳, 3.2, 43,   8, -40,14, 98.4,⑫⑨⑬,,,,,,,,,,,,
16, 8,Ｐタケデンマｰブル, 33,国分優, 3.1, 31,  -5, -26,12,113.2, ⑦⑪,16,15,Ｋリルティングソング, 62,中舘英, 3.4, 31,  -2, -35, 1,  3.9, ⑦⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
