09年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,関西ﾃﾚﾋﾞ放送賞ﾛｰｽﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃセトノメジャｰ, 52,古川吉,, 67,*  3,* -1, 1,  2.9,①①①, 1, 4, マイネルテセウス,,小坂忠,,,,, 3,  4.5,①①①, 1, 1,Ｅオｰクヒルズ, 74,藤岡佑,, 75,   1,* 13, 2,  4.0,③③④, 1, 4,Ｄブロｰドストリｰト, 83,藤田伸,, 90,  15,*  5, 5, 28.2, ⑧⑨
 2, 4,Ｆウイントランザム, 46,松山弘, 0.5, 61,*  1,  -3, 6,  8.0,③③③, 2, 9, ゴｰルデンカイザｰ,,北沢伸,198.6,,,, 1,  2.9,③②②, 2,10,Ｈアドマイヤインディ, 73,川田将, 0.2, 73,*  2,   9, 4,  7.2,②②②, 2,11,Ｂレッドディザイア, 87,四位洋, 0.0, 90,  13,*  8, 1,  1.4, ⑬⑭
 3, 2,Ｄメイショウエバモア, 52,後藤浩, 0.5, 62,   1,*  0, 4,  6.4,④④④, 3, 2, ワンダｰパｰトナ,,植野貴,199.3,,,, 2,  3.2,④③③, 3, 6,Ｋカスガ, 72,松山弘, 0.5, 69,   0,* 10, 3,  6.2,⑧⑦⑦, 3,13,Ｋクｰデグレイス, 80,川田将, 0.2, 87,* 19,  -6,10, 66.7, ②②
 4, 3,Ｅマイネルラディウス, 48,佐藤哲, 0.8, 60,*  2,  -6, 3,  5.4,②②②, 4, 5, エｰシンダボｰブイ,,西谷誠,201.8,,,, 4,  7.8,②④④, 4,11,Ｂホクトスワン, 77,鮫島良, 1.0, 69,  -2,   9,10, 34.6,⑩⑩⑪, 4, 9,Ｃミクロコスモス, 85,武豊  , 0.5, 83,  14,  -1, 2,  7.6, ⑯⑪
 5,10,Ｈスｰサンストリｰム, 44,和田竜, 1.5, 58,  -1,  -6, 7, 21.4,⑥⑥⑥, 5, 1, シｰスピアｰ,,白浜雄,202.1,,,,11, 92.2,⑦⑦⑦, 5,12,Ａアマゾネスバイオ, 78,国分恭, 1.1, 71,  -2,   8, 1,  2.9,⑬⑪⑨, 5, 5,Ａボンバルリｰナ, 89,佐藤哲, 0.7, 80,  13,  -2,11, 69.4, ⑫⑬
 6, 6,Ｌナリタシルクロｰド,  8,熊沢重, 1.6, 58,  -3,  -3, 8, 39.5,⑫⑨⑧, 6,12, メイショウデイジｰ,,菊地昇,202.5,,,,10, 88.2,⑥⑤⑤, 6, 5,Ｉパｰプルスタｰ, 72,安藤光, 1.2, 64,*  1,   1, 9, 29.9,④④③, 6,17,Ｍチャｰムポット, 76,和田竜, 0.8, 80,* 17, -12,13,148.3, ③④
 7, 7,Ａマイネルセラｰノス, 55,幸英明, 1.9, 53,   1, -12, 5,  8.0,⑤⑤⑤, 7, 3, カシノダンク,,高野容,202.8,,,, 9, 85.5,⑧⑧⑧, 7, 3,Ｇオｰミメリッサ, 73,川島信, 1.2, 69,  -2,* 10,13,151.9,⑪⑬⑬, 7,10,Ｎイイデエｰス, 76,秋山真, 0.8, 81,  16,  -9,15,207.3, ⑤⑤
 8, 5,Ｂペプチドルパン, 52,岩田康, 2.8, 49,  -2, -16, 2,  5.0,⑦⑦⑦, 8, 7, タムロスタｰディ,,高井彰,202.9,,,, 6, 16.7,⑤⑥⑥, 8, 7,Ｊオｰスミマコ, 72,幸英明, 1.5, 65,  -2,   5,12, 57.6,⑫⑫⑫, 8, 7,Ｇアイアムカミノマゴ, 82,小牧太, 0.9, 80,  12,  -2,12, 86.2, ⑭⑯
