09年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,下総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａモアザンストｰム, 68,伊藤工,, 61,*-11,*  6, 2,  5.1, ②②, 1,12, ダイワハｰキュリｰ,---,松岡正,, 52, -15,   3, 1,  1.7, ⑤③, 1,16,Ａクリノラブゴｰルド, 76,武豊  ,, 70,  -3,  12, 1,  2.2, ④④, 1, 3,Ｄスタｰシップ, 87,北村宏,, 89,  10,* 26, 4, 10.5,⑪⑧⑨
 2, 9,Ｅヴェリｰハｰド, 61,武士沢, 0.5, 57, -24,* 14, 5, 15.5, ⑫⑫, 2, 7, ダブルフレｰバｰ,---,岩田康, 0.1, 51,*-12,  -2, 4, 10.1, ②②, 2, 5,Ｃキングオブハイシｰ, 72,北村宏, 0.2, 69,  -2,  10, 2,  5.2, ②②, 2,15,Ａプロフェッショナル, 89,吉田豊, 0.1, 88,   9,* 26, 2,  4.1,⑨⑩⑧
 3,13,Ｃケｰジｰコガネ, 65,後藤浩, 0.6, 55,*-10,   1, 1,  1.8, ①①, 3,11, レイアシチｰ,---,吉田隼, 0.3, 49,*-12,  -2, 5, 14.0, ③④, 3, 9,Ｎアクセプトアゲン, 60,江田照, 0.2, 70,*  4,   4, 6, 16.9, ①①, 3, 7,Ｂタイキシルバｰ, 89,大庭和, 0.8, 81,   9,  21, 9, 34.5,⑩⑪⑫
 4, 2,Ｈノボニョ, 53,大庭和, 0.8, 54, -15,   4, 7, 26.0, ⑤③, 4, 3, エレガントスピｰチ,---,小野次, 0.3, 49,*-11,  -4, 9, 41.6, ①①, 4, 2,Ｂコメンテｰタｰ, 72,木幡初, 0.4, 66,  -8,  13, 7, 17.9, ⑨⑦, 4,14,Ｋハｰドシｰキング, 84,武豊  , 0.8, 83,   8,* 24, 7, 19.1,⑮⑯⑯
 5, 5,Ｋコウギョウサクラ, 48,吉田豊, 1.2, 52, -15,   1, 8, 40.5, ⑦⑤, 5, 6, ダノンマイスタｰ,---,武豊  , 0.5, 47, -15,  -1, 2,  7.7, ⑥⑤, 5,13,Ｇサｰチリザルト, 64,三浦皇, 0.6, 65, -13,* 17, 4,  9.4, ⑪⑪, 5, 4,Ｅパピヨンシチｰ, 86,松岡正, 0.8, 84,  12,  19, 3,  8.4,④④④
 6,15,Ｂカフェマｰシャル, 66,松岡正, 1.8, 45, -14,  -6, 3,  5.3, ⑧⑦, 6, 9, カゼノグッドボｰイ,---,村田一, 0.6, 49, -25,*  8, 7, 25.0, ⑨⑨, 6,14,Ｆネバｰグレイス, 65,勝浦正, 0.6, 65, -14,* 17,14,123.9, ⑭⑭, 6,16,Ｊダイワルビア, 84,後藤浩, 1.0, 79,  11,  16, 1,  2.3,⑧⑥⑦
 7, 7,Ｆヒノデドリｰム, 54,津村明, 1.9, 45, -20,   0,16,409.4, ⑪⑩, 7, 8, ミヤノユウヤ,---,北村宏, 0.8, 45, -36,* 15,10, 55.8, ⑭⑭, 7, 8,Ｈアイティｰバトル, 64,大庭和, 0.9, 62, -13,  14,12, 74.7, ⑩⑩, 7, 8,Ｎソラメンテウナベス, 79,岩田康, 1.3, 79,   9,  16, 8, 32.0,⑥⑨⑩
 8,12,Ｍシノブワンダｰ, 30,幸英明, 1.9, 45, -18,  -3,14,258.3, ⑨⑧, 8, 1, トミｰガン,---,石神深, 1.0, 43, -21,  -1,11, 65.8, ⑦⑦, 8, 7,Ｅボンジュｰルソノコ, 66,幸英明, 0.9, 62, -17,* 17,11, 68.9, ⑯⑮, 8,11,Ｌプラチナメｰン, 83,柴田善, 1.4, 78,  10,  14, 6, 16.2,⑦⑦⑤
