09年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桶狭間ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄアッサムリｰフ, 59,宮崎北,, 56,*  2,  -7, 3,  7.5, ②②, 1, 9,Ｄメジロシｰゴｰ, 71,丸田恭,, 72,   3,*  5, 4,  5.2, ④⑤, 1, 2,Ａフサイチダイチャン, 75,四位洋,, 77,* -5,  14, 1,  2.0,⑫④③, 1, 6,Ａアドマイヤダンク, 88,岩田康,, 85,* 10,* 13, 1,  2.1,⑩④④
 1,11,Ｋコロナ, 43,荻野琢,, 54,  -2,* -4, 6, 26.9, ⑥⑥, 2,12,Ａルｰシｰショｰ, 74,岩田康, 0.2, 67,  -5,*  8, 3,  5.2, ⑫⑫, 2, 7,Ｃピサノロンシャン, 72,内田博, 0.0, 82,  -8,* 22, 2,  5.8,⑦⑨⑦, 2,10,Ｂポｰトラヴ, 83,赤木高, 0.4, 80,* 10,   9, 8, 29.8,①①①
 3, 6,Ａアスタｰクリス, 69,岩田康, 0.0, 55,  -2,* -4, 1,  1.6, ⑤⑤, 3, 1,Ｊレディオｰロラ, 66,田面木, 0.4, 71,*  9,  -2, 9, 24.6, ①①, 3, 5,Ｌセイカカリンバ, 61,北村友, 0.1, 76,* -3,  12,13, 81.9,①①①, 3,16,Ｉジェントルフォｰク, 81,横山典, 0.5, 82,   7,* 15, 3,  9.1,⑮⑫⑭
 4, 1,Ｅダンサｰズブロンド, 54,黛弘人, 0.0, 56,  -2,* -2, 4,  9.0, ⑦⑦, 4, 6,Ｌデットオアアライブ, 55,津村明, 0.6, 68,*  8,  -4, 8, 24.4, ②②, 4, 4,Ｅサンアイブライト, 67,川田将, 0.6, 70,  -7,  10, 5, 10.8,④⑥④, 4, 5,Ｅウエスタンマックス, 82,津村明, 0.8, 79,   6,  11, 5, 15.9,⑦⑩⑦
 5, 3,Ｃハイウイング, 59,太宰啓, 0.4, 52,   0,  -8, 7, 30.4, ④④, 5, 5,Ｋリッショウユｰザｰ, 65,荻野琢, 0.6, 64,  -5,*  6,13, 89.8, ⑭⑪, 5,12,Ｏパブリッシャｰ, 34,福永祐, 0.6, 73,  -7,  12,10, 53.3,⑯⑧⑨, 5,11,Ｈツルマルビビッド, 81,福永祐, 0.8, 82,   6,* 12, 6, 26.5,⑯⑬⑨
 6, 2,Ｇワスラフ, 49,西田雄, 0.7, 45,  -8,  -7,12, 96.5, ⑫⑫, 6, 3,Ｅケイティマイヒメ, 69,太宰啓, 0.6, 64,   1,   1, 5,  8.1, ⑤④, 6,16,Ｋミスフェイスフル, 62,津村明, 0.6, 70,* -5,   6,16,127.9,②②②, 6,13,Ｆコウジンアルス, 81,勝浦正, 1.0, 77,* 10,   5,12, 67.9,②②②
 7, 5,Ｆペティマイカパルア, 50,北村友, 0.7, 46,  -4,  -8,13,115.4, ⑧⑧, 7, 8,Ｃエフテｰララｰヤ, 72,北村友, 1.0, 59,  -3,   0, 7, 19.5, ⑨⑧, 7,15,Ｂマルカレガｰト, 72,横山典, 0.7, 68,  -8,  10, 3,  6.5,⑧⑦⑧, 7,12,Ｄスペラｰレ, 83,藤田伸, 1.1, 76,* 10,   4, 2,  3.3,③③③
 8, 7,Ｐニチドウダイヤ, 34,田嶋翔, 0.7, 46,  -5,  -9, 8, 36.0, ⑨⑨, 8,10,Ｇサウスエンピリカル, 67,藤田伸, 1.3, 57,  -2,  -3, 1,  4.6, ⑩⑨, 8,13,Ｆショウナンアルス, 67,藤岡佑, 0.8, 72,  -9,  13, 6, 21.5,⑪⑫⑪, 8, 1,Ｇセフティｰステｰジ, 81,河北通, 1.2, 77,   5,  10,16,107.7,⑭⑯⑬
 9,16,Ｂオモイノママニ, 62,内田博, 0.9, 49,*  3, -15, 2,  6.1, ③③, 9,13,Ｆピエネヴェｰレ, 69,田中博, 1.3, 58,   0,  -5,10, 27.1, ⑥⑥, 9, 8,Ｈメタルビｰズ, 65,宮崎北, 0.8, 72, -10,  15, 9, 39.3,⑨⑬⑫, 9,14,Ｍゼンノトレヴィ, 79,田島裕, 1.2, 76,   8,   5,14,102.4,⑤⑤⑤
10, 4,Ｈコメットシャワｰ, 47,草野太, 1.0, 42,  -6, -11, 9, 58.3, ⑪⑪,10,16,Ｂライカｰト, 72,内田博, 1.4, 58,   2,  -7, 2,  5.0, ⑧⑦,10, 3,Ｄマイネフルｰレ, 69,丸田恭, 0.8, 69,  -9,  13,11, 59.7,⑥⑪⑩,10, 8,Ｊランダムシｰド, 81,丸田恭, 1.3, 75,   8,   4, 7, 27.6,⑪⑥⑥
11, 9,Ｊエンクｰ, 44,赤木高, 1.0, 40, -13,  -6,10, 59.5, ⑭⑭,11, 7,Ｍホリノティアラ, 54,西田雄, 1.4, 59,*  6, -10, 6, 12.7, ③③,11,11,Ｉコスモアイリス, 64,田中博, 1.1, 63,* -5,  -1,15,126.9,⑤③⑤,11, 7,Ｃケイアイスイジン, 83,内田博, 1.5, 75,   7,   6, 4, 13.9,⑧⑪⑪
12,13,Ｏフェアリｰルｰジュ, 37,田中博, 1.2, 45,*  3, -19, 5, 24.8, ①①,12, 2,Ｉウインクルラッキｰ, 66,宮崎北, 1.5, 53,  -5,  -4,11, 27.6, ⑪⑬,12,14,Ｍドナフュｰジョン, 59,荻野琢, 1.1, 66,  -9,   7,14, 92.6,⑮⑩⑬,12, 4,Ｎプログレスエバｰ, 78,菊地昇, 1.7, 72,   7,   2,15,104.0,⑬⑨⑧
13,15,Ｌトップワンダｰ, 43,南田雅, 1.4, 40,  -4, -14,15,299.4, ⑩⑩,13,14,Ｎウェディングコパ, 50,幸英明, 1.9, 49,  -5,  -7,14, 91.8, ⑬⑭,13, 1,Ｐジュワユｰス,  2,南田雅, 1.3, 62,  -6,   0, 8, 30.0,③⑤⑥,13, 9,Ｌトップジャイアンツ, 79,松田大, 1.8, 73,   7,   2,10, 36.1,④⑦⑫
14,12,Ｉロングワイズ, 47,河北通, 1.4, 37,  -8, -14,11, 94.6, ⑬⑬,14,15,Ｈフラミニアンウェイ, 67,黛弘人, 2.4, 47,   1, -15,12, 51.3, ⑦⑩,14,10,Ｇドマｰニ, 66,上村洋, 1.4, 64, -11,   6, 4,  9.2,⑩⑭⑭,14, 2,Ｐキｰンゲイル, 73,佐藤哲, 1.8, 72,   5,   5, 9, 30.5,⑫⑮⑮
15,10,Ｎテンシノリｰダｰ, 37,中村将, 1.5, 36, -17,  -8,14,219.1, ⑮⑮,15, 4,Ｐドゥスマイル,  4,大下智, 2.7, 41, -23,  -3,15,211.1, ⑯⑯,15, 9,Ｎブラボｰデイ, 50,勝浦正, 1.6, 67, -12,  11,12, 76.5,⑬⑯⑯,15,15,Ｋナムラスピｰド, 80,幸英明, 2.0, 69,   7,   0,11, 63.6,⑨⑧⑩
16, 8,Ｍオｰマイマミｰ, 39,田面木, 5.1,-14, -30, -32,16,327.2, ⑯⑯,16,11,Ｏブリリアントスズカ, 48,中村将, 3.3, 34, -19, -11,16,291.1, ⑮⑮,16, 6,Ｊメイショウベｰネ, 63,武幸四, 1.8, 61, -10,   1, 7, 27.3,⑭⑮⑮,16, 3,Ｏサンライズボンバｰ, 78,上村洋, 2.5, 67,   5,   0,13, 77.1,⑥⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
