09年 8月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1500m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｍアマファソン, 37,岩田康,, 56, -22,* 11, 5,  8.6,⑥⑥⑥, 1, 2, ゴシップガｰル,---,藤岡佑,, 49, -20,   2, 2,  3.5,④③②, 1, 1,Ｆアズライト, 70,三浦皇,, 72,  -3,* 11, 2, 10.6, ⑩⑩, 1,13,Ｄゴッドエンブレム, 75,岩田康,, 79,*  6,* 11, 3,  5.5,④③③
 2, 8,Ｆイオス, 47,三浦皇, 0.0, 56,*-20,*  8, 3,  5.2,④④③, 2, 6, コスモピクシｰ,---,津村明, 0.3, 46, -22,   0, 1,  3.5,⑤⑤⑥, 2,12,Ｄウララカ, 70,横山典, 0.1, 72,   0,   8, 8, 39.8, ⑨⑦, 2, 8,Ｅアイソトｰプ, 75,安藤勝, 0.3, 75,*  6,*  9, 1,  3.4,②②②
 3, 2,Ｉレッドスパｰクル, 43,秋山真, 0.4, 51, -22,   5, 8, 21.4,⑤⑤⑤, 3, 3, ニシエイビック,---,丸田恭, 0.5, 39,*-18,  -9,12, 78.3,①①①, 3, 7,Ｊマイプラｰナ, 65,小林徹, 0.1, 71,  -6,* 12, 3, 11.1, ⑪⑪, 3,11,Ｊスマｰトキャスタｰ, 69,丸田恭, 0.7, 73,*  6,   5,10, 66.9,①①①
 4, 4,Ｂビｰビｰスカット, 58,安藤勝, 0.4, 49, -22,   3, 2,  4.8,③③④, 4,13, ドンビザッツウェイ,---,川島信, 0.5, 46, -27,*  5,11, 56.4,⑪⑪⑩, 4, 5,Ａシャンパンマリｰ, 86,藤田伸, 0.2, 72,* 11,   0, 1,  1.2, ②②, 4,12,Ｃナカヤマスウェプト, 78,丸山元, 0.8, 72,   5,   5, 7, 11.1,⑦④④
 5, 5,Ａリワｰドインティマ, 59,藤岡佑, 0.6, 46,*-19,  -4, 6, 10.5,①①①, 5, 7, リンドブルム,---,田中博, 0.6, 43, -25,   0, 5, 10.1,⑧⑧⑧, 5, 8,Ｂノボニョ, 76,宮崎北, 0.3, 70,* 11,  -1, 4, 14.9, ③③, 5, 7,Ｉヤラマイカ, 70,吉田稔, 1.5, 69,   0,*  9, 8, 28.1,⑪⑪⑨
 6, 6,Ｅアクアブルｰフライ, 50,長谷川, 0.6, 49, -23,   3, 4,  6.9,⑧⑧⑨, 6, 4, エンジェルブレス,---,藤田伸, 0.6, 44, -23,  -1,10, 49.8,⑥⑦⑤, 6, 6,Ｋワｰルドワン, 65,秋山真, 0.3, 70,  -1,   7, 5, 24.5, ⑧⑨, 6,10,Ｇシシャモフレンド, 71,国分優, 1.7, 66,   4,   1,11, 90.8,⑥⑥⑥
 7,11,Ｈアグネスアンデス, 44,池添謙, 0.8, 47, -23,   1, 7, 20.9,⑨⑨⑩, 7,12, ジョｰプライド,---,岩田康, 0.7, 46, -31,*  9, 3,  5.3,⑬⑬⑫, 7, 3,Ｈプリティブルｰム, 69,池添謙, 0.5, 69,   6,   1,10, 73.5, ⑤⑤, 7, 6,Ａヤマイチリブ, 81,小林徹, 2.0, 65,   4,  -3, 2,  5.0,③⑤⑤
 8, 7,Ｃハンナリト, 52,田中博, 0.9, 42,*-20,  -6,10, 39.9,②②②, 8,10, クレバｰサンデｰ,---,中舘英, 0.8, 41, -23,  -5, 4,  7.1,⑦⑥⑦, 8, 4,Ｃキョウエイエルメス, 73,田中博, 0.5, 70,* 13,  -4, 6, 32.6, ①①, 8, 1,Ｋリンガスアクタｰ, 68,中舘英, 2.2, 63,  -1,   4, 9, 50.8,⑩⑫⑪
