09年 3月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武庫川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａタガノバッチグｰ, 59,福永祐,, 57,  -8,*  7, 1,  2.0, ②③, 1, 2, エアリｰズ,,熊沢重,,,,, 9, 35.1,③②①, 1, 7,Ｆフミノイマｰジン, 65,藤田伸,, 74,   5,   4,12, 31.5, ④⑤, 1, 2,Ａヒカルオオゾラ, 90,武豊  ,, 91,  14,* 18, 1,  1.7, ③③
 2,10,Ｂユメヲカナエル, 56,和田竜, 0.0, 56,* -5,   4, 2,  3.0, ①①, 2, 7, ハストラング,,西谷誠,198.8,,,, 5, 12.4,①③③, 2, 5,Ａマイネルクラリティ, 73,川島信, 0.0, 75,*  7,   2, 5,  9.6, ②③, 2, 6,Ｅスズカコｰズウェイ, 83,川田将, 0.4, 86,  12,  15, 3,  9.7, ⑦④
 3,13,Ｈオリオンザレッド, 45,角田晃, 0.4, 54,  -8,   3, 4,  9.8, ④④, 3,12, キクノインプルｰブ,,北沢伸,199.3,,,, 1,  3.1,⑤④④, 3,12,Ｅロｰドロックスタｰ, 68,川田将, 0.1, 72,   5,   1, 3,  5.5, ⑤④, 3, 7,Ｃダンツホウテイ, 84,藤田伸, 0.5, 85,  13,  13, 5, 11.0, ④⑤
 4, 8, ウインドカッタｰ,---,生野賢, 0.4, 52,  -9,   4, 5, 17.5, ⑤⑤, 4, 8, マルブツキング,,小坂忠,199.6,,,, 8, 28.4,④⑤⑥, 4,14,Ｋスリｰロｰルス, 62,福永祐, 0.1, 77,   1,* 11, 4,  9.3, ⑫⑫, 4,12,Ｍアペリティフ, 75,小牧太, 0.7, 85,   7,* 19, 7, 33.5, ⑪⑬
 5, 1,Ｃイナズマガイア, 55,川田将, 0.7, 51, -13,*  6, 3,  8.6, ⑬⑧, 5,14, アザンクｰル,,南井大,199.7,,,, 2,  4.1,⑧⑥⑤, 5, 4,Ｂハマノエルマｰ, 73,熊沢重, 0.2, 74,   4,   4, 2,  4.4, ⑥⑥, 5, 3,Ｄスピリタス, 84,安藤勝, 0.9, 83,   5,* 21, 2,  5.3, ⑮⑮
 6,12,Ｋヒカリレオ, 30,中村将, 0.8, 48,* -7,  -1, 7, 33.7, ③②, 6, 9, メイショウダンディ,,植野貴,199.7,,,, 4,  6.0,⑥⑦⑦, 6,11,Ｊホッコｰセルベッサ, 62,飯田祐, 0.2, 76,   2,* 10,14, 68.8, ⑩⑪, 6,11,Ｉショウナンアクロス, 80,和田竜, 1.1, 79,  11,   7,10, 57.4, ⑧⑦
 7, 3,Ｌロングワイズ, 29,河北通, 1.0, 47, -14,   3, 9, 88.5, ⑧⑩, 7,13, シロキタベガ,,金折知,199.8,,,, 7, 21.7,⑨⑧⑧, 7,15,Ｍセブンサミッツ, 61,和田竜, 0.3, 73,   3,   6, 1,  4.2, ⑨⑨, 7, 5,Ｐミダｰスタッチ, 72,鮫島良, 1.2, 81,   3,* 19,12, 98.9, ⑯⑯
 8,11,Ｄメイショウピレネｰ, 53,幸英明, 1.0, 46, -12,   1, 6, 22.0, ⑨⑦, 8,10, エメラルドワン,,岩崎祐,200.0,,,,13, 72.1,⑪⑩⑨, 8,10,Ｇラムタムタガｰ, 64,浜中俊, 0.4, 75,   0,* 10, 8, 19.3, ⑬⑬, 8,15,Ｇマルブツライト, 82,福永祐, 1.2, 79,   9,   9,11, 91.3, ⑫⑪
