09年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3210m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｅマンダリンレイ, 58,柴山雄,, 64, -16,* 12, 8, 29.2, ⑪⑧, 1, 4, トウカイポリシｰ,,浜野谷,,,,, 8, 35.0,①①①, 1,10,Ｂコンフォｰコ, 76,横山典,, 77,   0,* 14, 3,  9.5, ⑥④, 1,12,Ｃリリｰハｰバｰ, 81,池添謙,, 81,   7,* 11, 6,  8.6, ⑥⑤
 2, 9,Ｇプリンシプルレディ, 52,蛯名正, 0.0, 64,*  0,  -4, 7, 21.6, ②②, 2, 2, マックスチャンプ,,高田潤,212.5,,,,12, 55.5,④④③, 2,12,Ａアポロラムセス, 78,勝浦正, 0.2, 75,   1,  11, 1,  1.3, ④③, 2, 9,Ｈホワイトヴェｰル, 75,横山典, 0.4, 77,   2,* 12, 3,  7.3, ⑩⑨
 3, 4,Ａフランジパニ, 64,柴田善, 0.1, 63,  -4,  -1, 2,  3.7, ⑥⑥, 3, 9, ロｰレルハンバｰバ,,金子光,212.6,,,, 6, 22.9,②③②, 3, 7,Ｄグレイスフルムｰヴ, 71,蛯名正, 0.4, 74,*  5,   6, 2,  8.0, ①①, 3,13,Ａエｰシンドゥベタｰ, 82,後藤浩, 0.5, 76,* 11,   2, 4,  7.7, ③③
 4,10,Ｄマイネコティヨン, 60,津村明, 0.2, 61,* -2,  -5, 3,  5.3, ④③, 4,13, ヴリル,,穂苅寿,212.8,,,, 4,  5.6,⑤⑤⑤, 4,13,Ｅアルフェラッツ, 70,柴山雄, 0.6, 72,  -3,  11, 7, 42.8, ⑧⑩, 4, 5,Ｏオシャレキング, 61,熊沢重, 0.6, 76,   5,   7, 9, 21.2, ⑦⑦
 5, 1,Ｉアイアイレインボｰ, 43,江田照, 0.2, 61, -11,   4,11,229.9, ⑦⑦, 5, 6, トップディアマンテ,,今村康,213.5,,,, 1,  3.6,③②④, 5, 1,Ｊハｰバｰクイｰン, 63,江田照, 0.8, 69,   0,   7, 8, 43.8, ⑤⑤, 5, 2,Ｄエビスオｰル, 79,藤田伸, 0.6, 76,* 11,   1, 5,  8.3, ②②
 6, 3,Ｃチェリｰブランデｰ, 60,松岡正, 0.3, 61,  -4,  -3, 4,  7.2, ⑤⑤, 6,10, アザンクｰル,,西谷誠,214.2,,,,11, 54.4,⑥⑥⑦, 6, 3,Ｈリリｰザサン, 66,武士沢, 0.9, 68,  -7,  12,12,194.4, ⑪⑨, 6, 7,Ｂマイティｰストｰム, 81,北村宏, 0.7, 74,   1,  10, 2,  6.1, ⑪⑩
 7, 2,Ｂトロンプルイユ, 62,田中勝, 0.4, 59,  -3,  -6, 1,  2.6, ③④, 7, 7, ヘンリｰゴンドｰフ,,横山義,214.6,,,, 3,  4.3,⑦⑦⑥, 7, 4,Ｎキミニムチュウ, 58,熊沢重, 1.1, 68,  -4,   7, 6, 26.0, ⑦⑦, 7, 1,Ｅツウカイヤスナム, 78,柴田善, 0.9, 74,* 12,  -2, 1,  4.0, ①①
 8, 5,Ｆチェルカトロｰバ, 53,横山典, 0.4, 57, -17,*  7, 5, 11.9, ⑩⑨, 8, 1, ペガサスファイト,,出津孝,214.8,,,,13,119.6,⑩⑩⑩, 8, 6,Ｆマイネルポンピオン, 68,吉田豊, 1.2, 67,  -5,   8, 9,138.0, ⑨⑧, 8, 6,Ｆテイエムゲンキボ, 75,武士沢, 1.0, 71,  -1,   9,10, 22.6, ⑫⑫
