09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,12,16,Ｈゴッドスマイルユｰ, 72,浜中俊, 0.7, 74,  -2,  10,11, 32.4, ⑭⑮,12, 4,Ｐタガノヴァレオ, 72,吉田稔, 1.2, 78,   9,   4,17,244.3,⑭⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｉジョウショｰアロｰ, 69,内田博, 0.7, 70,   6,  -5,12, 36.2, ⑥⑥,13,13,Ｍアグネススタｰチ, 79,浜中俊, 1.3, 77,* 12,  -8, 8, 27.9,②②②
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｋカシノマイケル, 68,熊沢重, 0.7, 71,   1,   6,14,124.6, ⑪⑬,14,14,Ｅデンコウミサイル, 84,橋本美, 1.5, 76,  10,  -4,15,101.3,⑯⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｏスマｰトパｰティｰ, 65,小牧太, 0.9, 67,   6,  -7,16,227.5, ④④,15, 1,Ｏマルカハンニバル, 78,デムｰ, 1.5, 75,* 12,  -8,13, 46.0,③③⑤
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｐデュｰン, 64,吉田稔, 1.4, 60,*  9, -19,15,132.1, ②②,16,12,Ｆハギノプリンセス, 82,三浦皇, 1.6, 75,  10,  -6,14, 47.1,⑪⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｒマルイチクエスト, 69,大野拓, 3.0, 64,* 13, -34,16,151.8,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,
単勝:340円 複勝:04=130円 08=150円 07=110円 枠連:800円,,,,,,,,,,,,単勝:520円 複勝:08=190円 06=150円 11=590円 枠連:340円,,,,,,,,,,,,"単勝:740円 複勝:11=320円 08=530円 07=950円 枠連:3,810円",,,,,,,,,,,,単勝:340円 複勝:03=130円 05=150円 10=150円 枠連:500円,,,,,,,,,,,
"馬連:1,470円 ワイド:04-08=400円 04-07=190円 07-08=190円",,,,,,,,,,,,"馬連:920円 ワイド:06-08=400円 08-11=2,210円 06-11=1,370円",,,,,,,,,,,,"馬連:4,640円 ワイド:08-11=2,130円 07-11=2,970円 07-08=5,040円",,,,,,,,,,,,馬連:770円 ワイド:03-05=300円 03-10=280円 05-10=420円,,,,,,,,,,,
"馬単:2,640円 3連複:690円 3連単:5,680円",,,,,,,,,,,,"馬単:2,210円 3連複:8,870円 3連単:38,790円",,,,,,,,,,,,"馬単:8,130円 3連複:44,710円 3連単:175,610円",,,,,,,,,,,,"馬単:1,470円 3連複:1,040円 3連単:4,340円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1600m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｭﾍﾞﾅｲﾙﾌｨﾘｰｽﾞ ＧⅠ,,,,,,,,,,
