09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11, シルバｰヒロイン,---,山口竜, 4.2, 19, -29, -17,10,291.9, ⑪⑪,12,11,Ｉクリノシｰグリｰン, 56,中谷雄, 1.2, 54, -12,  -1,14,130.6, ⑬⑩,12, 7,Ｍフロｰラルパタｰン, 50,小野寺, 3.7, 58,   0,  -5,11,143.0,⑪⑨⑧,12,10,Ｉセイカプレスト, 71,田中博, 3.1, 60,   6, -11, 9, 63.5,⑦⑨⑬
,,,,,,,,,,,,13,15,Ｍウインパランセ, 49,丸田恭, 1.2, 55, -18,*  6,13,110.8, ⑯⑫,13, 3,Ｋアンロｰランサン, 58,丸田恭, 4.5, 56,  -8,   4,10,103.7,⑧⑬⑬,13,13,Ｋエｰシンサニｰデイ, 71,吉田稔, 3.4, 56,* 10, -20,12,166.0,⑤⑤⑦
,,,,,,,,,,,,14, 5,Ｎメイマドンナ, 46,田中博, 1.6, 49, -12,  -6,15,181.6, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,16,Ｏルｰシッドドリｰム, 37,小野寺, 2.3, 40,  -5, -22,16,270.9, ⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 2,Ｐココペリ, 37,三浦皇, 2.9, 33,  -6, -28, 6, 18.2, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:230円 複勝:06=130円 10=220円 03=160円 枠連:870円,,,,,,,,,,,,単勝:170円 複勝:07=110円 09=180円 01=270円 枠連:250円,,,,,,,,,,,,単勝:370円 複勝:10=140円 11=160円 12=130円 枠連:990円,,,,,,,,,,,,単勝:690円 複勝:05=210円 07=160円 08=390円 枠連:870円,,,,,,,,,,,
馬連:890円 ワイド:06-10=450円 03-06=200円 03-10=330円,,,,,,,,,,,,"馬連:500円 ワイド:07-09=220円 01-07=370円 01-09=1,120円",,,,,,,,,,,,"馬連:1,150円 ワイド:10-11=350円 10-12=240円 11-12=300円",,,,,,,,,,,,"馬連:1,850円 ワイド:05-07=580円 05-08=1,650円 07-08=1,270円",,,,,,,,,,,
"馬単:1,530円 3連複:1,120円 3連単:5,520円",,,,,,,,,,,,"馬単:570円 3連複:2,060円 3連単:5,080円",,,,,,,,,,,,"馬単:1,880円 3連複:750円 3連単:4,860円",,,,,,,,,,,,"馬単:4,010円 3連複:8,910円 3連単:49,090円",,,,,,,,,,,
■ 2R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ賞,,,,,,,,,,,,ﾊｰﾍﾞｽﾄ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅタガノガルｰダ, 55,藤田伸,, 69,  -2,*  6, 4, 10.4,⑨⑧⑦, 1, 4,Ｆドレッシｰ, 63,安藤勝,, 68,*  9,* -4, 2,  4.6,①①①, 1, 8,Ｋフミノイマｰジン, 76,藤田伸,, 89,  12,* 10, 5, 15.9,⑥⑦⑤, 1,11,Ａロラパルｰザ, 89,中舘英,, 90,*  7,* 24, 1,  1.9,②②②
