09年 1月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大和ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｋメイショウボルト, 43,武幸四,, 66,*  1,  -2, 5, 17.9, ①①, 1, 9, ショウリュウケン,,植野貴,,,,, 1,  2.2,⑩⑤⑤, 1, 5,Ｈエｰケｰサンライズ, 69,小牧太,, 76,   1,* 22, 7, 14.3,⑪⑭⑮, 1,16,Ａミリオンディスク, 87,武幸四,, 83,   5,  12, 1,  3.1, ④④
 2, 7,Ｆガッチリガッチリ, 53,松岡正, 0.0, 61, -15,* 12, 4, 16.3, ⑭⑫, 2, 6, ダイゴフウジン,,高野容,197.2,,,, 7, 26.5,②①①, 2, 7,Ｃタンホイザｰ, 74,松岡正, 0.2, 72,   5,  10, 1,  2.5,⑫⑦⑦, 2,11,Ｌイリュｰシブネス, 77,佐藤哲, 0.1, 82,*  8,   9,11, 56.5, ②②
 3, 5,Ｃタガノバッチグｰ, 61,田中健, 0.9, 55,  -7,  -4, 2,  8.0, ⑥⑧, 3, 7, ヤマカツジェット,,佐久間,197.3,,,,14,159.9,⑪⑨④, 3, 1,Ｌリノｰンランプ, 62,小坂忠, 0.3, 69,*  8,  -1,11, 38.2,①①①, 3,14,Ｄシルクアルボｰレ, 84,松岡正, 0.3, 81,  -1,  17, 4,  6.6, ⑬⑫
 4, 4,Ｂオｰミレイライン, 65,太宰啓, 1.0, 52,  -5,  -7, 6, 22.6, ⑤⑤, 4,10, エｰシンサｰフィン,,南井大,197.6,,,, 4, 11.8,⑥②②, 4,13,Ａマイネナデシコ, 77,佐藤哲, 0.3, 70,*  8,   2, 4, 10.9,⑭③③, 4,13,Ｉアナモリ, 79,川田将, 0.3, 82,  -6,* 21, 5,  8.3, ⑮⑮
 5, 9,Ａバイオレントナイト, 72,藤岡佑, 1.2, 53,  -6,  -7, 1,  1.3, ⑧⑥, 5,13, メイショウチョイス,,黒岩悠,198.4,,,, 8, 32.1,④⑥⑧, 5, 2,Ｉヨドノヒｰロｰ, 66,藤岡佑, 0.4, 71,   4,* 12, 8, 14.4,⑦⑩⑫, 5, 4,Ｅラインストｰム, 83,幸英明, 0.3, 80,   0,  15, 7, 14.6, ⑨⑧
 6,11,Ｉキセキサイチャン, 45,田島裕, 1.4, 49,  -8,  -7, 9,103.2, ⑦⑩, 6, 4, サンアスレチック,,山本康,199.2,,,, 2,  4.0,①③③, 6,10,Ｂシャイニングデイ, 76,石橋守, 0.6, 68,   4,   7, 3,  8.1,⑬⑫⑩, 6, 1,Ｃアウトクラトｰル, 84,藤岡佑, 0.4, 79,   5,   9, 2,  4.9, ⑤⑤
 7, 3,Ｅハｰトマン, 57,秋山真, 1.7, 47,  -9,  -7,12,203.7, ⑩⑨, 7, 1, メジロラスタバン,,五十嵐,199.4,,,, 5, 12.5,⑦⑧⑦, 7,11,Ｄシゲルアンビシャス, 73,小林徹, 0.7, 67,   2,   9,12, 50.3,⑯⑮⑭, 7,10,Ｎザシｰクレット, 73,太宰啓, 0.5, 76,   0,  13, 8, 32.3, ⑩⑨
 8, 8,Ｄタｰニングストｰン, 58,小牧太, 1.9, 45, -10, -10, 3,  9.4, ⑪⑪, 8, 5, コアレスファルコン,,白坂聡,199.6,,,,13, 91.1,⑨⑩⑨, 8, 4,Ｎナヴィゲイション, 58,川田将, 0.8, 66,   4,   6,10, 23.8,⑩⑬⑪, 8, 8,Ｆタガノシャンハイ, 81,橋本美, 0.5, 78,  -8,* 21,13,120.8, ⑯⑯
 9,13,Ｊカシノレオン, 43,田中克, 2.4, 43,  -7, -17,11,200.9, ⑨⑦, 9, 8, フジノアリオン,,岩崎祐,199.6,,,,11, 59.8,⑤④⑥, 9,16,Ｋオｰスミタｰゲット, 65,田中健, 0.9, 64,*  6,  -4, 6, 11.7,④⑤④, 9,12,Ｂエｰシンドゥベタｰ, 87,岩田康, 0.6, 77,*  6,   6, 3,  5.4, ③③
10,15,Ｏベストトゥベスト, 37,田村太, 2.4, 42,* -2, -22,10,175.8, ③④,10,11, アイアングリｰン,,林満明,201.3,,,,12, 76.6,③⑦⑩,10, 9,Ｊペプチドトップガン, 65,幸英明, 1.0, 63,*  8, -10, 2,  6.3,②②②,10,15,Ｍヤマカツブライアン, 73,長谷川, 0.7, 79,   3,   8,14,135.5, ⑦⑥
11,14,Ｇイナズマガイア, 51,金折知, 2.4, 44,* -1, -21, 8, 94.4, ②②,11,14, オｰスミマｰシャル,,今村康,201.3,,,, 3,  5.7,⑧⑪⑪,11,15,Ｇマルイチキセキ, 70,角田晃, 1.1, 65,   6,  -2,13, 55.5,⑨⑨⑨,11, 9,Ｊサワノブレイブ, 79,金折知, 0.7, 77,  -3,  15,16,245.8, ⑭⑭
12, 1,Ｍロｰズタトゥ, 39,佐久間, 2.6, 40,  -4, -22,13,221.5, ④③,12,12, スナｰクハｰバｰ,,出津孝,203.2,,,,10, 52.6,⑫⑬⑫,12,12,Ｍティルフィング, 60,熊沢重, 1.2, 62,   5,  -7,14,112.7,⑥⑥⑥,12, 2,Ｈヴォレハクユウ, 80,角田晃, 1.1, 73,  -3,  10, 9, 39.7, ⑪⑬
13, 2,Ｈプライベｰト, 47,小林徹, 3.1, 34, -13, -18,14,321.1, ⑫⑬,13, 3, メイショウラスタｰ,,熊沢重,203.4,,,, 9, 36.9,⑬⑫⑬,13, 3,Ｅマイサイドキック, 71,田村太, 1.2, 61,   5,  -4, 5, 10.9,⑤⑧⑧,13, 6,Ｏクィｰンマルトク, 68,石橋守, 1.4, 72,   2,   3,10, 53.2, ⑥⑦
