09年10月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｋハンタｰワディ, 39,佐藤哲,, 52,  -6,* -5, 7, 29.8, ⑦④, 1, 6, ダノンスパシｰバ,---,佐藤哲,, 62, -17,* 13, 1,  2.9, ⑧⑦, 1, 4,Ｆベルウッドロｰツェ, 72,松岡正,, 84,  15,* -5, 6, 14.9,⑥⑦⑦, 1, 1,Ｄアンノルｰチェ, 83,川島信,, 86,   3,* 13, 4,  7.3, ⑪⑧
 2, 5,Ａチャｰムドライフ, 56,太宰啓, 0.2, 50,  -9,* -4, 3,  8.2, ⑫⑥, 2, 4, ネオヴァンドｰム,---,福永祐, 0.2, 64, -20,* 14, 3,  6.1, ⑨⑨, 2,13,Ｅダディｰズウォｰズ, 72,川田将, 0.2, 83,  12,*  2, 1,  2.3,⑰⑰⑭, 2, 8,Ｉワｰルドコンパス, 79,松岡正, 0.0, 85,*  7,   7, 2,  4.2, ②②
 3,16,Ｍマイネルガンバ, 36,和田竜, 0.3, 49,  -8,  -6,10, 86.0, ⑩⑪, 3,10, フィｰルドペガサス,---,藤岡佑, 0.2, 61, -17,  10, 4,  7.8, ⑦⑧, 3, 9,Ｑラッキｰポケット, 67,福永祐, 0.5, 79,  14, -10, 8, 19.3,⑩⑩⑨, 3,17,Ｇタイガｰストｰン, 81,四位洋, 0.1, 85,   3,  11, 3,  6.1, ⑩⑨
 4,15,Ｎアキノフライ, 35,国分恭, 0.3, 52,  -4, -10, 8, 59.7, ⑥③, 4, 7, バガボンド,---,岩田康, 0.3, 57, -14,   4, 5,  8.4, ④③, 4,17,Ｄブルｰスタｰキング, 72,藤田伸, 0.5, 80,  13,* -4,11, 33.4,⑯⑯⑰, 4, 2,Ｃミッキｰパンプキン, 85,福永祐, 0.2, 84,*  6,   7, 1,  4.2, ⑥④
 5,11,Ｌエンジェルブレス, 37,小牧太, 0.4, 49,  -8,  -6, 6, 17.9, ⑪⑦, 5,11, キクカタキシｰド,---,幸英明, 0.5, 62, -23,* 16,10, 63.8, ⑫⑫, 5,16,Ａリアルプリンス, 78,岩田康, 0.5, 78,* 16, -16, 2,  6.2,⑦⑤②, 5,11,Ｅフライングメリッサ, 82,柴田善, 0.3, 84,   1,* 13,10, 40.3, ⑭⑭
 6, 7,Ｄシゲルモトナリ, 49,赤木高, 0.6, 47,* -4, -15, 2,  4.7, ②②, 6, 8, ペガサスヒｰロｰ,---,武豊  , 0.7, 53, -15,   0, 2,  4.4, ⑤⑤, 6,12,Ｉホウライブライアン, 71,和田竜, 0.6, 79,  14,  -8,12, 35.3,⑮⑬⑬, 6,10,Ｂアドマイヤヘッド, 86,川田将, 0.4, 80,*  6,   3, 9, 17.4, ④③
 7,13,Ｆクニサキロンチｰ, 45,浜中俊, 0.8, 44, -14,* -2, 9, 68.0, ⑯⑮, 7, 2, ロックンロｰル,---,野元昭, 0.8, 56, -21,   8, 9, 39.4, ⑩⑩, 7,14,Ｃエナｰジバイオ, 73,武豊  , 0.7, 77,  13,  -8, 4, 11.0,⑭⑮⑯, 7,12,Ｆテイエムアタック, 82,和田竜, 0.5, 79,   4,   4, 5,  8.2, ⑦⑦
 8, 8,Ｈダンツブラボｰ, 43,田中健, 0.8, 47,* -2, -18, 5, 16.9, ①①, 8, 3, チェックブック,---,藤田伸, 0.8, 49,*-11,  -8, 6, 11.7, ①①, 8, 5,Ｇニホンピロキャット, 71,酒井学, 0.8, 74,  15, -17,10, 23.6,⑧⑧⑤, 8, 4,Ｊクリムゾンベガ, 77,村田一, 0.5, 82,   0,  11,11, 51.3, ⑯⑮
 9, 3,Ｃクリｰルサンライズ, 51,松山弘, 1.0, 43,  -8, -12, 4, 12.0, ⑧⑧, 9,13, チャｰミｰハヅキ,---,小坂忠, 0.9, 49, -14,  -6, 8, 26.2, ③②, 9, 3,Ｍジャングルケイ, 69,小牧太, 1.0, 75,  15, -18, 5, 14.7,⑤⑥⑫, 9,13,Ｏセイウンワキタツ, 73,武幸四, 0.5, 85,  -1,* 13,12, 54.7, ⑰⑰
10,14,Ｇホンマキセキ, 43,金折知, 1.8, 37,  -7, -20,12,202.7, ⑨⑩,10, 5, チェンジオブシｰン,---,川田将, 0.9, 56, -22,   9,11, 65.7, ⑪⑪,10, 2,Ｂエｰシンマイトップ, 73,秋山真, 1.3, 72,* 16, -30,14, 84.6,②②①,10, 5,Ａチョウカイファイト, 86,武豊  , 0.5, 80,   1,  10, 8, 16.9, ⑫⑬
11, 6,Ｊトミケンアベｰユ, 40,川島信, 2.4, 32, -10, -21,15,217.1, ⑬⑭,11,12, マカリオス,---,松岡正, 1.2, 46, -16,  -8, 7, 12.2, ⑥⑥,11, 6,Ｌマｰブルファイブ, 70,松山弘, 1.4, 72,  14, -21, 7, 17.9,⑪⑫⑮,11,15,Ｐランペイア, 73,三浦皇, 0.6, 81,   0,  10, 6, 13.0, ⑮⑯
12, 4,Ｅリバｰツバサ, 45,熊沢重, 2.5, 33, -10, -22,13,209.8, ⑭⑬,12, 9, フタタビ,---,田嶋翔, 1.9, 35,*-13, -22,12, 72.9, ②④,12,15,Ｊニシノシャア, 71,幸英明, 1.6, 71,  14, -24,17,202.9,⑫⑭⑪,12, 6,Ｋヤマニンイグナイト, 77,小牧太, 0.6, 84,  -3,* 16,14,115.6, ⑱⑱
13, 1,Ｉカシノポピｰ, 41,大下智, 2.5, 32, -13, -18,14,213.1, ⑮⑯,,,,,,,,,,,,,13, 7,Ｋシングルショット, 70,国分恭, 1.9, 68,  14, -30, 3,  7.7,⑨⑨⑩,13,16,Ｌグッドルッキング, 75,秋山真, 0.7, 78,   3,   4, 7, 16.7, ⑬⑫
14, 2,Ｐマキハタヒロイック, 20,幸英明, 2.9, 29,  -5, -33,16,225.5, ③⑤,,,,,,,,,,,,,14, 8,Ｈトレジャｰハント, 71,太宰啓, 1.9, 68,* 16, -36, 9, 20.9,③④⑥,14, 9,Ｈカネトシリベルテ, 80,酒井学, 0.8, 71,*  6,  -3,15,125.1, ③⑤
15,12,Ｂサトノサクラ, 54,藤岡佑, 3.2, 26,  -5, -35, 1,  1.7, ⑤⑨,,,,,,,,,,,,,15,11,Ｎサクラエクシｰド, 69,熊沢重, 2.1, 66,  15, -34,15,102.9,⑬⑪⑧,15,14,Ｒマッハジュウクン, 73,柴原央, 0.8, 74,*  6,  -3,17,179.7, ⑤⑥
