09年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桑折特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃロｰドイノセント, 56,北村友,, 67,*  3,* 18, 2,  2.7,②②②, 1, 8,Ｆヴィｰヴァシャトル, 53,小野次,, 65,  -8,* 15, 6, 19.4,⑧⑦⑦, 1,15,Ｂラフレッシュブルｰ, 72,太宰啓,, 72,*  4,* 10, 4,  7.8,⑫④②, 1, 1,Ｉユｰピロンユｰ, 61,田辺裕,, 68,*  3,  -2,10, 29.7,①①①
 2, 4,Ｅサウスクリヨン, 54,石橋脩, 0.2, 68,   2,* 19, 6, 28.5,③④④, 2, 5,Ｅクリｰルエイト, 53,石橋脩, 0.0, 66,  -5,* 11, 3,  4.4,⑤⑤⑤, 2,12,Ｆチノハテマデモ, 70,千葉直, 0.4, 68,   0,* 10, 9, 19.2,⑪⑩⑨, 2, 9,Ｄサンアイブライト, 68,石橋脩, 0.2, 70,  -3,*  5, 5,  9.9,⑪⑩⑦
 3,13,Ａプロヴィデンス, 64,中舘英, 0.9, 62,*  3,  10, 1,  2.7,④③③, 3, 4,Ｇコアレスミュｰズ, 52,丸田恭, 0.1, 58,* -4,   5, 4,  7.7,③②②, 3, 4,Ｄサニｰラブカフェ, 70,小島太, 0.4, 69,   2,   7, 7, 12.0,⑤⑤④, 3, 6,Ｂキャッスルトン, 70,宮崎北, 0.3, 68,  -4,*  7, 4,  8.4,⑩⑫⑭
 4,10,Ｄメイショウリキュウ, 55,古川吉, 1.6, 61,*  3,   4, 3,  6.8,①①①, 4, 3,Ｃリワｰドボｰガン, 56,大野拓, 0.2, 58,* -4,   4, 2,  4.2,①①①, 4,13,Ｃビバロングライフ, 71,飯田祐, 0.6, 67,   2,   5, 2,  4.9,⑦⑥⑤, 4,14,Ｈカネトシレジアス, 64,北村友, 0.3, 67,*  1,   0, 9, 19.2,③③⑤
 5,14,Ｊケンマ,  9,村田一, 1.9, 60,  -1,   9,14,189.5,⑩⑨⑧, 5, 2,Ｎカネスアドラシオン, 35,丸山元, 0.4, 58,  -5,   5, 5, 16.7,②④④, 5,14,Ａメイショウコレット, 75,松山弘, 0.6, 68,   2,   8, 3,  6.4,⑩⑨⑦, 5, 3,Ｃモンサンミシェル, 68,中村将, 0.5, 68,  -5,*  7, 3,  7.6,⑫⑭⑮
 6, 7,Ｇバリアントバイオ, 49,宮崎北, 2.6, 53,  -5,  10,11,122.1,⑫⑪⑪, 6, 9,Ｐエリモポリス, 32,古川吉, 1.0, 55, -11,   6,13,103.0,⑩⑪⑧, 6, 8,Ｎパｰルグレイピアス, 59,長谷川, 0.7, 71,  -2,* 12, 8, 12.8,⑮⑮⑫, 6, 7,Ｇマイネウインク, 65,田中博, 0.5, 65,  -1,   0, 2,  6.1,⑧⑥⑨
 7, 2,Ｈレッシブル, 42,西田雄, 2.6, 53,   1,   1,13,166.3,⑧⑦⑦, 7, 6,Ｂマイネルアリオン, 56,木幡初, 1.2, 48,  -7,  -5, 1,  3.2,⑥⑥⑥, 7,10,Ｅドナプレミア, 70,中舘英, 0.7, 65,*  3,   3, 6,  8.7,③③③, 7,13,Ｎミサトフリｰト, 58,大野拓, 0.6, 64,  -4,   2,15,155.7,⑬⑬⑩
 8, 9, シナトラ,---,田辺裕, 2.6, 51,  -3,   7, 5, 10.1,⑬⑩⑩, 8,12,Ｄトｰセンエシェゾｰ, 54,小野寺, 1.4, 49, -11,   1, 9, 24.8,⑪⑫⑬, 8,11,Ｈシアトルレイナ, 69,丸田恭, 0.8, 66,   2,   4,12, 73.1,⑥⑦⑧, 8,15,Ｋチョコフィオｰレ, 60,木幡初, 0.6, 64,  -1,  -1,11, 31.3,⑨⑦③
 9, 6,Ｉカワキタトップ, 40,中谷雄, 2.8, 51,  -1,   2,15,202.8,⑦⑧⑨, 9,14,Ｌトｰセンクリュグ, 38,赤木高, 2.0, 37,  -8, -13, 8, 21.0,⑫⑩⑪, 9, 6,Ｉトｰホウロサｰド, 69,村田一, 1.0, 69,  -1,   8, 1,  4.3,⑬⑬⑪, 9, 8,Ｅワキノキルシェ, 66,長谷川, 0.8, 67,  -2,   3,13, 44.2,⑭⑮⑪
10, 5, エリモキスミｰ,---,安藤光, 2.9, 47,   1,  -4, 8, 38.6,⑤⑤⑤,10, 7,Ｉロマンチックデス, 47,生野賢, 2.0, 40,  -8, -12,11, 49.0,⑦⑨⑨,10, 3,Ｌツクバプリティ, 64,石橋脩, 2.0, 58,*  4,  -8,11, 54.8,②②⑥,10, 2,Ａスマｰトレディｰ, 73,安藤光, 0.8, 64,  -4,   0, 1,  3.0,⑦⑪⑬
11,12,Ｂコンゴウテンリュオ, 63,木幡初, 2.9, 48,   1,  -3, 4,  9.7,⑥⑥⑥,11,15,Ｋトｰアミステリｰ, 38,中舘英, 2.0, 41,* -3, -19,14,110.9,④③③,11, 5,Ｇバブルガムレディ, 70,北村友, 2.1, 55,*  3,  -9, 5,  8.3,①①①,11, 5,Ｆトウカイアワｰド, 66,太宰啓, 0.9, 60,  -1,  -6, 8, 18.2,⑮⑧④
12, 3, ディアメガスタｰ,---,丸田恭, 3.6, 47,  -9,   8, 9, 49.9,⑪⑭⑭,12,11,Ｍテラモマルゼン, 37,丹内祐, 2.2, 37,  -8, -14,12, 78.8,⑨⑧⑩,12, 9,Ｍサフランキセキ, 63,宮崎北, 2.1, 57,  -1,  -1,14,101.8,⑨⑫⑩,12,11,Ｌエルベレス, 59,荻野琢, 0.9, 58,  -1,  -8, 7, 17.1,⑥⑤⑥
13, 8,Ｆトウカイトルネｰド, 50,千葉直, 3.9, 43,  -7,   3, 7, 30.2,⑨⑫⑫,13, 1,Ａコスモピグマン, 57,田中博, 2.5, 37, -14,  -9, 7, 19.6,⑮⑯⑭,13, 1,Ｋニシエイビュレット, 66,大野拓, 3.8, 46,  -2, -13,10, 33.5,⑧⑭⑭,13,12,Ｊマロンティアラ, 61,的場勇, 1.3, 52,*  0, -15,16,170.9,④④⑧
14,15,Ｋレオファイティｰン,  0,佐藤聖, 4.2, 43,  -7,   1,12,155.9,⑮⑬⑬,14,10,Ｏシルクナトゥｰル, 34,安藤光, 2.5, 36, -12, -12,15,181.5,⑯⑭⑫,14, 2,Ｏスイｰトコルドバ, 43,田中博, 4.1, 43,   1, -21,15,191.1,④⑧⑬,14, 4,Ｏフェルガｰナ, 56,赤木高, 1.3, 59,  -7,   2,14, 45.7,⑯⑯⑯
15, 1, ダンツクイック,---,大野拓, 6.3, 28, -11, -11,10,101.7,⑭⑮⑮,15,16,Ｈシｰアンムｰン, 51,飯田祐, 2.6, 34, -11, -14,10, 35.8,⑭⑬⑯,15, 7,Ｊコアレスキャスト, 69,小野次, 4.8, 38,   1, -27,13, 73.2,⑭⑪⑮,15,10,Ｐファディクト, 56,藤岡康, 1.4, 55,  -2, -10,12, 38.1,⑤⑨⑫
,,,,,,,,,,,,16,13,Ｊスリｰコマンド, 47,柴原央, 2.6, 35, -12, -13,16,241.6,⑬⑮⑮,,,,,,,,,,,,,16,16,Ｍザザ, 59,中舘英, 1.6, 53,*  2, -21, 6, 11.2,②②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
