09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 6,Ｆフルｰツシチｰ, 48,戸崎圭, 3.7, 33,  -4, -30, 5, 19.5, ⑥⑤,12,17, キョウエイナゲット,---,田中勝, 1.1, 54, -10,  -4,11, 53.4, ⑫⑬,12,12,Ｈアイオロスシチｰ, 68,内田博, 1.9, 62,  -5,   7, 5, 16.9, ⑮⑮,12,16,Ｎヒシポラリス, 80,鈴来直, 1.9, 72,   7,   1,15,283.4, ⑫⑫
13,10,Ｍクリノミスデジタル, 32,加藤士, 4.4, 29, -11, -24,13,299.6, ⑭⑭,13,10, オブジェンヌ,---,柴山雄, 2.6, 36,* -4, -34,17,232.6, ③③,13,14,Ｎメジロホリデイ, 62,吉田豊, 2.1, 59,  -3,   2, 8, 40.0, ⑬⑭,13, 9,Ｅテンザンコノハナ, 85,岩部純, 2.3, 68,* 11,  -7,13,128.6, ①①
14,11,Ｅミラクルコンバット, 49,蛯名正, 4.5, 27,  -4, -36, 4, 13.0, ④⑥,14, 8, ブライトベイ,---,後藤浩, 2.6, 36,  -7, -29,10, 40.2, ⑧⑨,14,16,Ｌエスユｰペニｰ, 63,柴田善, 2.6, 55,*  8, -16,14,175.8, ①①,14, 5,Ｐビッグベアシチｰ, 77,佐藤聖, 2.3, 70,   3,   5,16,306.4, ⑯⑯
,,,,,,,,,,,,15,16, ボルドマキシマム,---,丸田恭, 2.7, 33, -12, -24,16,149.6, ⑭⑮,15,11,Ｏギンザジャスマック, 61,蛯名正, 2.7, 53,   4, -13, 7, 30.5, ⑤④,15, 4,Ｂタイキシルバｰ, 88,大庭和, 2.5, 64,   8,  -4,10, 36.1, ⑦⑧
,,,,,,,,,,,,16,12, レスピエｰグル,---,三浦皇, 5.1,  4, -10, -62,13,103.7, ⑨⑫,16,15,Ｉベルモントノエル, 67,三浦皇, 3.0, 51,   4, -13,10, 64.5, ④⑤,16, 3,Ｏゲットクｰル, 77,加藤士, 3.3, 63,   6,  -7,14,238.7, ⑩⑮
,,,,,,,,,,,,17, 6, ロｰレルキｰファｰ,---,伊藤工, 6.0,  1, -35, -31,15,147.0, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
"単勝:770円 複勝:02=310円 14=760円 08=790円 枠連:4,050円",,,,,,,,,,,,"単勝:400円 複勝:14=190円 15=440円 03=500円 枠連:1,750円",,,,,,,,,,,,単勝:310円 複勝:10=130円 09=120円 03=270円 枠連:240円,,,,,,,,,,,,単勝:420円 複勝:10=150円 06=130円 15=460円 枠連:450円,,,,,,,,,,,
"馬連:6,340円 ワイド:02-14=1,740円 02-08=1,390円 08-14=3,280円",,,,,,,,,,,,"馬連:3,930円 ワイド:14-15=1,150円 03-14=1,430円 03-15=4,460円",,,,,,,,,,,,馬連:220円 ワイド:09-10=140円 03-10=620円 03-09=460円,,,,,,,,,,,,"馬連:480円 ワイド:06-10=230円 10-15=1,210円 06-15=1,020円",,,,,,,,,,,
