09年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａチャンピオンラブ, 66,的場勇,, 76,*  6,*  6, 1,  2.5, ①①, 1,12,Ｃユキノセントウ, 59,後藤浩,, 72,  15,* -1, 4,  6.6,⑩⑥⑥, 1, 2,Ｉストロングジョイス, 67,津村明,, 66,   8,   7,15,108.7,⑧⑤④, 1, 8,Ｄアムｰルマルルｰ, 74,北村宏,, 70,*  5,* 14, 1,  2.6,⑩④③
 2, 8,Ｅダンサｰズブロンド, 58,三浦皇, 1.1, 64,  -1,*  4, 4,  8.1, ⑦④, 2, 7,Ｂクリｰルエイト, 60,石橋脩, 0.3, 70,  15,* -3, 1,  3.0,⑦⑦③, 2, 6,Ｇビｰボタンダッシュ, 67,木幡初, 0.1, 63,   9,   2, 3,  5.7,④③③, 2, 2,Ａタイキジャガｰ, 75,後藤浩, 0.3, 69,*  5,  12, 2,  4.9,③③②
 3, 7,Ｂノボニョ, 61,田辺裕, 1.4, 61,*  4,  -4, 5, 11.2, ②②, 3, 6,Ｉキタサンチｰフ, 49,藤岡康, 0.5, 65,* 18, -16, 9, 35.1,①①①, 3,10,Ｆリネンホｰク, 67,田辺裕, 0.1, 63,   6,*  7,13, 85.2,⑩⑧⑦, 3, 1,Ｇピュアシルヴァｰ, 70,藤岡康, 0.6, 68,   3,  12, 5, 15.6,⑨⑧⑦
 4, 3, ピクチャｰオブユｰ,---,小野次, 1.8, 56,*  2,  -7, 6, 12.3, ③③, 4,13,Ｆエルプレジデンテ, 56,松田大, 0.6, 66,  13,  -6, 2,  5.6,⑭⑩⑦, 4, 7,Ｂブチカマシ, 74,宮崎北, 0.2, 64,   5,*  8, 1,  2.8,⑪⑩⑧, 4, 9,Ｃパワｰストラグル, 74,北村友, 0.8, 66,*  6,   8, 3,  5.4,⑤⑤④
 5, 2, シルクタイタン,---,土谷智, 2.5, 45, -17,*  3, 9, 36.2, ⑮⑮, 5,10,Ｇアクアブルｰスカイ, 53,長谷川, 0.7, 64,* 16, -13,12, 52.8,⑨④②, 5, 5,Ｈアンブロｰクン, 67,後藤浩, 0.3, 64,   5,*  9, 5, 14.3,⑬⑪⑩, 5, 7,Ｊケイアイコンジン, 62,長谷川, 1.0, 69,   2,  13,11, 66.6,⑪⑫⑨
 6, 9,Ｃブリッジトウショウ, 59,武士沢, 2.6, 47,  -3, -10, 2,  4.7, ⑧⑧, 6,14,Ｅカセドラルパレス, 56,北村友, 1.1, 59,* 16, -19, 7, 16.3,⑪⑤④, 6, 3,Ｅグロッケンライン, 68,松山弘, 0.3, 63,   9,   1, 4, 11.9,②②②, 6,12,Ｂヒゼンリバイバル, 74,黛弘人, 1.2, 63,*  5,   5, 4,  5.9,⑥⑥⑤
 7, 1,Ｉロングワイズ, 44,河北通, 2.6, 45, -11,  -4,13,139.6, ⑭⑭, 7, 5,Ｌカジノスタｰ, 47,木幡初, 1.1, 63,  10,* -3,14, 95.5,⑫⑭⑪, 7, 9,Ｄニシノテンクウ, 68,三浦皇, 0.4, 63,   6,   4, 6, 15.7,⑥⑦⑤, 7, 6,Ｉクオリティタイム, 66,河北通, 1.3, 66,   0,* 14,12, 68.0,⑮⑮⑬
 8, 6,Ｋルｰシッドドリｰム, 43,津村明, 2.7, 47,  -3,  -9,12,107.4, ⑨⑨, 8,11,Ｈトップレｰサｰ, 52,宮崎北, 1.8, 52,  13, -22,10, 35.2,⑥⑧⑩, 8, 1,Ａギルティストライク, 75,中舘英, 0.8, 58,* 17, -17, 2,  3.5,①①①, 8,14,Ｎスタｰノｰブルマン, 56,木幡初, 1.5, 59,*  6,   0,13, 81.8,①①①
