09年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ2300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾎﾟｰﾂ報知杯中京2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃプリティカポレイ, 57,秋山真,, 59,  -2,*  5, 2,  4.4,⑧⑦⑥, 1, 6,Ｊコスモヘレノス, 51,石橋脩,, 66,* -4,*  3, 7, 18.3,③②②, 1,14,Ｆスパｰクルシチｰ, 73,川島信,, 75,*  8,*  4, 4,  7.1,⑯③③, 1, 6,Ｇシャイン, 56,川島信,, 71,   5,*  3, 8, 39.3,⑥⑧⑦
 2, 8,Ｋサザンクロスレディ, 41,武幸四, 0.3, 62,*  0,  -1, 3,  6.2,②②②, 2, 2,Ｎエｰシンアクルクス, 46,秋山真, 0.2, 65,  -7,*  7, 2,  4.2,⑦⑦⑥, 2,11,Ｅベルフリｰ, 73,酒井学, 0.1, 75,*  8,   3, 5, 10.8,⑨②②, 2, 1,Ｄオルレアンノオトメ, 63,柴田大, 0.2, 69,   8,  -6, 7, 20.8,②④④
 3,12,Ｂモンスティル, 59,丹内祐, 0.5, 58,* -1,  -1, 5, 17.5,③③③, 3,17,Ｃファイブイｰグル, 61,川島信, 0.4, 58,* -2,  -4, 8, 18.7,①①①, 3,10,Ｂレオプラズマ, 77,的場勇, 0.2, 73,   7,*  4, 3,  5.5,⑥④④, 3, 4,Ａグリュｰネワルト, 73,秋山真, 0.2, 69,*  9,  -9, 1,  2.1,③②②
 4, 4,Ａグスベリｰ, 64,小林徹, 0.7, 57,* -1,  -5, 1,  2.0,①①①, 4,10,Ｅドリｰムレディ, 55,荻野琢, 0.7, 56,* -5,  -3, 5,  8.8,②③③, 4,13,Ｈコスモピグマン, 67,石橋脩, 0.5, 73,   6,*  4, 6, 13.7,⑪⑧⑧, 4, 7,Ｂストレンジラブ, 71,佐藤哲, 0.2, 68,   8,  -5, 2,  2.8,④⑥⑥
 5,11,Ｅミスズファンシｰ, 49,北村友, 0.8, 55,  -3,  -1,10, 37.7,⑪⑥④, 5, 5,Ａニシノメルモ, 68,国分恭, 0.8, 58,  -6,  -1, 1,  3.5,⑥⑥⑤, 5,12,Ａベルモントサｰガ, 82,中舘英, 0.5, 70,*  8,  -1, 1,  2.6,②①①, 5, 2,Ｃビｰビｰスカット, 64,石橋脩, 0.3, 69,   6,  -4, 4,  9.5,⑦⑦⑧
 6, 6,Ｍプレジャｰムｰン, 35,川島信, 1.7, 49,  -6,  -2,15,180.1,⑮⑩⑩, 6, 8,Ｇリバｰハイランド, 54,北村友, 1.0, 56,  -6,  -3, 9, 24.2,⑧⑨⑨, 6, 2,Ｃスリｰサンカリスマ, 77,荻野琢, 0.5, 73,   5,*  6, 2,  4.1,⑤⑩⑨, 6, 5,Ｆベストブルｰム, 57,中舘英, 0.5, 67,*  9, -12, 5, 17.1,⑧③③
 7, 2,Ｇハニカミスマイル, 48,丸山元, 2.0, 48,  -8,  -2,11, 46.5,⑬⑭⑫, 7,18,Ｆデイタイムハミット, 54,武英智, 1.1, 56,  -9,   0, 6, 14.0,⑮⑬⑪, 7, 9,Ｐマｰベラスウイル, 60,田中健, 1.1, 69,   7,  -3,15,288.5,⑬⑥⑥, 7, 8,Ｈモンテフジサン, 54,丸田恭, 0.5, 64,   7, -11, 3,  7.2,⑤⑤⑤
 8,15,Ｉコスモジュリ, 46,石橋脩, 2.2, 47,  -2, -14,13, 86.6,⑤⑤⑦, 8,12,Ｂキクカタキシｰド, 65,宮崎北, 1.3, 55, -10,*  2, 4,  7.8,⑰⑮⑭, 8, 4,Ｍソニックブレｰド, 63,黛弘人, 1.2, 67,   6,  -2,11,144.3,③⑦⑦, 8, 3,Ｅラジャポネｰズ, 61,的場勇, 0.5, 64,*  9, -13, 6, 19.6,①①①
 9, 9,Ｄフラッパｰミク, 52,丸田恭, 2.5, 43,* -1, -18, 6, 22.2,④④⑤, 9, 1,Ｌジャストザシｰズン, 49,中舘英, 1.4, 55,  -9,  -1,10, 33.7,⑬⑭⑫, 9, 7,Ｎシルクレボルシオン, 63,松田大, 1.4, 69,   6,   0,14,191.0,⑦⑭⑬,,,,,,,,,,,,
10,13,Ｊハヴアドリｰム, 43,宮崎北, 2.5, 42,  -3, -15, 8, 29.9,⑦⑧⑧,10, 9,Ｄシルクウェッジ, 55,的場勇, 1.7, 47,* -5, -15, 3,  5.7,④④④,10, 1,Ｇドンドドｰン, 69,竹之下, 1.7, 64,   6,  -7, 7, 13.9,⑫⑨⑩,,,,,,,,,,,,
11, 7,Ｈソルスティス, 48,木幡初, 3.1, 38,  -5, -17, 4, 13.3,⑥⑨⑨,11, 4,Ｋデルマメッサリｰナ, 49,西田雄, 1.8, 48,  -9,  -9,16,202.3,⑩⑩⑧,11,15,Ｄタマモウィナｰ, 73,丸山元, 1.8, 64,*  8, -10, 8, 44.3,④⑤⑤,,,,,,,,,,,,
12, 5,Ｏムｰンライトペスカ, 29,長谷川, 3.2, 43, -10,  -7, 9, 33.3,⑫⑯⑮,12,11,Ｒリスキｰプラン, 29,木幡初, 2.4, 44, -10, -12,17,203.0,⑱⑰⑰,12, 6,Ｋラビシュスペンダｰ, 65,宮崎北, 1.9, 63,   6,  -5,15,288.5,⑩⑫⑪,,,,,,,,,,,,
13,14,Ｎギンザフロック, 35,中舘英, 3.3, 40,  -9, -10, 7, 28.7,⑯⑮⑯,13,16,Ｐシゲルヒデヨシ, 34,中村将, 3.0, 36,  -7, -32,18,246.4,⑨⑧⑩,13, 8,Ｏシルクライトアップ, 61,鈴来直, 1.9, 65,   5,  -2, 9,112.7,⑭⑯⑮,,,,,,,,,,,,
14, 3,Ｆトゥルｰゴｰルド, 49,松山弘, 3.4, 38,  -7, -15,12, 52.4,⑭⑬⑬,14, 3,Ｍコスモアゲハ, 48,池崎祐, 3.0, 37, -10, -22,12, 72.3,⑭⑯⑯,14, 5,Ｌスズカクリアｰ, 64,草野太, 2.5, 60,   5, -10,12,157.4,⑮⑬⑫,,,,,,,,,,,,
15, 1,Ｐトワノロジｰタ, 20,的場勇, 4.1, 32,  -8, -22,14,153.3,⑨⑪⑪,15, 7,Ｉシｰフィアレス, 53,赤木高, 3.1, 36, -13, -18,15,198.9,⑯⑱⑱,15,16,Ｊクオン, 66,渡辺薫, 2.8, 60,   6, -13,13,165.1,⑧⑪⑭,,,,,,,,,,,,
16,10,Ｌエプソムカｰニバル, 38,西田雄, 4.8, 30,  -7, -26,16,282.1,⑩⑫⑭,16,15,Ｏパリスブルｰ, 42,長谷川, 3.3, 35,  -9, -30,13,148.5,⑫⑫⑮,16, 3,Ｉゴｰアップドラゴン, 67,佐藤哲, 3.8, 53,   5, -19,10,114.9,①⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,17,13,Ｈチャメ, 54,黛弘人, 3.3, 34,  -9, -29,11, 56.3,⑪⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,14,Ｑコパノフルミタマ, 33,丸田恭, 4.0, 29,* -5, -49,14,154.5,⑤⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
"単勝:440円 複勝:16=180円 08=230円 12=370円 枠連:1,040円",,,,,,,,,,,,"単勝:1,830円 複勝:06=520円 02=220円 17=570円 枠連:640円",,,,,,,,,,,,単勝:710円 複勝:14=270円 11=300円 10=200円 枠連:490円,,,,,,,,,,,,"単勝:3,930円 複勝:06=820円 01=390円 04=120円 枠連:0円",,,,,,,,,,,
"馬連:1,490円 ワイド:08-16=560円 12-16=1,090円 08-12=1,700円",,,,,,,,,,,,"馬連:4,360円 ワイド:02-06=1,530円 06-17=3,490円 02-17=2,190円",,,,,,,,,,,,"馬連:3,860円 ワイド:11-14=1,430円 10-14=560円 10-11=1,120円",,,,,,,,,,,,"馬連:16,090円 ワイド:01-06=3,320円 04-06=1,350円 01-04=440円",,,,,,,,,,,
"馬単:2,570円 3連複:7,110円 3連単:31,690円",,,,,,,,,,,,"馬単:10,470円 3連複:35,340円 3連単:213,630円",,,,,,,,,,,,"馬単:8,940円 3連複:7,980円 3連単:48,140円",,,,,,,,,,,,"馬単:49,440円 3連複:9,070円 3連単:180,500円",,,,,,,,,,,
■ 2R  ダ1700m 2 歳新馬 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊明特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, トキノフウジン,---,松田大,, 67,* -6,* 11, 5, 12.5,③③③, 1, 9,Ｈユキノクイｰン, 69,西田雄,, 70,* -1,  10, 3,  6.9,②②②, 1, 2,Ｅザリｰン, 73,秋山真,, 84,  13,*  2, 2,  5.6,⑦⑦⑦, 1,14,Ｍエｰシンコンファｰ, 70,秋山真,, 80,* -1,  12,10, 22.9,①①①
 2, 1, コスモイフリｰト,---,石橋脩, 1.3, 56,  -8,   2, 9, 22.7,④⑤⑤, 2,11,Ｂアマゾネスバイオ, 74,国分恭, 0.0, 73,  -5,* 16, 4,  7.4,⑯⑫⑩, 2,11,Ｇシンボリロｰレンス, 72,木幡初, 0.0, 83,  13,*  2, 6, 13.7,⑨⑧⑧, 2,12,Ａナリタシリカ, 83,川島信, 0.1, 79,* -2,  15, 1,  3.7,⑤④④
 3, 4, ネオジェイズレｰヌ,---,秋山真, 1.3, 53,  -9,*  4, 4,  8.6,⑪⑩⑨, 3, 3,Ｊピサノプリヴェ, 68,宮崎北, 0.2, 67,  -3,  11, 9, 27.9,④④④, 3,12,Ａダノンジュンコウ, 78,佐藤哲, 0.2, 79,  14,* -4, 1,  2.2,⑥⑥⑥, 3, 8,Ｊメイウインド, 71,松田大, 0.3, 80,  -4,  15, 4,  8.9,⑦⑥⑥
 4,13, イルベカバｰロ,---,古川吉, 1.5, 54,  -8,   0,13, 37.6,⑦⑥⑥, 4, 1,Ｐオンザスロｰン, 61,丸山元, 0.3, 71,  -6,* 17, 7, 25.5,⑫⑯⑯, 4,10,Ｃマヤノカピオラニ, 76,田中健, 0.7, 76,  14, -11, 5, 11.8,⑤⑤④, 4, 4,Ｆダイワチャｰム, 76,中舘英, 0.3, 78,* -1,   9, 3,  6.4,③②②
 5,11, ニホンピロビｰナス,---,酒井学, 1.7, 52,* -6,  -6, 8, 19.6,①①①, 5, 8,Ｋラヴリｰドリｰム, 68,木幡初, 0.4, 66,* -1,   7, 6, 19.2,①①①, 5, 4,Ｄトレジャｰハント, 74,宮崎北, 0.8, 74,  14, -13, 7, 13.9,④④③, 5, 1,Ｉアディアフォｰン, 74,北村友, 0.4, 78,  -3,  12, 7, 14.1,④⑤⑤
