09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 1,Ｊカシノストライカｰ, 16,赤木高, 2.1, 26, -43,* -1,15,253.3, ⑱⑱,13,13, カネトシパサｰジュ,---,藤岡康, 3.1, 22, -25, -19,14,180.0, ⑬⑬,13, 6,Ｄマスタｰクラウン, 62,石橋守, 1.1, 55, -10,  -1, 4,  8.7, ⑬⑫,,,,,,,,,,,,
14, 4,Ｈオペラサカエ, 26,野元昭, 2.1, 26, -18, -23,12,214.9, ⑩⑩,14, 8, ドラゴンイチロｰ,---,太宰啓, 3.2, 21, -30, -16, 9, 57.2, ⑭⑭,14,15,Ｑヤマニンラシャス, 42,大下智, 1.3, 53,  -8,  -6,17,416.0, ⑩⑬,,,,,,,,,,,,
15,14,Ｇスｰパｰショット, 29,生野賢, 2.2, 24, -14, -29, 8, 60.5, ⑨⑨,15, 6, メイショウジハｰド,---,田中克, 3.8, 14, -35, -19,11, 81.2, ⑮⑮,15,17,Ｒキャシャリン, 34,鈴来直, 1.6, 49, -13,  -4,18,468.6, ⑮⑱,,,,,,,,,,,,
16,17,Ｋテイエムヒンガエド, 11,松山弘, 3.1, 12, -33, -23, 9, 63.7, ⑯⑯,,,,,,,,,,,,,16, 7,Ｐスマイリｰアサシン, 44,武豊  , 2.3, 40, -12, -15,11, 51.5, ⑭⑰,,,,,,,,,,,,
17,11,Ｎコウユｰヒｰロｰ,  1,安藤光, 3.2, 10, -34, -24,16,305.1, ⑭⑰,,,,,,,,,,,,,17, 1,Ｏエリモシャトレｰゼ, 45,佐久間, 2.3, 41,  -6, -20,16,289.8, ⑦⑧,,,,,,,,,,,,
18,13,Ｄテイエムヨカゲナ, 35,佐藤哲, 4.6,-10,*  2, -76, 6, 24.1, ①②,,,,,,,,,,,,,18,18,Ｍサイキョウシャトル, 51,藤岡康, 3.3, 27,  -5, -34,13, 96.6, ⑨⑪,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:180円 複勝:07=110円 03=110円 05=180円 枠連:280円,,,,,,,,,,,,単勝:190円 複勝:07=110円 11=150円 10=140円 枠連:250円,,,,,,,,,,,,"単勝:1,770円 複勝:10=640円 12=730円 03=200円 枠連:8,310円",,,,,,,,,,,,"単勝:600円 複勝:05=200円 03=310円 07=580円 枠連:2,760円",,,,,,,,,,,
馬連:250円 ワイド:03-07=160円 05-07=380円 03-05=430円,,,,,,,,,,,,馬連:600円 ワイド:07-11=240円 07-10=230円 10-11=320円,,,,,,,,,,,,"馬連:20,830円 ワイド:10-12=7,020円 03-10=1,970円 03-12=2,710円",,,,,,,,,,,,"馬連:2,650円 ワイド:03-05=770円 05-07=1,370円 03-07=1,690円",,,,,,,,,,,
"馬単:500円 3連複:680円 3連単:2,010円",,,,,,,,,,,,"馬単:900円 3連複:810円 3連単:2,910円",,,,,,,,,,,,"馬単:39,250円 3連複:37,280円 3連単:346,200円",,,,,,,,,,,,"馬単:5,030円 3連複:10,900円 3連単:65,770円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,指宿特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
