09年 6月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄエルメスグリｰン, 56,岩田康,, 71,   2,*  6, 4,  9.8, ③④, 1,15, ゴｰオンホｰマン,---,飯田祐,, 70,  -4,* 10,12, 80.6, ③③, 1, 1,Ｈディアプリンシパル, 71,蛯名正,, 76,   9,*  4, 4, 10.8,⑨⑨⑦, 1, 9,Ｃドリｰムジャｰニｰ, 93,池添謙,,103,  15,* 23, 2,  7.1,⑩⑪⑩
 2,12,Ｊジニオマッジョｰレ, 40,松岡正, 1.1, 62,*  3,  -5, 3,  7.4, ②②, 2, 5, キンショｰダンデｰ,---,浜中俊, 0.5, 66,*  2,  -1, 9, 32.8, ①①, 2, 5,Ｂマチカネカミカゼ, 78,武豊  , 0.2, 74,   9,   1, 1,  2.6,⑧⑦⑥, 2, 8,Ｄサクラメガワンダｰ, 93,福永祐, 0.3, 96,* 17,  12, 3,  8.3,⑥⑥⑤
 3,11,Ｂサンデｰロｰズ, 61,武豊  , 1.4, 59,   1,  -5, 1,  2.5, ⑦⑤, 3,10, コスモファントム,---,松岡正, 1.3, 58,  -6,   0, 2,  4.3, ④④, 3,10,Ｋキャトルキャｰル, 67,小牧太, 0.5, 75,   4,*  8,11, 64.7,⑭⑭⑭, 3,11,Ｆディｰプスカイ, 92,四位洋, 0.3, 96,  15,  15, 1,  1.6,⑧⑨⑨
 4, 2,Ｇテラノチャンス, 53,国分恭, 1.5, 58,  -2,  -3,15,195.4, ⑩⑧, 4, 2, エｰシンホワイティ,---,福永祐, 1.5, 57, -11,*  3, 1,  3.3, ⑨⑩, 4, 6,Ａヨクバリ, 81,川田将, 0.6, 73,   8,   1, 2,  3.6,⑩⑩⑩, 4,14,Ｇカンパニｰ, 89,岩田康, 0.4, 95,* 17,  11, 7, 31.5,④④④
 5,15,Ｅテイエムミチシオ, 55,幸英明, 1.6, 57,  -5,*  2, 8, 19.3, ⑭⑫, 5, 7, トミケンパルテイ,---,武豊  , 1.8, 54,*  1, -11, 3,  4.5, ②②, 5, 8,Ｆファイトシｰン, 73,松山弘, 0.8, 71,   5,*  3,14,163.6,⑬⑬⑬, 5,10,Ｉスクリｰンヒｰロｰ, 86,横山典, 0.5, 93,* 17,   8, 6, 21.4,②③③
 6,10,Ａネオイユドゥレｰヌ, 62,横山典, 1.7, 56,  -2,  -5, 2,  4.5, ⑨⑦, 6, 8, タイキフレンチキス,---,太宰啓, 2.2, 51,  -8,  -6,13,111.0, ⑥⑥, 6,14,Ｊセレスブレイク, 68,浜中俊, 1.2, 67,* 11, -13,12,109.4,①②②, 6, 7,Ａアルナスライン, 95,蛯名正, 0.5, 94,  15,  12, 4,  9.6,⑨⑧⑧
 7, 1,Ｋシェダル, 39,小牧太, 1.8, 56,   0,  -8, 5,  9.9, ⑤⑥, 7, 1, ドラゴンゼファｰ,---,和田竜, 2.6, 48, -19,   1,11, 41.6, ⑬⑫, 7, 4,Ｌカタンジャレ, 66,熊沢重, 1.3, 68,   7,  -7,13,162.2,⑦⑧⑨, 7, 1,Ｂマイネルキッツ, 94,松岡正, 0.7, 93,  15,   9, 5, 17.5,⑦⑦⑦
 8,14,Ｃシｰガルプリンセス, 59,小林慎, 2.6, 51,*  3, -18, 7, 12.4, ④③, 8, 6, ゼットセブン,---,岩田康, 2.7, 46, -10,  -9, 4,  5.1, ⑪⑨, 8,15,Ｄケイアイダイコク, 78,岩田康, 1.6, 66,   6,  -6, 3,  4.8,⑫⑫⑪, 8, 3,Ｊスマｰトギア, 85,武豊  , 0.9, 92,  13,  15, 8, 43.5,⑬⑬⑬
