09年 2月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｇユウキハングリｰ, 51,郷原洋,, 72,* 17, -18, 9, 60.4, ①①, 1, 8, アポロノサトリ,,平沢健,,,,, 1,  2.2,②②①, 1, 4,Ｂサイオン, 74,三浦皇,, 78,   0,* 15, 1,  2.7, ⑧⑦, 1, 6,Ｇマルタカハｰモニｰ, 78,蛯名正,, 84,  14,  -3, 8, 40.4,②②②
 2, 7,Ｏコロナルｰプ, 32,内田博, 0.1, 67,*  7,  -7, 2,  7.6, ②②, 2, 1, アラメダキング,,五十嵐,203.1,,,, 3,  7.7,①①②, 2,11,Ｃシｰフォｰアイ, 72,横山典, 0.2, 74,*  3,   9, 2,  3.2, ②②, 2, 8,Ｈトウショウウェイヴ, 78,吉田豊, 0.2, 84,   7,*  8, 1,  2.2,⑦⑥⑥
 3, 1,Ａスプラッシュエンド, 68,横山典, 0.4, 63,   3,* -4, 1,  1.4, ④⑤, 3,12, ドクタｰグリム,,横山義,203.1,,,, 2,  3.0,④③③, 3, 1,Ａシュヴァイツァｰ, 76,松岡正, 0.3, 74,*  3,   8, 3,  5.2, ①①, 3, 4,Ａイケトップガン, 88,大野拓, 0.6, 80,   3,* 10, 2,  2.7,⑨⑩⑩
 4,10,Ｂフレアリングロｰズ, 61,吉田隼, 0.5, 61,  -1,* -1, 4, 15.2, ⑪⑪, 4, 3, コアレススイフト,,水出大,204.7,,,, 4,  8.7,⑧⑥⑥, 4, 7,Ｈツクバタイヨウ, 67,後藤浩, 0.3, 75,   2,  10, 4,  8.3, ③③, 4,10,Ｂエリモファイナル, 85,内田博, 0.8, 76,  11,  -9, 3,  7.4,⑤③③
 5, 8,Ｈベルモントアイリス, 49,武士沢, 1.7, 50,  -6,  -5, 6, 22.4, ⑫⑫, 5,11, トレオウオブキング,,穂苅寿,204.8,,,, 5, 20.2,⑤④④, 5,10,Ｆブルｰセイコｰ, 68,内田博, 0.7, 72,  -1,* 11, 6, 20.9, ⑪⑨, 5, 1,Ｉコスモスペシャリｰ, 76,石橋脩, 0.9, 74,* 19, -29, 6, 21.3,①①①
 6, 9,Ｌデライトシチｰ, 42,村田一, 2.1, 49,  -9,  -6,12,107.8, ⑭⑭, 6, 7, トップオブオアフ,,宗像徹,205.4,,,, 6, 23.2,⑩⑧⑧, 6,16,Ｄゴｰルドモｰル, 71,木幡初, 1.0, 70,*  2,   4, 7, 21.3, ④④, 6, 7,Ｆトｰセンクラウン, 80,吉田隼, 0.9, 76,   4,   2, 5, 17.7,⑧⑧⑧
 7,11,Ｃレッドハイヒｰル, 61,松岡正, 2.5, 46,   5, -26, 5, 17.0, ⑤④, 7, 9, レオスタｰライト,,山本康,206.3,,,, 9, 38.9,⑦⑦⑦, 7, 2,Ｉエジソン, 63,武豊  , 1.1, 71,  -2,  10, 5, 12.5, ⑮⑪, 7, 2,Ｄプラズマ, 81,三浦皇, 1.0, 75,   7,  -5, 4,  8.9,③④④
 8, 2,Ｎメジロテンダｰ, 33,吉田豊, 2.5, 45,  -1, -19, 7, 37.8, ⑩⑩, 8,10, フジサイレンス,,高野和,207.8,,,, 7, 32.6,⑫⑪⑪, 8,15,Ｅディアテクノバトル, 70,吉田豊, 1.2, 69,   0,   4, 8, 27.6, ⑥⑥, 8, 9,Ｊサインオブゴッド, 72,木幡初, 1.3, 71,   7,  -9,10,142.0,④⑤⑤
