09年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13, 4, プロスペクタス,---,佐藤哲, 3.1,  9, -35,  -5,14,141.5, ⑫⑫,13, 9,Ｌカリスマシャチョウ, 69,中村将, 2.0, 63,  -2,   5,13, 85.0,③④⑧,12, 3,Ｏマルタｰズロビン, 72,赤木高, 0.9, 74,  -9,* 15,12, 26.7, ⑮⑮
,,,,,,,,,,,,14,10, カシノバｰゼリア,---,赤木高, 4.5,-13, -44, -16,15,212.3, ⑭⑮,14, 6,Ｐスズカカリズマ, 56,大下智, 2.3, 62,  -5,   6,16,383.3,⑭⑫⑮,14,14,Ｈマチカネハヤテ, 79,田中克, 1.1, 72,*  8,  -3, 8, 15.6, ③③
,,,,,,,,,,,,15,11, エｰシンクロアゲハ,---,福永祐, 5.6,-28, -46, -27, 9, 24.7, ⑮⑭,15,14,Ｋキンシニュｰストン, 70,安藤光, 2.7, 58,  -4,   3,14,117.3,⑧⑬⑯,15,16,Ｉベイリングボｰイ, 78,渡辺薫, 1.1, 72,   4,   1, 7, 12.3, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｎサンライズエルソル, 60,藤岡康, 2.7, 59,  -2,  -1, 9, 33.0,⑤⑤⑬,16,11,Ｐゲットクｰル, 70,鮫島良, 1.2, 72, -15,* 18,16,187.7, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:4,970円 複勝:05=1,270円 03=170円 04=1,130円 枠連:6,400円",,,,,,,,,,,,"単勝:560円 複勝:09=200円 08=300円 06=130円 枠連:3,640円",,,,,,,,,,,,"単勝:840円 複勝:15=220円 03=340円 10=120円 枠連:3,540円",,,,,,,,,,,,"単勝:540円 複勝:05=200円 02=260円 10=310円 枠連:1,570円",,,,,,,,,,,
"馬連:5,570円 ワイド:03-05=1,660円 04-05=5,480円 03-04=1,670円",,,,,,,,,,,,"馬連:3,110円 ワイド:08-09=900円 06-09=390円 06-08=680円",,,,,,,,,,,,"馬連:5,380円 ワイド:03-15=1,090円 10-15=370円 03-10=530円",,,,,,,,,,,,"馬連:2,350円 ワイド:02-05=880円 05-10=970円 02-10=1,240円",,,,,,,,,,,
"馬単:16,830円 3連複:30,530円 3連単:328,310円",,,,,,,,,,,,"馬単:6,260円 3連複:2,610円 3連単:23,220円",,,,,,,,,,,,"馬単:10,790円 3連複:3,190円 3連単:37,340円",,,,,,,,,,,,"馬単:4,810円 3連複:7,420円 3連単:39,840円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  芝3390m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,小倉ｻﾏｰｼﾞｬﾝﾌﾟ,,,,,,,,,,,,天草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｅコスモクリスタル, 56,和田竜,, 71,   1,*  4, 5, 14.0, ⑦⑥, 1,14,Ｃトウカイセレブ, 62,金折知,, 70,*  5,*  3, 4,  9.1,②②①, 1, 9, エイシンボストン,,西谷誠,,,,, 1,  2.5,⑤③②, 1, 2,Ｄマイエンブレム, 81,武豊  ,, 83,   9,* 13, 3,  5.0,⑮⑧①
 2,15,Ｂラガｰゴｰルデン, 62,小坂忠, 0.2, 70,   2,*  2, 4, 11.4, ⑥⑤, 2, 2,Ａゴルデンシュライン, 67,国分恭, 0.3, 68,   3,*  3, 1,  2.1,④③②, 2, 6, マンノレｰシング,,金折知,221.4,,,,10, 37.6,⑬⑦⑤, 2, 8,Ｂシｰポラリス, 84,太宰啓, 0.0, 84,   8,* 15, 1,  3.1,⑩⑩⑤
 3, 3,Ａワｰルドロレックス, 67,浜中俊, 0.3, 70,*  7,  -5, 1,  1.5, ②②, 3,12,Ｉムｰヴィンオン, 55,大下智, 0.7, 66,   0,*  6, 6, 34.6,⑬⑨⑧, 3, 1, テイエムトッパズレ,,佐久間,221.6,,,, 4,  9.8,⑥④④, 3,14,Ｈホｰマンラフィット, 79,金折知, 0.8, 77,   6,* 11,12, 79.6,⑫⑫⑩
 4, 6,Ｈチャｰムタンポポ, 51,太宰啓, 0.7, 65,*  9, -13,10,112.6, ①①, 4,15,Ｅガンダｰラ, 62,和田竜, 1.2, 62,*  5,  -6, 3,  5.7,③④④, 4, 2, ビコｰフェザｰ,,白浜雄,222.0,,,, 8, 22.4,⑭⑫⑧, 4, 5,Ｍクリノゴｰルド, 75,生野賢, 1.6, 71,* 11,  -3,16,259.5,④②④
 5, 1,Ｏタテヤマキセキ, 43,幸英明, 0.9, 57,  -6,  -1, 6, 18.2, ⑩⑩, 5, 6,Ｄブルｰパフュｰム, 62,藤岡康, 1.6, 61,   2,  -5, 9, 49.7,⑧⑦⑦, 5, 3, ロングアキレス,,植野貴,222.1,,,, 5, 10.0,⑩⑧⑦, 5, 1,Ｉミステリｰゲスト, 79,福永祐, 1.7, 72,   8,   1,10, 56.4,⑨⑨⑪
 6,14,Ｊイサミゴｰルド, 49,田中健, 1.0, 59,  -1,  -6,15,231.6, ⑧⑧, 6, 8,Ｇバリアントバイオ, 56,松山弘, 1.7, 59,  -1,  -1,10, 53.9,⑫⑪⑪, 6,11, マヤノスタｰダム,,今村康,222.4,,,, 7, 19.6,②①①, 6,16,Ｃゴｰルデンガッツ, 82,松山弘, 1.7, 70,* 10,  -4, 5, 13.1,③③③
 7, 5,Ｆマイプレファランス, 55,飯田祐, 1.0, 58,   2, -10, 7, 34.4, ⑤④, 7, 7,Ｋスイｰトメロン, 51,橋本美, 1.8, 60,  -1,  -2,15,152.3,⑨⑩⑨, 7,13, ドングラシアス,,熊沢重,222.6,,,, 3,  7.2,①②③, 7, 7,Ｐワンダフルドｰラ, 69,赤木高, 1.9, 69,   3,   6,13,188.8,⑭⑯⑯
 8,17,Ｎタマモコロナ, 44,鈴来直, 1.1, 57,   4, -13, 9, 54.2, ④⑦, 8, 1,Ｈロｰレルファイアｰ, 56,浜中俊, 2.0, 57,   3, -10,11, 88.9,⑥⑥⑥, 8, 4, エイシンペキン,,横山義,223.0,,,,12, 50.2,⑧⑨⑩, 8,11,Ａワｰルドワイド, 85,上村洋, 2.0, 68,  10,  -6, 2,  3.2,⑥⑤⑥
 9, 4,Ｉサンマルエミネム, 50,野元昭, 1.3, 52,  -7,  -5,18,422.9, ⑫⑭, 9, 4,Ｎクンチャン, 48,飯田祐, 2.5, 52,*  5, -19, 7, 36.4,①①③, 9, 5, ハマノオラトリオ,,高田潤,223.7,,,, 6, 13.6,③⑤⑥, 9,13,Ｎトラベルシチｰ, 74,小牧太, 2.0, 68,   9,  -4,11, 69.9,⑧⑦⑨
10, 9,Ｃハｰトマン, 61,小牧太, 1.3, 52, -13,*  2, 3,  8.1, ⑰⑮,10,11,Ｏシｰソブリン, 42,角田晃, 2.8, 55,  -7,   1,13,144.9,⑮⑮⑬,10,12, ペガサスファイト,,出津孝,223.9,,,,13, 91.6,⑨⑬⑬,10, 4,Ｌカシノブレイヴリ, 76,熊沢重, 2.1, 67,* 11, -10, 8, 32.8,①①②
11,13,Ｄキングコｰリンオｰ, 61,熊沢重, 1.4, 55,*  7, -19, 2,  7.0, ③③,11,13,Ｂフレンチシチｰ, 66,佐藤哲, 3.2, 46,   3, -22, 2,  3.3,⑦⑤⑤,11, 8, ハストラング,,仲田雅,224.3,,,, 9, 25.3,⑦⑩⑪,11,15,Ｇレゾリュｰション, 79,渡辺薫, 2.6, 65,   5,  -3, 7, 24.3,⑪⑬⑬
12,10,Ｐアクリボス, 41,松山弘, 1.7, 45, -11,  -7,14,193.4, ⑬⑬,12, 9,Ｍロングワイズ, 49,赤木高, 3.3, 48,  -8,  -2, 8, 48.5,⑭⑭⑭,12,14, バトルブレｰヴ,,菊地昇,225.0,,,, 2,  4.5,④⑥⑨,12,12,Ｆホｰマンクラフト, 80,川田将, 2.7, 65,   6,  -4, 4,  7.1,⑬⑭⑫
13,16,Ｇジャズシンガｰ, 52,福永祐, 1.7, 48,  -3, -14, 8, 44.4, ⑨⑨,13,10,Ｌツキヨ, 49,太宰啓, 3.7, 45,   2, -23,12,140.4,⑩⑧⑩,13, 7, メイショウタロｰ,,林満明,225.2,,,,14,105.9,⑫⑭⑭,13,10,Ｅトｰホウオルビス, 80,中村将, 2.8, 61,  10, -12, 9, 43.9,②④⑧
14, 2,Ｍアキノビギニング, 49,上村洋, 1.7, 48, -25,*  9,12,182.7, ⑱⑱,14, 3,Ｆヘヴンキッシング, 57,川田将, 3.9, 43,  -2, -19, 5, 23.1,⑪⑫⑫,14,10, マｰブルジｰン,,小坂忠,225.3,,,,11, 46.3,⑪⑪⑫,14, 3,Ｋトムトップ, 77,安藤光, 3.1, 59,   5,  -8,15,219.3,⑯⑮⑭
15, 7,Ｋダンツライダｰ, 49,国分恭, 1.8, 46,  -6, -13,12,182.7, ⑪⑪,15, 5, グラススティｰヴ,---,安藤光, 4.9, 36, -12, -10,16,296.3,⑯⑯⑯,,,,,,,,,,,,,15, 6,Ｊディアプリンシパル, 78,和田竜, 3.1, 61,   9, -14, 6, 24.0,⑤⑥⑦
16, 8,Ｌオウドウリｰチ, 49,高橋亮, 1.8, 44, -13,  -7,17,328.4, ⑭⑫,16,16,Ｊトシザナナミ, 53,上村洋, 9.8, -1,  -3, -68,14,147.2,⑤⑬⑮,,,,,,,,,,,,,16, 9,Ｏビｰチブリｰズ, 71,酒井学, 4.3, 53,   6, -20,14,189.4,⑦⑪⑮
17,11, ニュｰセンチュリｰ,---,角田晃, 2.2, 41, -12, -11,11,166.0, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12,Ｑサンマルミッシェル, 38,赤木高, 2.8, 33, -12, -19,16,254.9, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-12),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:-12),,,,,,,,,,,
"単勝:1,400円 複勝:18=270円 15=240円 03=110円 枠連:1,480円",,,,,,,,,,,,単勝:910円 複勝:14=220円 02=130円 12=590円 枠連:270円,,,,,,,,,,,,"単勝:250円 複勝:09=140円 06=620円 01=340円 枠連:1,010円",,,,,,,,,,,,"単勝:500円 複勝:02=210円 08=140円 14=1,020円 枠連:790円",,,,,,,,,,,
"馬連:4,990円 ワイド:15-18=1,180円 03-18=410円 03-15=320円",,,,,,,,,,,,"馬連:1,010円 ワイド:02-14=360円 12-14=1,650円 02-12=1,000円",,,,,,,,,,,,"馬連:4,810円 ワイド:06-09=1,550円 01-09=620円 01-06=5,920円",,,,,,,,,,,,"馬連:780円 ワイド:02-08=410円 02-14=4,750円 08-14=2,770円",,,,,,,,,,,
"馬単:12,250円 3連複:2,060円 3連単:27,770円",,,,,,,,,,,,"馬単:2,920円 3連複:4,760円 3連単:30,020円",,,,,,,,,,,,"馬単:7,120円 3連複:16,140円 3連単:84,030円",,,,,,,,,,,,"馬単:1,890円 3連複:18,170円 3連単:72,980円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,有明特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃフォレストルｰラｰ, 59,松山弘,, 67,*  2,*  3, 7, 26.8, ②②, 1,14,Ａパラディｰゾ, 64,武豊  ,, 73,* -2,* 12, 1,  1.7,⑨①①, 1, 5,Ａヴェンティ, 79,佐藤哲,, 77,*  6,   5, 3,  5.6, ②②, 1,12,Ａドリｰムライナｰ, 75,武豊  ,, 81,* -3,  19, 1,  2.9,①①①
 2,13,Ｂメイショウフレアｰ, 63,福永祐, 0.4, 63,  -5,*  4, 1,  1.7, ⑦④, 2, 3,Ｂゴｰルデンゴｰル, 62,幸英明, 0.6, 70,  -6,* 12, 2,  4.3,⑭⑧④, 2,17,Ｅアスタｰエンペラｰ, 68,福永祐, 0.1, 77,*  9,   1, 6, 12.9, ①①, 2, 8,Ｆブライダルベｰル, 67,藤岡康, 0.0, 87,  -5,* 28, 4,  7.6,⑤⑤⑤
 3, 8,Ｄトロピカルマドンナ, 56,藤岡康, 0.7, 60,  -1,  -2, 5, 17.0, ③③, 3,16,Ｄシンゼンライク, 61,飯田祐, 0.7, 65,* -2,   3, 4, 16.0,②②③, 3,16,Ｃラヴファンタジスタ, 69,武豊  , 0.4, 72,  -2,   8, 1,  4.2, ⑦⑤, 3, 5,Ｄマルサンリタｰン, 72,太宰啓, 0.4, 77,* -3,  15, 5, 10.6,②②②
 4, 1,Ａチェンジ, 65,飯田祐, 0.9, 58,*  2,  -6, 2,  3.8, ①①, 4, 4, ピサノハｰレｰ,---,川田将, 0.9, 64,* -4,   3, 9, 38.3,①③②, 4,15,Ｏハマノモナｰク, 59,渡辺薫, 0.4, 74,  -7,* 13, 9, 18.8, ⑩⑥, 4, 9,Ｃサプライズユｰ, 73,佐藤哲, 0.5, 77,  -5,  19, 3,  4.3,⑥④③
 5, 9,Ｆハイウイング, 54,高野容, 1.6, 51,  -3,  -7,12,115.1, ④⑤, 5, 1,Ｅエストレｰラ, 58,小牧太, 1.6, 56,  -5,  -4, 8, 32.4,③⑤⑥, 5, 4,Ｌシルクナデシコ, 64,松山弘, 0.5, 74, -15,* 20, 4,  7.1, ⑰⑯, 5, 3,Ｂナイトフッド, 73,福永祐, 0.6, 81, -10,* 26, 2,  3.3,⑨⑨⑧
 6,11,Ｅドリｰムバンブｰ, 56,太宰啓, 1.8, 49,  -3, -10, 3, 10.3, ⑤⑥, 6,15,Ｇリラックススマイル, 57,上村洋, 1.6, 57,  -8,   0, 5, 19.0,⑩⑩⑨, 6,18,Ｋパラダイスイズヒア, 65,浜中俊, 0.6, 70,*  2,   1,10, 21.1, ④④, 6, 2,Ｅヒカリアスティル, 71,小牧太, 0.6, 80,  -7,  22, 6, 14.1,⑧⑦⑥
