09年 6月28日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月28日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄガリレオシチｰ, 63,柴田善,, 67,   1,*  4, 2,  4.0, ④③, 1,11, レオスタｰライト,,平沢健,,,,, 5, 13.8,⑦⑥⑤, 1,16,Ｂタカラサンデｰ, 67,北村宏,, 70,*  8,* -2, 2,  4.8,①①①, 1,15,Ｈスパｰブスピリット, 76,北村宏,, 77,   5,  11,11, 41.6, ④④
 2,16,Ａダｰクシャナオｰ, 72,田中勝, 0.1, 70,*  8,  -2, 1,  2.7, ①①, 2, 9, モリノミヤコ,,浜野谷,182.6,,,, 3,  6.9,④②②, 2, 7,Ａグリッドマトリクス, 73,木幡初, 0.3, 70,*  6,* -4, 1,  1.7,②②②, 2,16,Ａオオヒメ, 82,柄崎将, 0.0, 77,   2,  12, 1,  2.2, ⑥⑤
 3, 9,Ｇトｰセンストロング, 49,北村宏, 0.5, 64,*  5,  -4, 7, 44.2, ②②, 3,13, トミケンクラｰジュ,,宗像徹,183.1,,,, 1,  1.9,③③③, 3, 1,Ｄダイワオｰダｰ, 59,武士沢, 1.0, 62,   2,* -6, 3, 13.3,⑩⑧⑤, 3, 9,Ｉタンティモｰル, 75,内田博, 0.1, 77,  -3,* 16, 3,  5.9, ⑨⑨
 4, 3,Ｂレオアドミラル, 65,江田照, 0.8, 59,  -2,   0, 3,  6.4, ⑨⑨, 4, 6, ステルスソニック,,五十嵐,183.8,,,, 2,  4.4,①①①, 4, 5,Ｉサウザンドライツ, 49,田辺裕, 1.1, 62,   4,  -9, 6, 19.2,⑦⑦⑧, 4,13,Ｃフロイデタンツェン, 77,田辺裕, 0.1, 74,   0,  13,12, 45.7, ⑦⑦
 5, 8,Ｃドリｰムアスパイア, 63,木幡初, 1.1, 55,  -1,  -3, 4,  6.6, ⑦⑥, 5, 7, ヒデフジ,,蓑島靖,184.6,,,,11, 58.4,⑩⑧⑧, 5,10,Ｆトミケンヘイロｰ, 55,吉田豊, 1.6, 58,   1, -12, 8, 24.7,⑬⑩⑨, 5, 1,Ｇブルｰカｰディナル, 76,木幡初, 0.2, 74,   2,  11, 4, 12.7, ⑤⑥
 6,13,Ｉアラマサセンタｰ, 49,勝浦正, 1.1, 54,  -8,*  2,10, 66.0, ⑬⑫, 6, 3, ドレックセル,,水出大,185.2,,,, 9, 42.1,②④④, 6,11,Ｃショｰンバロｰズ, 59,石橋脩, 1.8, 55,*  6, -25, 4, 15.4,③③④, 6,11,Ｊセレスダイナミック, 75,後藤浩, 0.5, 72,  -2,  12, 7, 27.3, ⑩⑩
 7, 2,Ｈシノブワンダｰ, 49,田辺裕, 1.1, 53,  -8,*  2,12,133.6, ⑫⑪, 7, 8, ハルノドトウｰ,,柴田大,186.0,,,, 8, 31.5,⑤⑤⑥, 7, 2,Ｅプラチナムブルｰ, 56,柴田善, 1.8, 54,   5, -22, 9, 26.7,⑥④③, 7,14,Ｅチャｰムウィｰク, 76,柴山雄, 0.5, 73,   0,  10, 5, 14.9, ⑧⑧
 8, 6,Ｅタケデンエンデバｰ, 59,伊藤工, 1.5, 51,   1,  -9, 5,  7.0, ③⑤, 8, 4, カシノダンク,,高野容,186.0,,,, 7, 26.5,⑥⑦⑦, 8,14,Ｋマルブツロック, 48,村田一, 1.9, 56,   5, -23, 7, 19.9,⑤⑥⑥, 8, 3,Ｂホッコｰワンマン, 77,柴田善, 0.6, 72,  -7,* 15, 9, 34.4, ⑫⑬
