09年11月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂパｰルオｰプン, 54,北村宏,, 55,* -5,  -1, 4,  6.9, ①①, 1, 5, トキメキヒｰロｰ,,石神深,,,,, 3,  9.7,⑤③③, 1,16,Ｂナムラカクレイ, 76,内田博,, 85,*  4,* 17, 2,  3.8, ③③, 1, 3,Ｃラドラｰダ, 83,北村宏,, 94,  -4,* 30, 1,  2.0, ⑨⑨
 2,14,Ａケイアイブリザｰド, 59,岩田康, 0.2, 55,* -7,  -1, 1,  4.1, ③③, 2, 6, トミケンブロｰド,,金子光,204.1,,,, 4, 11.6,①①①, 2, 4,Ａサクセスオネスティ, 87,北村宏, 0.1, 83,*  5,* 15, 1,  1.5, ①①, 2, 8,Ｂヒカルアマランサス, 83,藤岡康, 0.1, 90,* -2,  22, 2,  5.9, ④③
 3,13,Ｃゴｰルインマｰク, 52,勝浦正, 0.7, 52, -17,*  7, 2,  4.4, ⑯⑭, 3, 2, チャイコフスキｰ,,五十嵐,204.7,,,, 1,  2.1,④②②, 3,14,Ｍエフティレガシｰ, 59,柴山雄, 1.2, 75,   3,   9, 8, 41.7, ⑥⑥, 3, 5,Ｆラフレッシュブルｰ, 79,吉田豊, 0.3, 88,  -3,  21,12, 52.1, ③④
 4,11,Ｍラッシュザワｰク, 29,内田博, 1.0, 49,  -9,  -5, 6, 13.6, ⑤⑥, 4,10, タカラボス,,大庭和,204.8,,,, 7, 25.8,③⑥⑤, 4, 3,Ｃシンボリバッハ, 76,柴田善, 1.9, 70,  -1,   7, 4, 21.1, ⑨⑨, 4, 9,Ｎホクトグレイン, 75,柴田善, 0.3, 85,*  1,  15,10, 36.0, ①①
 5, 1,Ｐセッテステラ,-10,柴山雄, 1.3, 46,  -8,  -8,12, 41.3, ④④, 5, 1, エイワヴァｰジニア,,大江原,204.9,,,, 2,  2.9,⑥④④, 5,10,Ｇチェリｰクラウン, 69,田辺裕, 2.0, 70,  -4,  11, 7, 40.8, ⑭⑮, 5, 4,Ｄアスクデピュティ, 82,内田博, 0.4, 90,  -7,* 28, 7, 22.1, ⑰⑯
 6,15,Ｅモノリス, 47,幸英明, 1.5, 45, -11,  -6, 9, 28.7, ⑪⑨, 6, 8, トミケンコウテイ,,穂苅寿,206.2,,,,11,106.4,⑩⑩⑧, 6, 7,Ｋデルマレグルス, 65,スミヨ, 2.0, 69,   4,   2,11,112.2, ④④, 6,11,Ｇタイセイハニｰ, 79,浜中俊, 0.6, 86,  -5,  21,13, 65.0, ⑩⑩
 7, 8,Ｊエンダｰズシャドウ, 39,松岡正, 1.8, 44, -19,*  1, 8, 26.9, ⑮⑯, 7, 3, オンワｰドカルマ,,鈴木慶,206.4,,,,14,217.2,⑧⑦⑦, 7, 1,Ｆインプリシット, 69,松岡正, 2.1, 68,   1,   4, 6, 31.2, ⑦⑦, 7,16,Ｅランペイア, 80,スミヨ, 0.6, 86,  -5,  21, 6, 16.0, ⑭⑫
 8, 4,Ｌチェンジストリｰム, 38,後藤浩, 1.9, 40,* -6, -17, 7, 15.4, ②②, 8, 7, グラスハｰブ,,山本康,208.0,,,, 9, 56.0,⑦⑧⑨, 8,15,Ｅジャングルゼット, 70,田中勝, 2.4, 65,   0,   2,10, 69.4, ⑩⑩, 8, 6,Ｍアイアムネオ, 76,横山典, 0.8, 79,  -3,  14, 4,  9.8, ⑤⑤
