09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｌオカｰルノキセキ, 62,小林久, 1.0, 62,  -9,   4,18,170.5, ⑪⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｏセレブラｰル, 62,佐藤哲, 1.0, 62,  -6,   2,10, 25.8, ⑨⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｆバロンダンス, 69,宮崎北, 1.0, 64,  -7,   4, 6, 11.3, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｑリｰガルアミュｰズ, 54,浜中俊, 1.2, 61,  -6,  -1,11, 25.9, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｒダイワミュｰトス, 52,西田雄, 2.1, 48,  -6, -13,17,149.5, ⑦⑨
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,560円 複勝:04=410円 05=150円 02=1,030円 枠連:1,700円",,,,,,,,,,,,単勝:200円 複勝:06=130円 07=550円 枠連:0円,,,,,,,,,,,,"単勝:1,340円 複勝:02=380円 09=470円 08=350円 枠連:2,770円",,,,,,,,,,,,"単勝:650円 複勝:02=240円 04=900円 05=290円 枠連:1,530円",,,,,,,,,,,
"馬連:2,470円 ワイド:04-05=920円 02-04=6,380円 02-05=3,850円",,,,,,,,,,,,"馬連:1,380円 ワイド:06-07=450円 02-06=160円 02-07=610円",,,,,,,,,,,,"馬連:5,260円 ワイド:02-09=1,300円 02-08=1,170円 08-09=1,020円",,,,,,,,,,,,"馬連:15,790円 ワイド:02-04=4,260円 02-05=880円 04-05=4,850円",,,,,,,,,,,
"馬単:6,320円 3連複:42,210円 3連単:262,160円",,,,,,,,,,,,"馬単:1,840円 3連複:1,390円 3連単:6,850円",,,,,,,,,,,,"馬単:11,410円 3連複:12,810円 3連単:89,150円",,,,,,,,,,,,"馬単:26,540円 3連複:25,520円 3連単:191,300円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
