09年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南総特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂケイアイカミｰリア, 57,柴田善,, 60,*  2,  -7, 1,  3.3, ②②, 1, 2,Ｃコスモネモシン, 62,三浦皇,, 58, -13,* -1, 1,  3.2,④⑥⑤, 1,13,Ｈサトノトップガン, 70,内田博,, 77,* 10,*  5, 1,  3.5,⑥③②, 1,10,Ｃダノンブライアン, 83,後藤浩,, 81,   5,* 12, 4,  7.4, ⑨⑨
 2, 8,Ｌサンパチェンス, 45,柴山雄, 0.1, 58,  -1,* -5,15,126.9, ⑦④, 2, 1,Ａポルトゥエンセ, 64,田中勝, 0.2, 52,*-12,  -8, 2,  3.6,①①①, 2,12,Ｄゴｰルデンハインド, 73,後藤浩, 0.3, 75,* 11,*  2, 4,  7.4,①①①, 2,12,Ａサクセスオネスティ, 89,北村宏, 0.0, 80,   9,   9, 1,  3.4, ⑤⑤
 3, 3,Ｈストラヴィンモカ, 52,吉田隼, 0.2, 58,*  3, -10, 2,  3.4, ①①, 3,10,Ｂブｰケドロゼブルｰ, 62,後藤浩, 0.2, 52,*-12,  -8, 6, 13.4,③③③, 3, 8,Ｇリアルディｰル, 70,北村宏, 1.4, 68,* 10,  -6, 6, 12.2,⑨⑤④, 3, 9,Ｌドスライス, 72,柴田善, 0.2, 80,* 11,   5, 8, 16.7, ③③
 4,12,Ａマキシムクロｰバｰ, 61,大庭和, 0.5, 52,  -2,  -6, 5, 13.4, ⑩⑨, 4,11,Ｄセレビュタント, 60,菊沢隆, 0.2, 57, -16,*  4,11, 89.8,⑬⑬⑫, 4, 9,Ａライトニングラン, 76,三浦皇, 1.5, 69,   9,  -2, 5, 10.3,⑪⑪⑩, 4, 2,Ｂエｰブダッチマン, 84,横山典, 0.3, 79,* 13,   3, 2,  4.1, ②②
 5,16,Ｄエンダｰズシャドウ, 55,三浦皇, 0.6, 52,  -4,  -6, 6, 19.5, ⑬⑭, 5, 3,Ｍニシノマザｰアｰス, 44,大野拓, 0.3, 55, -14,  -2,13,138.6,⑧⑨⑨, 5, 6,Ｆダノンインスパイア, 71,田中勝, 1.6, 67,* 10,  -8, 9, 30.9,④②③, 5, 3,Ｆドリｰムクラウン, 80,内田博, 0.5, 77,   9,   5, 3,  5.0, ④④
 6,11,Ｋセレスティアル, 46,勝浦正, 0.9, 51,  -1, -12, 4,  6.4, ⑧⑧, 6,12,Ｇアドマイヤファイン, 56,勝浦正, 0.3, 52,*-12,  -8, 3,  4.0,⑥④④, 6, 4,Ｊスクリｰムイｰグル, 62,大野拓, 1.8, 67,  10,  -7,10, 99.9,⑤⑥⑥, 6, 1,Ｈシンボリシュタルク, 77,勝浦正, 0.5, 77,* 13,   1, 6, 12.7, ①①
 7, 5,Ｇティンバｰウルフ, 53,後藤浩, 0.9, 48, -11,* -2,13,100.6, ⑯⑯, 7, 5,Ｊリファｰルエル, 49,北村宏, 0.4, 49,*-12, -10, 7, 53.1,②②②, 7, 5,Ｋウィニングトリック, 59,勝浦正, 2.0, 67,  10,  -7,11,132.3,⑫⑨⑦, 7, 8,Ｄグランプリヒｰロｰ, 82,伊藤工, 0.6, 75,  -4,* 16, 7, 14.1, ⑭⑬
 8,14,Ｍハセノヒマワリ, 40,伊藤工, 1.0, 46,  -7,  -8,16,281.1, ⑮⑫, 8, 7,Ｅスｰパｰティチャｰ, 57,柴田善, 0.5, 50, -13,  -8, 5,  9.4,⑦⑧⑦, 8,10,Ｅスプリングバレル, 72,伊藤工, 2.2, 64,* 10, -13, 7, 18.7,③④⑤, 8,14,Ｇミッキｰフォルテ, 78,津村明, 0.7, 74,   3,   8, 9, 39.8, ⑩⑩
