09年11月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晩秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅクレタパラドックス, 51,横山典,, 60,*  0,*  3, 2,  7.5, ①①, 1, 5,Ｍヴァンダライズ, 41,吉田豊,, 68,   2,* -1, 5,  7.5,⑬⑪⑫, 1, 6,Ａガｰトモンテス, 80,吉田豊,, 75,  -5,* 22, 1,  1.4,④④④, 1, 1,Ａトップカミング, 85,蛯名正,, 87,   1,* 14, 1,  2.5,⑦⑤④
 2,10,Ｄバイナリｰスタｰ, 52,吉田豊, 0.2, 57,*  0,*  1, 3,  8.3, ②②, 2, 6,Ｂポルトゥエンセ, 60,田中勝, 0.5, 63,   4, -14, 6,  9.1,⑥⑦⑥, 2, 4,Ｂライトニングラン, 72,三浦皇, 0.2, 74,  -6,* 22, 5, 17.0,⑦⑦⑤, 2, 4,Ｇメインストリｰム, 77,内田博, 0.7, 79,   1,   5, 2,  3.9,⑨⑥⑦
 3, 8,Ａウィッシュアゲン, 66,松岡正, 0.4, 56,  -2,*  1, 4, 11.7, ⑥⑥, 3, 9,Ａロｰグランド, 62,内田博, 0.5, 63,   0,* -7, 1,  4.8,⑪⑭⑭, 3, 1,Ｅサンライズフェア, 66,池添謙, 0.2, 73,* -4,  19, 3, 10.3,②②②, 3, 3,Ｈロｰドキャニオン, 72,横山典, 0.7, 81,   0,* 11, 7, 27.1,⑧⑧⑨
 4,12,Ｃオｰダｰラッシュ, 56,柴山雄, 0.7, 55,*  1,  -3, 9, 29.5, ③③, 4, 2,Ｃコスモネモシン, 57,松岡正, 0.6, 62,   3, -14, 3,  5.4,⑤⑥⑦, 4, 5,Ｃソルモンタｰレ, 72,小林慎, 0.4, 71,* -4,  16, 2,  5.4,①①①, 4, 8,Ｂレオプログレス, 85,大野拓, 0.7, 81,   2,   7, 4,  4.9,⑥⑨⑧
 5, 6,Ｍアマｰレトウショウ, 34,池添謙, 0.7, 54,  -2,*  0,11,107.0, ⑩⑨, 5,11,Ｇナイスオペラ, 54,蛯名正, 0.6, 61,   2, -12, 8, 13.8,⑭⑫⑪, 5, 3,Ｄクレプスキュｰル, 71,伊藤工, 1.1, 69,  -6,  17, 6, 20.0,⑥⑥⑦, 5,10,Ｄケイエスユリ, 80,田中勝, 1.3, 76,   0,   2, 8, 28.5,⑩⑩⑩
 6,14,Ｂニシノキュアノス, 65,北村宏, 0.9, 51,* -1,  -5, 1,  1.6, ⑦④, 6, 7,Ｄフォｰリアル, 56,丸田恭, 0.6, 61,   1,  -8,11, 68.6,⑩⑬⑬, 6, 2,Ｆフナベンケイ, 64,勝浦正, 1.4, 65,  -5,  10, 7, 45.8,③③③, 6, 6,Ｃヒカルマンテンボシ, 81,後藤浩, 1.4, 69,*  3,  -8, 3,  4.7,③②②
 7, 7,Ｇボンジュｰルチエ, 48,江田照, 1.0, 51,  -2,  -4, 5, 11.8, ⑤⑤, 7,12,Ｆトモロマイスタｰ, 55,後藤浩, 0.8, 59,*  6, -21, 4,  5.6,⑦⑤④, 7, 7,Ｇハイゲｰト, 59,クラス, 1.4, 65,  -6,  12, 4, 11.7,⑤⑤⑥, 7, 7,Ｅギムレットアイ, 79,三浦皇, 1.6, 70,   2,  -8, 5, 22.9,⑤⑦⑥
 8, 4,Ｊミュｰジｰロｰジｰ, 42,蛯名正, 1.3, 49,  -3,  -4,10, 57.8, ⑧⑧, 8, 1,Ｈナンヨｰストロング, 52,三浦皇, 0.9, 58,*  6, -23, 2,  5.2,①③③,,,,,,,,,,,,, 8, 5,Ｆハイフェイム, 79,池添謙, 1.7, 68,   1,  -9, 9, 55.7,②④⑤
 9, 1,Ｈマイネポロｰニア, 47,伊藤工, 1.8, 44,  -5,  -6, 6, 20.4, ⑨⑩, 9,13,Ｋデュｰクビスティｰ, 46,勝浦正, 1.2, 55,*  7, -31, 7, 11.5,③①①,,,,,,,,,,,,, 9, 2,Ｊアムｰルマルルｰ, 65,北村宏, 1.9, 62,*  2, -15, 6, 26.5,①①①
10, 2,Ｉコパノコニｰ, 44,勝浦正, 1.8, 45,  -7,  -4,13,233.1, ⑫⑫,10, 4,Ｌナムラアトミック, 45,クラス, 1.4, 52,   3, -26,13,151.0,⑨⑨⑧,,,,,,,,,,,,,10, 9,Ｉレイトスプリング, 67,柴山雄, 2.3, 60,   1, -19,10,127.0,④③③
11,15,Ｎセイカディｰバ, 29,田中勝, 2.5, 39, -10,  -7,14,245.7, ⑭⑭,11,10,Ｊロｰカパｰラ, 47,柴山雄, 1.7, 49,*  7, -38, 9, 32.4,④②②,,,,,,,,,,,,,,,,,,,,,,,,
12,13,Ｆボンビバン, 49,大野拓, 2.6, 39,  -1, -18, 7, 26.8, ④⑦,12, 8,Ｎセイカミカワ, 32,江田照, 1.7, 49,   2, -28,12, 75.6,⑫⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
13, 9,Ｋハロｰハピネス, 38,三浦皇, 3.3, 33,  -6, -18,12,187.0, ⑬⑪,13, 3,Ｉセイウンツｰスキｰ, 51,北村宏, 2.3, 43,   4, -42,10, 46.1,②④⑤,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｌアンムｰト, 35,内田博, 4.0, 28, -10, -19, 8, 28.2, ⑮⑮,14,14,Ｅホッカイマナウス, 56,武士沢, 6.9,-17,   3, ---,14,313.3,⑧⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
15,11,Ｏモデレｰトシチｰ, 27,池崎祐, 4.7, 22,  -9, -27,15,337.6, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:750円 複勝:05=310円 10=440円 08=440円 枠連:1,720円",,,,,,,,,,,,"単勝:750円 複勝:05=230円 06=350円 09=170円 枠連:4,020円",,,,,,,,,,,,単勝:140円 複勝:06=110円 04=450円 枠連:0円,,,,,,,,,,,,単勝:250円 複勝:01=120円 04=160円 03=500円 枠連:510円,,,,,,,,,,,
"馬連:2,330円 ワイド:05-10=730円 05-08=700円 08-10=1,170円",,,,,,,,,,,,"馬連:3,820円 ワイド:05-06=1,480円 05-09=600円 06-09=1,210円",,,,,,,,,,,,"馬連:810円 ワイド:04-06=270円 01-06=210円 01-04=1,000円",,,,,,,,,,,,"馬連:540円 ワイド:01-04=240円 01-03=850円 03-04=1,750円",,,,,,,,,,,
"馬単:4,510円 3連複:5,790円 3連単:31,740円",,,,,,,,,,,,"馬単:7,030円 3連複:6,810円 3連単:44,950円",,,,,,,,,,,,"馬単:930円 3連複:1,520円 3連単:4,040円",,,,,,,,,,,,"馬単:920円 3連複:3,850円 3連単:12,440円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,京王杯2歳ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
