09年11月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月14日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五色沼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄピサノルビｰ, 71,藤岡康,, 77,   3,* 14, 3,  5.2,⑦⑥⑤, 1, 8,Ｃベルモントバジル, 70,田辺裕,, 63,  -4,   6, 3,  6.2, ⑦⑥, 1, 1,Ｆクレバｰネオ, 68,吉田隼,, 71,   2,*  8, 9, 33.5,⑦⑧⑤, 1, 9,Ｇシェリルピンク, 69,スボリ,, 80,* -4,  16, 2,  4.6, ③③
 2,11,Ｈマルチメトリック, 66,大庭和, 0.4, 71,   4,   9, 4,  8.0,⑤④③, 2, 6,Ｉディパｰチャｰズ, 60,西田雄, 0.0, 62, -13,* 11, 7, 10.9, ⑫⑫, 2,15,Ｃマコトボムケッチ, 70,津村明, 0.1, 68,*  5,   2, 4, 11.7,②②②, 2, 3,Ａダイメイザバリヤル, 77,松田大, 0.2, 81, -17,* 27, 5,  8.9, ⑮⑬
 3, 9,Ｆモルフェキセキ, 69,石橋脩, 1.1, 72,  -2,* 12, 7, 16.4,⑭⑬⑩, 3, 1,Ｊアルファトリリオン, 59,黛弘人, 0.1, 62,  -4,   5,10, 73.7, ⑥⑦, 3, 8,Ｄアイオロスシチｰ, 69,宮崎北, 0.2, 67,   1,*  8, 5, 17.0,⑬⑭⑧, 3,14,Ｎケｰジｰカンザクラ, 60,古川吉, 0.4, 77,  -7,  15,10, 21.6, ④④
 4,14,Ｅビクトリアスバイオ, 69,吉田隼, 1.2, 68,   4,   2, 5, 10.7,⑥⑤⑥, 4,12,Ｈマルシゲヨカニセ, 61,松田大, 0.1, 64,*  3,   0, 9, 24.3, ②②, 4, 3,Ｂカゼノグッドボｰイ, 70,村田一, 0.2, 70,   3,   4, 3,  7.1,⑤⑤④, 4,10,Ｆサアドウゾ, 70,藤岡康, 0.7, 71,  -7,  11, 7, 14.6, ⑤⑤
 5, 1,Ｂポンテディリアルト, 72,木幡初, 1.2, 68,   1,   8, 6, 12.6,⑩⑪⑧, 5,10,Ｅスリｰコンビナｰト, 66,荻野琢, 0.3, 60,  -7,   4, 6, 10.5, ⑨⑪, 5, 5,Ａパｰフェクトバイオ, 73,中舘英, 0.3, 67,*  4,   2, 1,  2.2,⑭④③, 5,16,Ｃアスタｰエンペラｰ, 72,中舘英, 0.8, 70,* -2,   5, 1,  4.3, ②②
 6, 8,Ｋワンダｰプリマ, 62,渡辺薫, 1.2, 69,*  5,   0, 9, 38.5,②②②, 6, 2,Ｋアドリｰム, 55,草野太, 0.3, 58,  -8,   5,11,160.9, ⑪⑨, 6,13,Ｅレプラコｰン, 69,石橋脩, 0.4, 68,   3,   2, 2,  3.5,⑥⑥⑦, 6, 5,Ｊエｰティｰドン, 66,渡辺薫, 0.9, 69, -12,  13,13, 68.8, ⑦⑦
 7,13,Ｍイエロｰキン, 59,宮崎北, 1.9, 61,   2,  -1,13,150.4,⑪⑧⑦, 7, 9,Ｄサクラグロｰリｰ, 67,藤岡康, 0.4, 59,   1,  -2, 4,  6.6, ③③, 7, 2,Ｋキングスグリｰム, 63,郷原洋, 0.9, 64,   1,   2,14,259.2,⑪⑫⑨, 7, 4,Ｉワンダフルスイｰト, 67,石橋脩, 1.0, 68, -10,  10,12, 53.2, ⑥⑥
 8,10,Ｃスマｰトパルス, 71,中舘英, 2.4, 58,*  5, -11, 2,  4.1,③③④, 8, 4,Ａノボニョ, 75,丸山元, 0.6, 57,   1,  -3, 1,  3.7, ④④, 8, 4,Ｉネヴァリバティ, 66,小野寺, 1.1, 61,*  5,  -7, 7, 20.0,①①①, 8, 1,Ｏトクトイムスメ, 57,田辺裕, 1.0, 68, -14,  14,14, 91.2, ⑩⑧
 9, 2,Ｉリリｰオブザバリｰ, 66,丸山元, 2.5, 58,*  6, -13,12, 86.8,①①①, 9, 5,Ｇヴォイジャｰ, 64,丹内祐, 0.6, 57,  -2,  -2, 8, 15.5, ⑤⑤, 9,12,Ｈハｰドイチオｰ, 67,西田雄, 1.1, 62,   2,  -1,11, 57.7,⑩⑪⑪, 9, 6,Ｈミスベルツリｰ, 67,木幡初, 1.1, 67, -16,  14, 3,  5.6, ⑪⑪
10, 7,Ｊシルバｰビｰト, 65,芹沢純, 2.6, 56,   2,  -7,11, 52.3,⑨⑨⑨,10,11,Ｂブライトアイザック, 71,宮崎北, 0.7, 53,  -7,   1, 2,  4.0, ⑩⑧,10, 9,Ｇウメノカイウン, 68,丹内祐, 1.6, 59,   3,  -8,10, 42.6,⑫⑦⑫,10, 8,Ｌティｰガｰ, 62,的場勇, 1.2, 64, -13,  10,11, 31.0, ⑧⑫
