09年 6月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 6月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横手特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃリネンピュア, 59,田辺裕,, 64,  -2,*  5, 6, 13.8, ⑤③, 1,12,Ｂクリノメダリスト, 62,内田博,, 76,* 10,* -2, 1,  3.2,⑫⑤①, 1,11,Ｃスｰパｰシズクン, 70,田辺裕,, 71,*  7,  -2, 3,  4.0,①①①, 1, 7,Ｂトシナギサ, 82,松岡正,, 82,*  7,* 15, 3,  5.2,①①①
 2, 7,Ｄガッテンムスメ, 58,木幡初, 0.0, 64,*  0,   2, 2,  4.1, ①①, 2, 6,Ｎトゥｰランドット, 40,石橋脩, 0.6, 71,   9,* -8, 9, 45.4,⑭⑧②, 2, 1, キングスパｰク,---,村田一, 0.2, 75,  -4,* 16, 9, 59.7,⑮⑮⑩, 2, 6,Ｃディオスクロイ, 81,後藤浩, 0.9, 75,   6,*  9, 2,  3.6,⑧⑦④
 3,16,Ｊフェアリｰルｰジュ, 52,大野拓, 0.7, 58, -18,* 12,13,111.3, ⑬⑪, 3,11,Ｈプロサｰピナ, 47,田中勝, 1.1, 67,   8,*-12, 7, 14.2,⑩⑨⑤, 3, 3,Ｂナリタアタッカｰ, 71,池崎祐, 0.3, 71,  -1,*  9, 6, 22.0,⑫⑩⑦, 3, 2,Ｌアワｰオアシス, 73,村田一, 1.3, 74,   6,   5, 9, 41.5,③④②
 4, 9,Ａデイロングスプリｰ, 62,蛯名正, 1.0, 56,*  0,  -5, 1,  3.0, ②②, 4, 8,Ｃゴｰルドケｰ, 61,松岡正, 1.7, 60,   9, -23, 3,  5.1,⑤⑦④, 4,10,Ａタニオブゴｰルド, 77,伊藤工, 0.6, 66,*  5,  -8, 2,  3.8,④③④, 4, 9,Ｉシルクイｰグル, 77,的場勇, 1.4, 74,   5,   6, 6, 21.4,⑩⑩⑥
 5,12,Ｋコパノファンタメ, 52,内田博, 1.3, 54,* -1,  -8, 3,  5.0, ③④, 5, 9,Ｊナカヨキコト, 46,武士沢, 2.4, 55,   6, -23,11,122.6,⑬⑪⑧, 5, 6,Ｊマイネルランペｰジ, 62,松岡正, 0.6, 66,   4,  -6, 7, 30.2,③④③, 5, 1,Ｅセッカチセｰジ, 79,柴山雄, 1.4, 72,   6,   5, 4, 14.2,⑥⑤⑤
 6,10,Ｏヤワタトゥエンティ, 40,黛弘人, 1.4, 52,  -6,  -5,15,283.5, ⑥⑦, 6,15,Ｆツルヒメ, 48,池崎祐, 2.5, 54,   2, -17,14,223.3,⑯⑭⑪, 6,13,Ｅベルタリド, 67,佐藤友, 0.7, 66,   0,   1,10, 60.5,⑭⑨⑨, 6,11,Ａカヴァリｰノ, 83,内田博, 1.6, 72,*  7,   2, 1,  2.3,④③③
 7, 8,Ｈケｰジｰフジ, 52,小島太, 1.5, 51,  -8,  -3, 8, 18.8, ⑧⑧, 7, 1,Ｇナンヨｰガｰル, 48,吉田豊, 2.7, 52,   9, -35, 4, 10.8,⑥⑥⑥, 7, 8,Ｆワイルドシングス, 66,柴山雄, 0.9, 63,*  5, -13, 5, 18.0,②②②, 7,10,Ｋシゲルダイセン, 75,吉田豊, 1.6, 71,   5,   6, 5, 15.5,⑭⑮⑦
 8,14,Ｍマイネセレネ, 51,池崎祐, 1.6, 50, -11,  -2,14,125.1, ⑨⑨, 8,14,Ｋドリｰムガｰデン, 45,伊藤工, 3.8, 43,   3, -38,10,107.8,⑧⑬⑫, 8,14,Ｈスズノライコウ, 64,勝浦正, 1.2, 60,   4, -15, 8, 45.2,⑤⑤⑤, 8, 3,Ｆベルグミサイル, 79,武士沢, 1.7, 69,   4,   5, 8, 39.9,⑪⑫⑨
