09年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきつばき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａタイキシムｰン, 66,中舘英,, 52,  -3,  -2, 1,  1.6,⑫⑦⑧, 1,13,Ｅサンライズスカイ, 61,吉田隼,, 62,* -3,* 12, 1,  3.0,⑦④③, 1, 8,Ｂディアアゲイン, 73,松山弘,, 70,   3,* 10, 4,  9.2, ⑧⑧, 1,13,Ｂキュｰバンエイト, 68,宮崎北,, 63,  -3,*  5, 2,  4.1, ⑫⑫
 2, 9,Ｄグレｰトダンサｰ, 54,柴原央, 0.1, 53,  -5,*  2, 5, 15.3,⑩⑫⑬, 2, 9,Ｄハジメレンジャｰ, 61,赤木高, 0.0, 62,  -6,* 16, 8, 25.2,⑪⑨⑥, 2, 6,Ｃライコウテンユウ, 70,丸田恭, 0.2, 68,*  6,   4, 2,  5.6, ④③, 2, 9,Ａチェアユｰアップ, 70,丸田恭, 0.1, 62,  -4,*  5, 4, 10.0, ⑬⑭
 3, 7,Ｂセイカドルチェ, 64,吉田隼, 0.2, 52,* -1,  -6, 2,  5.3,③③③, 3, 8,Ａヴァンエボン, 65,松山弘, 0.1, 59,* -3,   9, 3,  4.6,①①①, 3,10,Ａスコルピオンキッス, 78,木幡初, 0.4, 66,   4,   6, 1,  1.8, ⑥⑥, 3,10,Ｍサンゴシック, 52,松田大, 0.2, 64,   5,  -5,10, 22.5, ⑥⑥
 4,13,Ｋデルマネフティス, 49,宮崎北, 0.3, 50,  -6,*  3,14,224.8,⑭⑭⑫, 4, 4,Ｇナムラカクレイ, 59,田中博, 0.3, 59,* -3,  10, 6, 17.5,②③④, 4,15,Ｈキンシニュｰストン, 65,赤木高, 0.8, 62,  -5,* 10, 5, 14.8, ⑮⑮, 4,15,Ｄティｰガｰ, 62,大野拓, 0.3, 63,   4,  -5, 5, 12.2, ⑦⑦
 5, 6,Ｆボスオブザリンド, 54,黛弘人, 0.3, 52,  -3,  -3, 9, 43.6,⑦⑩⑩, 5,12,Ｉヒシパｰフェクト, 59,田辺裕, 0.5, 55,* -3,   7, 2,  3.4,④②②, 5,14,Ｇダイワウイザｰド, 67,吉田隼, 0.9, 63,   0,   6, 6, 23.3, ⑪⑪, 5, 5,Ｎカツゾｰ, 51,田辺裕, 0.3, 59,  -6,*  5,13, 95.8, ⑭⑬
 6, 4,Ｅセレスアシュリｰ, 54,大野拓, 0.4, 49,* -1,  -9, 8, 40.3,②②②, 6, 3,Ｈビコｰオラクル, 59,古川吉, 0.6, 60,  -4,   9, 5, 11.3,③⑤⑤, 6, 5,Ｅレジェンドバロｰズ, 69,芹沢純, 1.0, 61,   5,   0,11, 51.3, ⑤⑤, 6,16,Ｊウインバンディエラ, 57,中舘英, 0.4, 64,   7,  -9, 3,  4.9, ⑤④
 7, 8,Ｈブラストエルサ, 53,丸田恭, 0.4, 49,  -3,  -6, 3, 11.0,⑤⑥⑤, 7, 1,Ｆエｰシンクラウニン, 61,小野次, 0.7, 56,  -6,  11, 7, 22.1,⑩⑩⑩, 7, 7, サトノジェネラル,---,古川吉, 1.2, 60,   3,  -2, 8, 29.3, ⑦⑦, 7,11,Ｈファｰストメジャｰ, 59,芹沢純, 0.4, 61,   0,  -3, 8, 18.6, ⑩⑩
 8,11,Ｉトウカイセレブ, 52,中村将, 0.5, 49,  -3,  -6, 6, 16.7,⑨⑨⑦, 8, 2,Ｊジャンボマズル, 58,池崎祐, 1.5, 51,  -6,   3,11, 95.8,⑤⑧⑨, 8,11,Ｊコメンテｰタｰ, 64,村田一, 1.2, 60,  -3,   4,12, 56.7, ⑭⑭, 8, 2,Ｃマサヒトボｰイ, 62,黛弘人, 0.6, 60,   7, -12, 9, 21.7, ④⑤
