09年 1月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾋﾞｵﾗ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａフライトマイル, 63,西田雄,, 69,*  8,* -3, 1,  1.8, ②②, 1, 9,Ｅマイネラプソディ, 51,中舘英,, 63,*  6, -13, 6, 11.4,⑥④③, 1, 5,Ｂオウシュウバラッド, 71,中舘英,, 72,   5,   6, 1,  2.7, ③③, 1, 2,Ａキタサンガイセン, 76,菊沢隆,, 69,   6,* -5, 2,  3.9,⑪⑩⑧
 2, 4,Ｂアンロｰランサン, 59,赤木高, 0.0, 69,*  8,* -3, 2,  4.5, ①①, 2,11,Ａマイネルシュトルム, 62,荻野琢, 0.0, 59,*  7, -17, 3,  4.8,③②②, 2, 8,Ｉケイアイモｰガン, 66,大野拓, 0.1, 72,   2,*  7, 8, 33.7, ⑧⑩, 2, 5,Ｄラヴィンライフ, 68,長谷川, 0.0, 69,  11, -16, 7, 14.9,⑧⑥⑥
 3,11,Ｈキタサンハナミチ, 54,宮崎北, 0.7, 59,*  5,  -7, 8, 36.3, ③③, 3, 1,Ｆブリリアントレイ, 51,鮫島良, 0.3, 60,  -1,* -4, 2,  3.9,⑪⑪⑪, 3, 6,Ｍトップオブボストン, 62,赤木高, 0.1, 71,* 12,   1, 9, 39.3, ①①, 3, 4,Ｆロｰドロックスタｰ, 67,中舘英, 0.3, 67,  13, -26, 1,  3.5,⑥④④
 4, 5,Ｉラッキｰパズル, 49,荻野琢, 1.2, 53,  -7,* -3, 7, 33.6, ⑧⑦, 4,12,Ｈリディック, 50,上村洋, 0.4, 59,   2, -10, 4,  5.8,⑩⑧⑦, 4,12,Ｄメイショウアｰチャ, 70,藤岡康, 0.1, 70,   1,*  8, 2,  5.5, ⑨⑧, 4, 9,Ｃロイヤルダリア, 68,鷹野宏, 0.3, 65,  11, -22, 5, 10.0,⑤⑤⑤
 5,13,Ｇテイエムフラメンコ, 54,中舘英, 1.4, 52,   1, -11, 6, 17.1, ⑥⑥, 5, 5,Ｉニホンピロリｰベル, 50,熊沢重, 0.5, 57,   1,* -9, 7, 29.4,⑨⑩⑩, 5,14,Ｋマイティｰキラｰ, 65,鮫島良, 0.1, 73,   7,   4, 6, 10.1, ④④, 5, 3,Ｇレッドシャガｰラ, 65,藤岡康, 0.8, 63,   7, -18, 3,  5.9,⑨⑧⑦
 6,12,Ｄキタサンオリュウ, 56,的場勇, 1.4, 54,   4, -13, 4, 10.0, ④④, 6,14,Ｌビｰビｰハナビ, 43,松田大, 0.6, 58,   0,* -7, 8, 54.9,⑫⑫⑫, 6, 3,Ｃテイエムカイブツ, 71,田嶋翔, 0.4, 69,   0,   7, 4,  7.6, ⑩⑨, 6, 7,Ｅエンブリオ, 68,丸田恭, 0.9, 62,   0,* -4,10, 45.0,⑫⑫⑪
 7, 9,Ｅモルフェキセキ, 55,丹内祐, 1.8, 43, -13,  -6, 3,  8.0, ⑫⑨, 7, 4,Ｊミヤビクロスオｰ, 49,赤木高, 0.9, 50,*  7, -30,14,106.1,①①①, 7, 4,Ａルｰジュアルダン, 75,北村友, 0.6, 65,   2,   3, 3,  6.7, ⑦⑥, 7,10,Ｌネコパンチ, 57,赤木高, 1.1, 59,   6, -20,11, 46.9,⑩⑨⑨
 8, 2,Ｃサｰジプロミネンス, 57,藤岡康, 2.0, 44,  -3, -13, 5, 13.8, ⑦⑧, 8, 2,Ｂジュモｰ, 62,的場勇, 1.1, 47,   5, -27, 1,  3.6,④⑤④, 8, 9,Ｆテイエムデスカイ, 67,佐久間, 0.6, 67,   4,   2,12, 84.2, ⑥⑤, 8,13,Ｉラインブラッド, 62,鮫島良, 1.3, 58,* 14, -43, 9, 22.5,③③②
 9, 3,Ｎトｰホウジェニｰ, 23,丸田恭, 2.0, 41, -15,  -6,11,125.3, ⑪⑩, 9,16,Ｃハニｰゴｰオン, 60,宮崎北, 1.3, 48,   1, -22, 5,  8.4,⑦⑨⑧, 9, 7,Ｇデュカス, 67,上村洋, 0.6, 67,   4,   2,10, 44.4, ⑤⑦, 9, 8,Ｂレオウィザｰド, 70,的場勇, 1.6, 53,* 15, -50, 4,  6.6,①①①
10, 7,Ｊラブユニバｰス, 46,北村浩, 2.2, 41,  -9, -10, 9, 61.9, ⑩⑫,10,10,Ｐセカンドフラッシュ, 21,千葉直, 1.6, 45,   2, -27,13, 98.2,⑧⑦⑨,10, 2,Ｊメイキンマジック, 65,丸田恭, 0.9, 61,  -9,*  7,14,135.5, ⑭⑭,10,11,Ｈトレジャｰハント, 63,北村友, 2.6, 49,* 14, -61, 6, 12.1,②②③
11,10,Ｋテイエムマッハ, 41,田中健, 2.3, 42,  -1, -18,10, 77.7, ⑤⑤,11, 7,Ｍパルクエスト, 41,藤岡康, 1.7, 44,  -5, -17,15,167.2,⑯⑬⑬,11, 1,Ｎフジマサルビｰ, 58,熊沢重, 1.0, 61, -10,*  7,15,176.4, ⑬⑬,11,12,Ｍスウッシュ, 52,中村将, 4.8, 15,  10, -81,13,169.3,④⑦⑩
12,15,Ｏアリソンイモン, 16,松田大, 2.6, 38, -21,  -7,16,344.5, ⑬⑬,12, 8,Ｄコスモプピレ, 54,丹内祐, 2.0, 41,   5, -39,10, 67.6,⑤⑥⑥,12,16,Ｅエｰシンエスヴィｰ, 70,荻野琢, 1.0, 65,* 12,  -7, 5,  8.0, ②②,12, 6,Ｊウィナｰズダンス, 61,二本柳, 7.1, -6,  -1, -88,12,140.5,⑬⑬⑫
13, 8,Ｆオｰミリュミエｰル, 54,北村友, 3.1, 31, -21, -12,12,129.2, ⑭⑭,13,15,Ｎマｰリンシチｰ, 31,丸田恭, 2.0, 41,  -9, -12,11, 68.1,⑬⑯⑮,13,10,Ｈケｰジｰファントム, 67,菊沢隆, 1.1, 61,  -3,   2, 7, 13.7, ⑫⑪,13, 1,Ｋイマカツウィｰズ, 60,松田大, 7.4, -9,  -1, -93, 8, 21.8,⑦⑪⑬
14,16,Ｍカシノロｰズ, 40,田村太, 3.3, 32, -26, -11,14,191.0, ⑮⑮,14, 6,Ｋキャリコロｰズ, 49,北村友, 2.1, 40,*  6, -43,12, 85.6,②③⑤,14,11,Ｐブルｰスコｰピオン, 56,丹内祐, 1.1, 59, -13,*  8,16,403.0, ⑯⑯,,,,,,,,,,,,
15,14,Ｌヴィｰヴァダリア, 40,千葉直, 4.0, 21,  -6, -30,15,230.5, ⑨⑪,15, 3,Ｇジョｰエスプレッソ, 51,芹沢純, 2.5, 36,  -7, -24, 9, 64.1,⑮⑭⑭,15,15,Ｌファイナルパンチ, 65,安藤光, 1.9, 51,  -9,  -2,11, 61.7, ⑮⑮,,,,,,,,,,,,
16, 1,Ｐメイバデス,  8,生野賢, 7.2,-33, -47, -31,13,181.6, ⑯⑯,16,13,Ｏトｰセンルヴァン, 29,池田鉄, 3.0, 32,  -8, -28,16,448.4,⑭⑮⑯,16,13,Ｏモモカ, 57,宮崎北, 2.0, 50,  -2,  -7,13, 98.3, ⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:3),,,,,,,,,,,
単勝:180円 複勝:06=110円 04=140円 11=380円 枠連:340円,,,,,,,,,,,,"単勝:1,140円 複勝:09=290円 11=170円 01=180円 枠連:1,740円",,,,,,,,,,,,"単勝:270円 複勝:05=130円 08=600円 06=1,000円 枠連:2,190円",,,,,,,,,,,,単勝:390円 複勝:02=160円 05=330円 04=170円 枠連:560円,,,,,,,,,,,
"馬連:430円 ワイド:04-06=180円 06-11=590円 04-11=1,100円",,,,,,,,,,,,"馬連:2,200円 ワイド:09-11=690円 01-09=1,030円 01-11=440円",,,,,,,,,,,,"馬連:4,890円 ワイド:05-08=1,490円 05-06=2,170円 06-08=11,110円",,,,,,,,,,,,"馬連:3,720円 ワイド:02-05=1,160円 02-04=310円 04-05=870円",,,,,,,,,,,
"馬単:760円 3連複:2,840円 3連単:9,280円",,,,,,,,,,,,"馬単:5,050円 3連複:3,830円 3連単:29,690円",,,,,,,,,,,,"馬単:6,920円 3連複:41,850円 3連単:205,760円",,,,,,,,,,,,"馬単:5,590円 3連複:3,250円 3連単:25,800円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝2000m 3 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,大須特別,,,,,,,,,,
