09年 8月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 3,Ｌスズカジュエリｰ, 38,古川吉, 2.2, 39, -13, -10,11,274.5, ⑫⑫,12, 6,Ｌアグネススピリッツ, 51,秋山真, 2.7, 53,   0,  -8,10, 50.8,⑫⑫⑫,12, 6,Ｉチャイニｰズフレア, 73,菊沢隆, 1.9, 67,  10,  -8,12,116.8,⑧⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｆダスタップ, 67,中舘英, 2.7, 52,*  4, -17, 9, 36.3,③③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,
単勝:580円 複勝:03=180円 05=110円 08=130円 枠連:710円,,,,,,,,,,,,"単勝:1,040円 複勝:06=190円 01=120円 08=110円 枠連:970円",,,,,,,,,,,,単勝:610円 複勝:10=200円 13=140円 03=210円 枠連:370円,,,,,,,,,,,,"単勝:390円 複勝:12=120円 01=240円 05=120円 枠連:2,310円",,,,,,,,,,,
馬連:820円 ワイド:03-05=240円 03-08=540円 05-08=170円,,,,,,,,,,,,"馬連:2,220円 ワイド:01-06=400円 06-08=220円 01-08=160円",,,,,,,,,,,,馬連:830円 ワイド:10-13=330円 03-10=610円 03-13=420円,,,,,,,,,,,,"馬連:2,230円 ワイド:01-12=540円 05-12=180円 01-05=390円",,,,,,,,,,,
"馬単:1,970円 3連複:950円 3連単:6,640円",,,,,,,,,,,,"馬単:4,990円 3連複:560円 3連単:9,370円",,,,,,,,,,,,"馬単:2,060円 3連複:1,750円 3連単:10,530円",,,,,,,,,,,,"馬単:3,810円 3連複:1,110円 3連単:10,270円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,まりも特別,,,,,,,,,,,,摩周湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅバシレウス, 49,三浦皇,, 62,   4,*-11, 1,  2.4,⑪⑩⑨, 1, 1,Ｂエｰシンサニｰデイ, 66,藤岡佑,, 67,*  1,*  7, 6, 11.4,③⑤③, 1, 4,Ｃキヲウエタオトコ, 77,安藤勝,, 73,*  5,   1, 2,  3.5, ①①, 1,14,Ｂグラスキング, 82,岩田康,, 77,   5,*  7, 1,  3.5,⑤⑥⑥
 2, 8,Ｇアグネスアンデス, 47,松田大, 0.1, 60,   5,*-17, 8, 25.7,⑩⑨⑧, 2, 8,Ｃマスタｰエンプレス, 65,宮崎北, 0.3, 66,  -1,*  8,10, 62.6,⑫⑧⑤, 2,12,Ｂワニタレスタリ, 78,横山典, 0.0, 74, -11,* 16, 3,  5.1, ⑯⑮, 2, 2,Ａオセアニアボス, 83,藤岡佑, 0.4, 74,   8,  -2, 3,  5.1,②③③
 3, 5,Ｃマｰジｰビｰト, 54,藤岡佑, 0.2, 58,   8, -23, 3,  8.4,⑨⑦⑤, 3, 7,Ａモリノマｰケット, 70,三浦皇, 0.4, 63,   0,   4, 1,  3.0,⑥⑥⑥, 7, 8,Ｅロｰドバロック, 73,秋山真, 0.0, 75,  -7,* 13, 5, 11.8, ⑬⑪, 3,11,Ｄギンゲイ, 78,丸田恭, 0.4, 72,   2,*  8, 4,  6.8,⑩⑪⑫
 4,14,Ｄラッキｰダイス, 53,横山典, 0.2, 57,* 11, -28, 2,  3.7,③③③, 4, 4,Ｅカラフルパレット, 63,丸田恭, 0.4, 64,*  0,   2, 4,  5.8,②②②, 3,13,Ｇエリモラフィｰネ, 67,松田大, 0.1, 72,  -6,* 10, 8, 35.5, ⑪⑫, 4, 5,Ｆマヤノクレナイ, 77,三浦皇, 0.4, 75,*  9,  -3, 5,  8.8,③②②
 5,11,Ｍロｰドオブザリング, 35,藤田伸, 0.7, 53,   9, -34, 7, 19.2,④④⑦, 5, 6,Ｄペルシステンテ, 65,岩田康, 0.7, 64,  -1,   3, 3,  4.5,⑤⑦⑦, 4,16,Ｏヴィルマｰル, 59,三浦皇, 0.2, 70,   2,   1, 9, 50.9, ⑤④, 5, 6,Ｃマイネルスカット, 80,川島信, 0.5, 72,   3,   5, 8, 26.8,⑦⑨⑧
 6, 4,Ｈバシュペリｰゴ, 46,秋山真, 0.7, 54,* 12, -39, 9, 29.0,①①①, 6,12,Ｋボストンレッド, 51,津村明, 0.8, 60,*  0,  -2, 2,  4.4,④③④, 5,10,Ａスペシャルブレイド, 79,藤岡佑, 0.4, 67,   2,  -1, 1,  3.3, ④⑤, 6,10,Ｉトシザユカ, 73,池添謙, 0.7, 72,* 10,  -8, 6,  9.9,①①①
