09年 3月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 3月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾏﾘﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｈアｰリｰアメリカン, 53,松岡正,, 69,*  7,  -3, 1,  3.2, ③②, 1, 3, スズカイエロｰ,,宗像徹,,,,, 1,  2.3,①①①, 1, 6,Ｄトｰセンルｰチェ, 72,田中勝,, 72,   2,*  9,11, 32.8,⑭⑩⑦, 1, 7,Ｃマイネルファルケ, 84,松岡正,, 87,* 15,   2, 1,  3.8,①①①
 2,12,Ｄアントルシャカトル, 60,内田博, 0.8, 59,  -1,  -3, 6,  9.4, ⑤⑤, 2, 4, スタルカ,,穂苅寿,196.3,,,, 9, 51.2,④④②, 2,10,Ａヤマニンバッスル, 73,伊藤工, 0.1, 73,   1,* 12,10, 26.9,⑯⑭⑩, 2, 6,Ａウェディングフジコ, 86,菊沢隆, 0.1, 86,  11,*  8, 7, 12.7,⑥⑤⑤
 3, 5,Ｅニホンピロピンキｰ, 60,池田鉄, 0.8, 57,  -5,*  1, 5,  7.8, ⑧⑦, 3, 6, サンベルナｰル,,高野和,196.6,,,, 6, 17.3,⑤⑤④, 3, 7,Ｆフェイマステイル, 70,柴田善, 0.8, 70,   0,*  9, 7, 16.8,⑮⑯⑮, 3, 5,Ｉメスナｰ, 79,内田博, 0.1, 88,* 14,   4, 2,  6.1,③②②
 4, 1,Ｂアラマサスクワｰト, 62,吉田豊, 0.9, 63,*  9, -13, 3,  5.8, ①①, 4, 5, ハシルペンチャン,,柴田大,196.7,,,,12,123.2,③②③, 4, 2,Ｏロトパｰトナｰ, 58,丸山元, 1.0, 67,   1,   5,15,197.6,⑫⑮⑭, 4, 1,Ｄワルキュｰレ, 82,吉田豊, 0.4, 84,   7,* 11, 3,  6.2,⑭⑩⑦
 5, 8,Ｇサニｰストリｰト, 55,勝浦正, 1.2, 54,  -6,  -3, 7, 14.3, ⑨⑨, 5, 9, メジロスパイダｰ,,五十嵐,197.0,,,, 5, 12.6,⑪⑨⑦, 5,13,Ｂツクバタイヨウ, 73,後藤浩, 1.2, 64,*  6,  -5, 2,  4.7,③③③, 5, 3,Ｂマルブツライト, 86,北村宏, 0.8, 77,   5,*  8,10, 34.3,⑨⑫⑩
 6,14,Ｌカネトシジュラｰル, 38,池崎祐, 1.2, 52, -10,*  1,16,429.4, ⑫⑫, 6, 1, アザンクｰル,,南井大,197.0,,,, 2,  4.1,⑧⑦⑥, 6, 1,Ｅタイキジャガｰ, 70,津村明, 1.2, 65,   5,  -3, 6, 16.7,④④⑤, 6, 2,Ｆハネダテンシ, 80,武士沢, 0.9, 78,   9,  -1,11, 60.1,⑧⑥⑥
 7, 7,Ｆホワイトホｰネット, 59,後藤浩, 1.2, 59,*  7, -13, 4,  7.6, ②③, 7, 7, スルｰザグリｰン,,柴田未,198.1,,,, 4,  9.9,⑫⑪⑨, 7, 9,Ｍピサノシンボル, 60,北村宏, 1.3, 65,   4,  -4, 4,  8.4,⑤⑤⑥, 7, 8,Ｏタイキラファエロ, 66,田中勝, 1.0, 77,* 14,  -9, 9, 26.6,②③③
 8, 2,Ｊエングレイス, 49,鷹野宏, 1.9, 48,  -5,  -8,10,106.7, ⑩⑩, 8,12, パｰプルコランダム,,草野太,198.8,,,,11, 67.5,⑨⑧⑧, 8, 8,Ｈシツジツゴウケン, 64,江田照, 1.3, 66,   5,  -4,12, 37.1,⑨⑥④, 8,13,Ｌタケショウオｰジ, 76,後藤浩, 1.1, 76,   3,*  8, 8, 15.1,⑮⑯⑯
 9, 9,Ｋベルモントワルツ, 47,小野次, 2.1, 46,  -5, -10, 9,101.5, ⑪⑪, 9,14, ダイワアンリ,,金子光,199.0,,,,10, 60.1,②③⑤, 9, 3,Ｃトレジャｰバトル, 72,吉田豊, 1.4, 65,   4,  -3, 1,  3.0,⑦⑦⑧, 9,10,Ｈロｰドアリエス, 80,勝浦正, 1.2, 75,   7,   0, 4,  6.6,⑩⑪⑪
10, 6, リネンシマイ,---,村田一, 2.2, 46, -19,*  1,15,284.0, ⑯⑯,10,10, サクラプレミアム,,矢原洋,204.9,,,,14,184.2,⑬⑬⑫,10, 4,Ｉプラクシス, 63,勝浦正, 2.1, 60,   2,  -7,14,132.6,⑬⑪⑪,10, 4,Ｍサインオブゴッド, 72,木幡初, 1.3, 74,   3,   5,16,200.8,⑬⑮⑭
11,10,Ｉジェットリリｰ, 49,国分優, 2.2, 45,  -4, -13,11,128.3, ⑦⑧,11,13, ワイルドオｰキッド,,平沢健,204.9,,,, 8, 43.7,⑥⑩⑪,11,11,Ｇスラマティンガル, 65,丹内祐, 2.4, 58,   2,  -8, 5, 11.0,⑩⑬⑫,11,15,Ｅツバサドリｰム, 82,吉田隼, 1.4, 72,   8,  -5, 6,  9.5,⑫⑨⑫
12,13,Ａショウナンマゴコロ, 64,柴田善, 2.6, 45,   3, -22, 2,  4.3, ④④,,,,,,,,,,,,,12, 5,Ｌエアイグアス, 61,武士沢, 2.6, 56,   4, -13, 8, 20.4,⑧⑧⑨,12,12,Ｋグレｰトバルサｰ, 78,江田照, 1.6, 70,   3,   1,15,165.9,⑯⑭⑬
13,11,Ｍダイワエモｰション, 34,北村宏, 2.6, 41, -12,  -8,12,189.1, ⑭⑭,,,,,,,,,,,,,13,16,Ｐブレイブワイズ, 53,柴山雄, 2.7, 58,   2, -10,16,329.7,⑪⑫⑬,13,14,Ｇセヴンワンダｰズ, 80,柴山雄, 1.6, 69,* 14, -16,14, 91.6,④④④
14, 4,Ｏビイｰネマｰヤ, 23,柄崎将, 3.0, 39,  -9, -13,13,242.2, ⑬⑬,,,,,,,,,,,,,14,14,Ｋタマモウィナｰ, 61,黛弘人, 2.8, 55,*  6, -20,13, 69.9,①①①,14,16,Ｊブｰケフレグランス, 79,岩田康, 1.8, 66,  11, -15, 5,  7.4,⑤⑦⑨
15, 3,Ｎルビｰマダム, 33,武士沢, 4.2, 28, -13, -21,14,247.4, ⑮⑮,,,,,,,,,,,,,15,15,Ｊユニヴァｰスガイ, 63,内田博, 3.4, 50,*  5, -24, 3,  5.8,②②②,15, 9,Ｐショウナンタレント, 65,柴田善, 1.9, 66,  10, -13,13, 85.5,⑦⑧⑧
16,15,Ｃコスモスプリッツァ, 62,津村明, 4.3, 28,  -1, -32, 8, 18.0, ⑥⑥,,,,,,,,,,,,,16,12,Ｎサンクフルルック, 59,吉田隼, 5.4, 39,   4, -37, 9, 26.2,⑥⑨⑯,16,11,Ｎマッハジュウクン, 71,松田大, 2.2, 64,   6, -12,12, 64.3,⑪⑬⑮
