09年 5月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,都大路ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｆテイエムリュウジン, 57,国分恭,, 62,* -8,* 12, 6, 11.7,②②②, 1,17,Ｂグッドルッキング, 64,秋山真,, 63,* -7,   1, 1,  3.9, ③③, 1, 7,Ｂピサノアラシ, 81,渡辺薫,, 74,*  4,   5, 1,  2.3, ②②, 1, 1,Ｃライブコンサｰト, 85,和田竜,, 92,  12,  15, 5, 11.5, ⑦③
 2, 2,Ｄコウエイクリスタル, 59,小林徹, 0.2, 62,* -7,  10, 1,  3.0,①①①, 2, 9,Ｄヤマニンライラ, 54,四位洋, 0.0, 66, -12,*  8, 5, 10.7, ⑨⑧, 2, 3,Ａシンゼンオオジ, 84,飯田祐, 0.2, 71,  -2,   8, 2,  4.4, ⑤③, 2, 6,Ｆキャプテンベガ, 84,熊沢重, 0.0, 92,   9,* 19, 2,  4.6, ⑨⑧
 3, 8,Ｃタガノバロナｰク, 60,木村健, 0.7, 58,  -9,   8, 3,  3.7,④④④, 3, 2, トキメキハニｰ,---,長谷川, 0.4, 61, -15,*  6, 7, 12.2, ⑪⑨, 3, 5,Ｃエｰシンビｰトロン, 80,和田竜, 0.2, 71,*  4,   2, 5,  8.4, ①①, 3, 9,Ｂマチカネオｰラ, 86,浜中俊, 0.1, 92,   8,* 21, 6, 12.9, ⑫⑬
 4, 5,Ｈヴィｰヴァシラオキ, 52,浜中俊, 1.0, 56, -10,   7, 7, 26.5,⑥⑦⑦, 4,10,Ａフェバリットガｰル, 64,藤田伸, 0.5, 56,* -5,  -7, 3,  4.6, ①①, 4,13,Ｇメイショウオｰラ, 66,武幸四, 0.3, 72,  -6,* 10, 4,  7.5, ⑨⑨, 4, 3,Ｈコンゴウリキシオｰ, 83,木村健, 0.3, 86,* 19,  -1,10, 32.0, ①①
 5, 9,Ｅパルティコラｰレ, 58,和田竜, 1.1, 56, -11,   9, 5, 10.5,⑩⑩⑨, 5, 4, テイエムユメノコ,---,芹沢純, 0.7, 55,* -8,  -6, 8, 24.4, ⑥⑤, 5, 1,Ｉオｰゴンシャトル, 62,石橋守, 0.5, 70, -13,* 16,10, 75.5, ⑭⑫, 5, 4,Ｏアップドラフト, 76,下原理, 0.5, 84,  12,   7,15,115.4, ④⑦
 6, 1,Ｇザバトルプラウド, 56,藤田伸, 1.3, 52,  -9,   3, 4,  9.6,③③③, 6,11,Ｅアイエスプラスワン, 54,幸英明, 0.8, 55, -10,  -5,10, 29.1, ⑦⑥, 6, 2, タコ,---,木村健, 0.8, 65,  -4,   4, 3,  6.5, ⑦⑥, 6,11,Ａトレノジュビリｰ, 87,松田大, 0.5, 85,  12,   8, 8, 18.2, ⑤⑤
 7,10,Ｂヒルノカンクン, 61,熊沢重, 1.5, 54, -10,   4, 9, 51.7,⑨⑨⑧, 7, 6, グロｰリｰブリッジ,---,木村健, 0.8, 57, -16,*  3, 6, 11.2, ⑭⑭, 7,10,Ｆオｰミレイライン, 68,松田大, 0.9, 65,  -6,   5, 8, 40.6, ⑧⑦, 7, 5,Ｌアグネストレジャｰ, 80,秋山真, 0.6, 84,   8,  13,17,173.8, ⑮⑭
 8, 6,Ａメイショウダイクン, 68,幸英明, 2.8, 41,  -9,  -9, 2,  3.6,⑦⑥⑥, 8, 1,Ｇドレッシｰ, 51,浜中俊, 0.8, 55, -11,  -4, 4, 10.1, ⑧⑦, 8,11,Ｅリバｰサルブロｰ, 68,藤田伸, 1.5, 59,  -1,  -4, 7, 39.8, ④⑤, 8,13,Ｄタマモサポｰト, 85,津村明, 0.8, 83,   9,   8, 3,  6.1, ⑪⑩
 9, 4,Ｉエリモハッピｰ, 37,佐久間, 3.2, 39,  -9, -14,10,117.3,⑤⑤⑤, 9, 3,Ｊパボ, 41,和田竜, 0.9, 57, -17,*  4,14, 90.6, ⑮⑪, 9, 8,Ｈレッドオマｰジュ, 64,幸英明, 1.6, 57,   0,  -7, 6, 12.0, ③④, 9,16,Ｋショウワモダン, 80,藤田伸, 0.9, 79,  12,   2, 4,  6.8, ⑥⑥
10, 7, シゲルミムロヤマ,---,東川公, 4.9, 28, -10, -26, 8, 46.4,⑧⑧⑩,10, 5,Ｉクンチャン, 45,飯田祐, 1.1, 50,* -8, -11,11, 50.5, ⑤④,10,14,Ｄアスタｰクリス, 71,秋山真, 1.6, 59, -10,   4, 9, 40.9, ⑬⑪,10,10,Ｉマヤノライジン, 83,渡辺薫, 0.9, 82,  11,   5, 9, 20.6, ⑧⑨
,,,,,,,,,,,,11,13,Ｃネオカｰニバル, 60,高橋亮, 1.3, 47,* -5, -18, 2,  4.6, ②②,11, 4,Ｌブルｰライジング, 48,浜中俊, 2.1, 54,  -8,  -3,11,140.3, ⑩⑬,11, 2,Ｅニルヴァｰナ, 84,幸英明, 0.9, 80,* 13,  -1, 7, 15.7, ③②
,,,,,,,,,,,,12, 8, ネオランジュ,---,松田大, 1.5, 49, -19,  -2, 9, 29.1, ⑰⑯,12, 6, ゼロスキャン,---,東川公, 2.1, 53, -10,  -2,12,152.1, ⑫⑭,12,17,Ｍマイネルハｰティｰ, 79,角田晃, 0.9, 84,   2,* 19,12, 51.6, ⑱⑱
,,,,,,,,,,,,13,14,Ｆペッシュドｰル, 53,熊沢重, 1.8, 44, -12, -13,12, 68.5, ⑩⑬,13,12,Ｋウォリナｰイモン, 56,熊沢重, 2.3, 53,  -5,  -8,13,183.3, ⑥⑧,13, 7,Ｊゴｰルデンメイン, 81,芹沢純, 1.1, 81,   6,   9,13, 75.1, ⑬⑰
,,,,,,,,,,,,14, 7, トワイライトトｰク,---,津村明, 2.0, 44, -17,  -9,16,122.2, ⑯⑮,14, 9,Ｊスイッチスタイル, 59,下原理, 2.3, 53,  -7,  -5,14,253.7, ⑪⑩,14,15,Ｇポルトフィｰノ, 84,四位洋, 1.3, 75,   9,   0, 1,  3.7, ⑭⑫
,,,,,,,,,,,,15,12,Ｈオｰミリュミエｰル, 45,畑端省, 2.0, 40, -16, -13,18,218.9, ⑫⑫,,,,,,,,,,,,,15, 8,Ｐニシノマナムスメ, 76,飯田祐, 1.9, 68,   9,  -8,11, 35.7, ⑩⑪
,,,,,,,,,,,,16,18,Ｋユウサンチップ, 40,角田晃, 2.7, 40, -31,  -1,15, 91.6, ⑱⑱,,,,,,,,,,,,,16,12,Ｎカンファｰベスト, 79,武幸四, 2.1, 70,   5,  -3,16,121.2, ⑰⑯
