09年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,藤森ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｎトシギャングスタｰ, 31,浜中俊,, 57, -16,* 12,12,124.7, ⑯⑮, 1, 2, アイアムルビｰ,---,幸英明,, 72,* -2,* 11, 6, 17.1, ①①, 1, 9,Ｎタコ, 61,太宰啓,, 78,* 10,*  3, 9, 24.8, ①①, 1, 5,Ｇアドマイヤゴルゴ, 85,安藤勝,, 87,   6,* 19, 8, 14.1, ⑫⑨
 2, 3,Ｄヴェリタスロｰズ, 61,渡辺薫, 0.0, 62,  -1,  -2, 3,  4.4, ⑥⑤, 2, 6, フライトオブスワン,---,安藤勝, 0.5, 68,* -2,   7, 1,  2.4, ②②, 2, 3,Ｄライフストリｰム, 72,国分恭, 0.5, 75,   7,   2, 5, 13.6, ⑤⑤, 2, 4,Ｅシｰポラリス, 86,秋山真, 0.0, 87,* 10,  13, 2,  4.4, ④③
 3,14,Ｆフリｰクヒロイン, 52,小林徹, 0.2, 63,*  6, -11,15,175.8, ①①, 3, 1, ルミエｰルヴェリテ,---,内田博, 0.8, 67,  -4,   7, 2,  3.1, ④④, 3, 4,Ｉザドライブ, 66,松岡正, 0.6, 72,   5,*  5, 2,  4.1, ⑪⑨, 3, 6,Ｄスｰサンライダｰ, 87,和田竜, 0.1, 86,* 12,  10, 1,  4.2, ①①
 4, 8,Ｅタムロガッツ, 60,佐藤哲, 0.3, 59,   2,  -7, 1,  2.9, ④④, 4, 3, ブルｰライトニング,---,藤岡康, 0.8, 66,  -6,* 10, 4, 14.3, ⑦⑥, 4, 2,Ｊトップフリｰダム, 64,池添謙, 0.7, 71,   6,   2, 8, 20.0, ⑧⑧, 4, 1,Ａハイエモｰション, 89,川島信, 0.6, 83,   8,  12, 3,  6.7, ⑨⑧
 5,12,Ａスペシャルイモン, 69,松山弘, 0.6, 54,  -2,  -6, 4, 10.6, ⑦⑧, 5, 9, アドマイヤマリン,---,福永祐, 1.0, 65,  -9,* 11, 3,  5.1, ⑨⑨, 5,14,Ｈマサヤマト, 68,武幸四, 0.9, 72,   7,  -2, 4,  6.4, ⑦⑦, 5, 9,Ｉラインプレアｰ, 82,角田晃, 0.7, 82,   7,  10, 5,  7.5, ⑧⑩
 6,11,Ｊコウエイロブロイ, 40,内田博, 0.7, 55,  -4,  -5, 6, 15.3, ⑩⑪, 6, 8, サンマルボス,---,浜中俊, 1.3, 62,  -4,   3,11,195.6, ⑤⑤, 6, 6,Ｃエアデヴォン, 74,福永祐, 0.9, 70,   7,  -2, 3,  5.0, ④③, 6,16,Ｂインプルｰヴ, 88,上村洋, 0.7, 81,* 10,   7, 6, 11.9, ⑥⑥
 7, 2,Ｏファンドリトレイン, 27,幸英明, 0.8, 53,  -4,  -6, 9, 62.1, ⑨⑦, 7,12, ブルロック,---,石橋脩, 1.5, 62, -10,   8, 7, 17.2, ⑩⑪, 7, 7,Ｇアベニｰルシチｰ, 69,和田竜, 1.0, 69,   3,*  3,10, 34.2, ⑬⑬, 7,14,Ｍノｰリプライ, 81,藤田伸, 0.9, 81,   4,  14, 4,  6.8, ⑭⑫
 8,16,Ｂマイネルレガｰロ, 65,松岡正, 0.9, 54,*  4, -15, 2,  3.2, ③③, 8, 5, クラサヴィカ,---,池添謙, 1.9, 57,  -8,   2, 5, 15.7, ⑧⑩, 8,10,Ｍジャングルゼット, 61,松山弘, 1.1, 67,*  8,  -5,14,137.2, ②②, 8, 7,Ｌハｰドランナｰ, 81,内田博, 1.0, 80,   8,   7, 9, 27.0, ⑦⑦
