09年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雅ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂスノｰマジック, 66,和田竜,, 62,*  0,*  4, 3,  5.7, ③③, 1, 3,Ｂシャインモｰメント, 80,安藤勝,, 73,  -1,* 16, 1,  2.4,⑥⑧⑧, 1, 1,Ｇブロｰドストリｰト, 61,藤田伸,, 77,  -5,* 14, 1,  3.1, ⑥⑤, 1, 7,Ａカリオンツリｰ, 88,藤田伸,, 78,*  8,  15, 1,  2.1,③③③
 2,10,Ｇティフィン, 48,藤岡佑, 0.3, 60,  -7,*  8, 8, 37.0, ⑪⑦, 2, 2,Ｃジョｰモルデュｰ, 77,池添謙, 0.2, 72,   0,  13, 2,  3.6,⑤⑤⑤, 2, 5,Ｆファミリズム, 62,岩田康, 0.4, 70,* -3,   5, 3,  4.1, ④④, 2, 5,Ｃユウキタイティ, 85,幸英明, 0.0, 77,*  8,  14, 7, 22.0,②②②
 3, 1,Ａメジロブラボｰ, 66,デムｰ, 0.4, 59,  -5,*  5, 2,  3.8, ⑦⑧, 3, 9,Ｊフジノアリオン, 68,和田竜, 0.2, 70,*  2,   6, 8, 41.5,②①①, 3, 2,Ｃドリｰムゼニス, 64,和田竜, 0.5, 70,* -2,   4, 7, 21.2, ③②, 3, 6,Ｄキングブレｰヴ, 83,福永祐, 0.2, 79,   5,* 20, 3,  5.6,⑥⑥⑥
 4, 4,Ｃニシノミｰチャン, 63,松田大, 0.4, 59,*  1,  -1, 4,  6.4, ②②, 4, 5,Ａゴｰルドスミス, 82,福永祐, 0.3, 73,  -2,* 14, 3,  5.3,③⑦⑥, 4,14,Ａナンヨｰアイドル, 68,デムｰ, 0.5, 72,  -5,*  8, 2,  3.8, ⑩⑧, 4, 8,Ｂスタｰフォワｰド, 86,秋山真, 0.3, 77,   7,  16, 5, 14.5,⑤⑤⑤
 5, 8,Ｆホｰマンライズ, 50,福永祐, 1.0, 54,*  3,  -8, 1,  2.6, ①①, 5, 4,Ｄツルマルシルバｰ, 75,川田将, 0.7, 68,*  3,   3, 4,  6.6,⑩②②, 5, 4,Ｉキングアレキサンダ, 60,角田晃, 0.8, 66,* -1,  -5, 5, 13.0, ①①, 5, 2,Ｅプラチナメｰン, 82,小牧太, 0.9, 76,   3,  18, 4,  7.7,⑧⑧⑧
 6, 5,Ｋニホンピロボレｰ, 42,熊沢重, 1.1, 53,  -1,  -5,12,147.2, ④④, 6,11,Ｇクレアシオン, 72,小牧太, 0.9, 67,   1,   4, 6, 23.1,⑦④④, 6, 9,Ｈキｰヤマト, 60,佐藤哲, 0.9, 66,  -5,   1, 4,  8.9, ⑤⑥, 6, 3,Ｆウォｰタｰマｰク, 81,デムｰ, 1.0, 72,   8,   8, 6, 17.0,④④④
 7, 2,Ｌタガノガンチｰニ, 40,安藤勝, 1.8, 46,  -6,  -6, 6, 25.9, ⑧⑩, 7, 6,Ｋセンノカゼ, 64,藤田伸, 0.9, 66,   1,   4, 7, 23.8,④③③, 7,13,Ｂダンツフロント, 64,藤岡佑, 1.1, 64,  -8,   4, 9, 31.8, ⑬⑪, 7, 4,Ｈアグネススタｰチ, 73,熊沢重, 1.6, 67,*  9,   0, 2,  3.6,①①①
 8,15,Ｍロングアイドル, 40,渡辺薫, 2.2, 44,  -6,  -9,11, 95.8, ⑨⑨, 8, 1,Ｅヴェリタス, 74,デムｰ, 0.9, 69,  -2,  10, 9, 49.2,①⑨⑩, 8,10,Ｋスズカケ, 59,秋山真, 1.2, 60,* -3,  -8,13, 90.5, ②③, 8, 1,Ｇグランプリペガサス, 73,太宰啓, 1.8, 64,   5,   6, 8,103.0,⑦⑦⑦
