09年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,九十九里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂシルクパルサｰ, 68,蛯名正,, 62,   4,  -6, 4,  6.3, ⑦⑤, 1, 1, ツアｰデフォｰス,,今村康,,,,, 2,  2.5,②②②, 1, 9,Ｅトレジャｰバトル, 75,吉田豊,, 75,*  5,*  8, 5, 17.0,②②②, 1, 1,Ｃロｰドアイアン, 78,後藤浩,, 85,   2,  14, 4,  7.4,⑤⑤⑤
 2, 7,Ａセイウンオウサム, 72,松岡正, 0.0, 62,   4,  -6, 1,  1.9, ⑤③, 2, 7, ムｰンレスナイト,,五十嵐,191.7,,,, 1,  1.7,①①①, 2, 7,Ｃフェイマステイル, 75,勝浦正, 0.1, 74,   5,*  9, 3,  8.4,⑤⑥⑤, 2, 5,Ｄリヴィエラブルｰ, 76,田中勝, 0.0, 81,*  4,   7, 6, 17.6,②②②
 3, 9,Ｄケイアイカミｰリア, 60,柴田善, 0.0, 63,*  5,  -6, 2,  4.2, ③②, 3, 5, ルグランコンデ,,蓑島靖,191.7,,,,10, 69.2,③④④, 3, 3,Ａツクバタイヨウ, 78,内田博, 0.6, 75,   1,* 11, 2,  3.0,⑬⑭⑭, 3,10,Ｂトリビュｰトソング, 82,勝浦正, 0.1, 84,   1,  14, 1,  2.4,⑧⑦⑦
 4,16,Ｋケｰジｰアメリカン, 37,北村宏, 0.4, 56,   0,* -4, 7, 49.5, ⑩⑪, 4, 3, スプリングカラｰ,,金子光,191.9,,,, 4, 23.7,⑤③③, 4,15,Ｂマイネルサラン, 76,松岡正, 1.0, 71,   2,*  7, 4, 10.8,⑮⑬⑨, 4, 9,Ｅラヴォランテ, 74,横山典, 0.2, 85,   0,* 19, 3,  4.3,⑩⑩⑨
 5, 8,Ｍディｰエスブリスク, 36,田中勝, 0.5, 54,  -4,* -2, 9,118.7, ⑪⑩, 5, 9, ヤマニンパルファン,,柴田大,192.3,,,, 9, 66.1,④⑤⑤, 5,12,Ｊクリスオフトレイル, 70,田中勝, 1.4, 66,*  5,  -3, 7, 23.6,⑥④④, 5, 8,Ａマイネルファｰマ, 83,松岡正, 0.3, 79,   2,   7, 2,  4.2,④④④
 6, 3,Ｅブラウンゴアｰ, 59,後藤浩, 0.7, 54,   0,  -7, 6, 33.8, ⑨⑧, 6,12, テンジンリュウセｰ,,浜野谷,193.5,,,, 6, 40.1,⑨⑥⑥, 6, 1,Ｇゴｰルデンラダｰ, 71,柴山雄, 1.9, 64,   5,  -5,13,178.8,④⑤⑥, 6, 6,Ｆメジロアルタイス, 73,吉田豊, 0.5, 81,  -1,  14, 7, 41.3,⑨⑨⑩
 7,10,Ｆカゼノマイヒメ, 54,吉田豊, 0.8, 56,   5, -12,10,163.9, ⑥④, 7, 4, スウェプトスルｰ,,宗像徹,196.5,,,,11,129.5,⑩⑩⑨, 7, 2,Ｉボナパルト, 71,鷹野宏, 2.0, 63,   3,  -3,11,144.9,⑩⑨⑧, 7, 7,Ｉハイフェイム, 68,北村宏, 0.8, 73,   2,   3, 9,102.6,⑥⑥⑥
 8,12,Ｎヤマイチテキｰラ, 35,大江原, 1.3, 50,   2, -14,15,541.7, ⑧⑨, 8,11, パリスフォンテン,,大江原,197.6,,,, 3, 17.1,⑪⑪⑪, 8, 8,Ｄアタゴオｰラ, 75,後藤浩, 2.0, 61,*  5,  -9, 1,  2.1,①①①, 8, 2,Ｈエアクラマン, 71,蛯名正, 0.8, 77,   1,   7, 8, 96.5,⑦⑧⑧
