09年 9月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾚｲﾝﾎﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂベストバウト, 51,田中勝,, 58,* -6,*  1, 3,  6.9, ①①, 1,11, トｰセンモｰション,---,石橋脩,, 59,* -8,*  3, 2,  4.2, ③③, 1, 5,Ｄホクトグレイン, 68,柴田善,, 79,* -2,* 13, 3,  4.9,②②②, 1, 1,Ｅレッツゴｰキリシマ, 87,横山典,, 86,*  7,* 13, 1,  2.6,①①①
 2,10,Ｊケイアイカミｰリア, 23,柴田善, 0.3, 56,* -6,  -2, 5, 18.3, ②②, 2,13, ミエノグレｰス,---,武豊  , 0.1, 57, -12,*  5, 1,  2.7, ⑦⑦, 2, 6,Ｋアコガレノダンス, 53,小林淳, 0.2, 81,  -3,* 13, 9,112.6,④④③, 2, 2,Ｆアサティスボｰイ, 84,藤岡康, 0.1, 88,*  6,* 15, 3,  6.9,②④②
 3, 1,Ｆワｰルドホｰリング, 36,蛯名正, 0.3, 56, -10,*  2, 4, 17.5, ⑦⑥, 3, 7, ラインジェシカ,---,吉田豊, 0.4, 54,  -9,   0, 4,  7.5, ⑥⑥, 3,10,Ｂメイウインド, 72,武豊  , 0.5, 74,  -3,  10, 1,  2.3,⑨⑥⑥, 3, 6,Ｄドットコム, 88,武豊  , 0.4, 83,   4,  11, 2,  4.4,⑤⑥⑥
 4, 9,Ｅミュｰジｰロｰジｰ, 38,村田一, 1.3, 48, -14,  -3,10,143.5, ⑨⑧, 4,10, パｰルオｰプン,---,北村宏, 0.6, 52,* -8,  -3, 3,  5.0, ②②, 4, 4,Ｅニシノシュテルン, 66,村田一, 0.6, 76,  -5,  11, 6, 22.6,⑪⑩⑦, 4, 4,Ｇケンブリッジレｰザ, 83,柴田善, 0.5, 81,*  5,   7, 6, 16.0,④③④
 5, 3,Ｉブロｰドアウェイク, 26,石橋脩, 1.6, 45,  -9, -10, 9,116.1, ⑥⑦, 5,12, ラインデウス,---,柴田善, 1.4, 45, -16,  -3, 9, 36.1, ⑩⑩, 5, 1,Ａレジｰムチェンジ, 77,横山典, 0.7, 74,  -6,* 14, 2,  3.5,⑩⑫⑫, 5, 3,Ｏガッテンワン, 73,村田一, 0.7, 80,*  5,   4,13, 47.4,③②③
 6, 4,Ｄナンデヤネン, 40,吉田豊, 1.9, 41, -12, -10, 7, 26.8, ⑧⑨, 6, 5, ノボシャンパｰニュ,---,藤岡康, 2.0, 40,  -9, -14,10, 47.4, ④④, 6, 3,Ｇプルプル, 61,菊沢隆, 0.9, 70,  -4,   7,10,160.0,⑥⑦⑧, 6,12,Ｈフサイチアソｰト, 82,丸田恭, 0.8, 80,   3,  10, 7, 19.3,⑪⑪⑩
 7, 6,Ｈハヤブサイッポン, 30,丸田恭, 1.9, 40, -22,  -2, 6, 25.4, ⑪⑪, 7, 8, ニジイロノホシ,---,田中博, 2.1, 41,  -9, -14,11, 48.3, ⑤⑤, 7, 7,Ｈマコトボムケッチ, 60,柴山雄, 0.9, 69,* -2,   1, 7, 22.6,③③④, 7,14,Ｃテンシノゴｰルド, 90,熊沢重, 0.8, 84,   0,* 17, 9, 22.3,⑮⑯⑯
 8, 8,Ｃリンガスデュｰク, 51,内田博, 2.2, 39,  -7, -17, 1,  1.5, ④④, 8, 6, ディテｰル,---,田中勝, 2.2, 38, -13, -12, 6, 20.4, ⑧⑧, 8, 2,Ｉワｰルドカルティエ, 60,北村宏, 1.1, 62,* -2,  -3, 4,  7.7,①①①, 8, 9,Ｎエフティイカロス, 75,蛯名正, 0.8, 81,   3,  10, 8, 22.3,⑨⑩⑨
 9, 7,Ａグッディグッディ, 52,北村宏, 2.7, 34,  -7, -21, 2,  4.9, ③③, 9, 4, チェリｰブロッサム,---,内田博, 2.3, 38, -16, -11, 5, 10.4, ⑨⑨, 9, 8,Ｃショウナンハゴロモ, 71,内田博, 1.2, 67,  -4,   3, 5, 15.2,⑦⑧⑨, 9,11,Ｋハリｰアップ, 80,菊沢隆, 0.9, 77,   4,   6,10, 33.4,⑩⑧⑪
10, 2,Ｋリネンセレブ, 18,五十嵐, 3.3, 29,  -9, -25,11,174.8, ⑤⑤,10,14, ミヤギマジック,---,村田一, 2.4, 38,* -6, -20, 7, 21.5, ①①,10,12,Ｆネオコルテックス, 65,吉田豊, 1.6, 62,  -4,  -3, 8, 38.5,⑧⑨⑩,10,16,Ａワルキュｰレ, 96,柴山雄, 0.9, 78,   4,   4, 4, 11.6,⑧⑨⑧
11,11,Ｇメイメイハクハク, 32,柴山雄, 4.0, 23, -14, -27, 8, 40.6, ⑩⑩,11, 2, ケイアイツバキ,---,横山典, 2.6, 34, -20,  -9, 8, 33.6, ⑪⑪,11, 9,Ｌフォレストグリｰン, 46,柴田大, 1.8, 62,  -7,   0,12,488.5,⑫⑪⑪,11,15,Ｐシルクダッシュ, 73,内田博, 1.0, 81,   1,  11,14, 53.9,⑭⑮⑬
,,,,,,,,,,,,12, 9, ミネノタカオｰ,---,柴山雄, 3.1, 30, -21, -13,14,317.8, ⑫⑫,12,11,Ｊピュアロング, 53,横山義, 2.2, 53,  -3, -16,11,344.0,⑤⑤⑤,12, 5,Ｂダイワルビア, 90,北村宏, 1.0, 74,   4,   3, 5, 15.8,⑦⑦⑦
,,,,,,,,,,,,13, 1, ラビットラヴソング,---,池崎祐, 3.4, 27, -37,  -2,13,196.2, ⑬⑬,,,,,,,,,,,,,13, 7,Ｊアスクデピュティ, 81,石橋脩, 1.0, 81,   1,  11,15, 70.6,⑬⑭⑫
,,,,,,,,,,,,14, 3, マイネルオベリスク,---,丸田恭, 4.7, 15, -41, -10,12, 55.3, ⑭⑭,,,,,,,,,,,,,14,10,Ｍカゼノコウテイ, 77,田中博, 1.3, 77,   3,   5,16,132.3,⑯⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｌショウナンライジン, 79,吉田豊, 1.4, 71,*  5,  -4,12, 40.0,⑥⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｉシゲルタック, 82,田中勝, 1.8, 70,   3,  -3,11, 36.0,⑫⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:690円 複勝:05=260円 10=520円 01=530円 枠連:2,500円",,,,,,,,,,,,単勝:420円 複勝:11=150円 13=150円 07=190円 枠連:480円,,,,,,,,,,,,"単勝:490円 複勝:05=170円 06=1,330円 10=130円 枠連:17,790円",,,,,,,,,,,,単勝:260円 複勝:01=140円 02=180円 06=160円 枠連:970円,,,,,,,,,,,
"馬連:3,890円 ワイド:05-10=1,030円 01-05=910円 01-10=1,640円",,,,,,,,,,,,馬連:720円 ワイド:11-13=320円 07-11=560円 07-13=530円,,,,,,,,,,,,"馬連:19,440円 ワイド:05-06=3,660円 05-10=310円 06-10=2,470円",,,,,,,,,,,,馬連:960円 ワイド:01-02=440円 01-06=400円 02-06=640円,,,,,,,,,,,
"馬単:6,500円 3連複:8,900円 3連単:57,400円",,,,,,,,,,,,"馬単:1,640円 3連複:1,800円 3連単:8,510円",,,,,,,,,,,,"馬単:30,370円 3連複:13,770円 3連単:135,000円",,,,,,,,,,,,"馬単:1,460円 3連複:1,880円 3連単:6,400円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,京成杯ｵｰﾀﾑﾊﾝﾃﾞｷｬｯﾌﾟ ＧⅢ,,,,,,,,,,
