09年11月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月15日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾉﾍﾞﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆケイアイツバキ, 50,戸崎圭,, 61,   5,  -2, 4,  6.2, ③③, 1, 5, マイネルネオス,,宗像徹,,,,, 2,  3.3,④④②, 1, 9,Ｄカラメルマキアｰト, 75,クラス,, 77,*  8,   8, 2,  3.2, ①①, 1,18,Ｆチョウカイファイト, 81,蛯名正,, 89,   6,  15, 6, 15.4,⑦⑨⑨
 2, 3,Ａタケショウカヅチ, 69,伊藤工, 0.0, 58,   0,*  3, 1,  2.6, ⑧⑧, 2, 4, ボナパルト,,山本康,204.5,,,, 4,  7.3,②③③, 2, 2,Ｂアポロラムセス, 76,戸崎圭, 0.2, 76,   2,* 14, 1,  3.1, ⑧⑧, 2, 1,Ｄドリｰムゼニス, 83,松岡正, 0.0, 89,   8,  14, 1,  3.4,⑧⑦⑦
 3, 2,Ｃディアトラ, 61,吉田豊, 0.1, 59,   3,   0, 2,  2.8, ⑥⑤, 3, 1, スプリングカラｰ,,金子光,205.1,,,, 6, 12.7,①①①, 3,11,Ａヤマタケディガｰ, 76,後藤浩, 0.3, 76,   0,* 17, 4, 10.1, ⑭⑭, 3, 6,Ｃスノｰクラッシャｰ, 84,三浦皇, 0.1, 91,   6,* 19, 3,  4.2,⑬⑬⑫
 4, 7,Ｂハタノディアナ, 61,内田博, 0.8, 56,* 10, -15, 3,  4.8, ①①, 4, 8, トｰセンコックス,,水出大,205.9,,,, 1,  3.1,⑤⑦⑤, 4, 5,Ｃスカｰレットライン, 76,内田博, 0.5, 75,   2,* 12, 3,  3.7, ⑫⑨, 4,11,Ｐアドバンスヘイロｰ, 70,クラス, 0.1, 86,* 12,   4,16,209.8,①①①
 5, 9,Ｇタマモハイグレｰド, 50,柴山雄, 1.0, 50,  -5,   1,11,160.7, ⑩⑩, 5, 6, パゴダ,,高野和,206.0,,,, 9, 94.1,⑨⑨⑦, 5,16,Ｈブレｰヴゴｰルド, 72,柴山雄, 0.9, 70,*  6,   3, 8, 30.6, ③③, 5,10,Ｉダイレクトキャッチ, 79,小野次, 0.3, 87,   7,  13, 4,  9.4,⑩⑧⑩
 6, 4,Ｈエｰシンアマゾｰン, 45,後藤浩, 1.1, 50,   2,  -9, 8, 98.4, ⑦⑦, 6, 3, フォｰリクラッセ,,西谷誠,206.4,,,, 3,  4.3,⑫⑪⑪, 6,14,Ｎカカロット, 67,幸英明, 1.1, 68,   5,   2, 6, 18.9, ⑤④, 6,15,Ｊアペリティフ, 77,幸英明, 0.4, 87,   2,* 20, 7, 23.6,⑰⑰⑰
 7, 8,Ｄディアセイレｰン, 53,武士沢, 1.7, 48,*  9, -21, 5, 18.1, ②②, 7,13, フォレストグリｰン,,草野太,208.4,,,,12,150.3,⑪⑩⑩, 7, 1,Ｆティティボス, 73,伊藤直, 1.1, 69,   2,   6,10, 72.4, ⑥⑦, 7, 5,Ｂブルｰマｰテル, 85,五十嵐, 0.5, 82,  10,   3, 5, 13.8,③④④
 8, 5,Ｋビンテｰジワイン, 36,草野太, 1.9, 42, -11,  -2, 7, 68.2, ⑪⑪, 8,12, リッシンボス,,五十嵐,208.6,,,, 8, 45.9,⑦⑤⑧, 8,10,Ｅクリスオフトレイル, 74,伊藤工, 1.3, 66,   2,   5, 5, 16.4, ⑩⑩, 8, 4,Ｇゴｰルディｰロック, 80,柄崎将, 0.5, 83,   7,   8,15,173.0,⑨⑩⑧
