09年 2月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宇治川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａマイネスタｰライト, 63,デムｰ,, 65,*  3,* -2, 1,  1.8, ③③, 1, 3,Ｉアグネスヨジゲン, 70,川田将,, 75,*  6,   6, 7,  9.5,③⑤②, 1, 5,Ｄカラベルラティｰナ, 72,デムｰ,, 73,*  4,   5, 4,  7.3, ③③, 1,12,Ａスズカコｰズウェイ, 82,武豊  ,, 79,   9,*  5, 1,  1.5, ⑨⑧
 2,10,Ｆマヤフィオｰレ, 55,和田竜, 0.1, 66,*  5,  -4, 2,  3.2, ①①, 2,16,Ｄマルサライガｰ, 73,松田大, 0.0, 76,*  7,   6, 4,  6.5,⑥④⑤, 2, 7,Ａマルタｰズマゼル, 77,池添謙, 0.0, 73,  -2,* 11, 5,  7.3, ⑩⑩, 2,10,Ｄウィズディクタット, 79,岩田康, 0.1, 78,* 11,   0, 5, 13.4, ③③
 3, 6,Ｅチキリムｰディｰ, 55,秋山真, 0.4, 62,   2,  -4, 8, 39.6, ⑤⑤, 3, 6,Ｊベストロング, 70,和田竜, 0.1, 71,*  6,   3, 9, 34.3,①①①, 3,12,Ｇハｰドリレｰ, 71,安部幸, 0.1, 72,  -2,*  9, 8, 22.1, ⑧⑧, 3, 1,Ｃダノンムロｰ, 80,ルメｰ, 0.3, 75,   6,*  4, 2,  6.9, ⑧⑨
 4, 9,Ｌアトムスパンカｰ, 43,福永祐, 0.6, 59,  -1,* -3, 5, 25.8, ⑦⑦, 4,14,Ｅタマモディファイ, 73,田村太, 0.1, 71,*  6,   4, 8, 26.1,④③④, 4, 4,Ｅナスノマツカゼ, 72,ルメｰ, 0.2, 70,   1,   6, 6, 15.8, ⑥⑦, 4, 3,Ｂミルクトｰレル, 80,四位洋, 0.3, 74,   6,*  5, 3, 10.1, ⑪⑩
 5, 2,Ｃピュアマリｰン, 59,佐久間, 0.7, 58,  -4,* -1, 6, 27.9, ⑨⑧, 5, 8,Ｃテイエムヒリュウ, 74,安部幸, 0.2, 73,   4,*  6, 6,  6.9,⑪⑪⑨, 5,10,Ｉテイエムゲンキボ, 69,小林徹, 0.4, 70,  -7,* 11, 9, 23.0, ⑭⑬, 5, 8,Ｉリトルビスケット, 72,川田将, 0.3, 78,* 14,  -6,10, 68.0, ①①
 6, 4,Ｄナムラワカバ, 56,田中克, 0.9, 58,   2,  -9, 3, 10.5, ④④, 6,13,Ａマルタカワンタッチ, 80,田中克, 0.4, 74,   4,   6, 2,  5.1,⑬⑦⑪, 6,15,Ｊヒシマウンテン, 68,東川公, 0.4, 68,  -4,   8,11, 45.1, ⑪⑪, 6, 9,Ｋタケイチゼット, 69,幸英明, 0.5, 74,   9,  -2, 8, 34.5, ⑦⑦
 7,13,Ｂエｰシンファスタｰ, 61,幸英明, 1.7, 50,*  4, -18, 4, 15.0, ②②, 7, 2,Ｆゴｰルデンラダｰ, 72,熊沢重, 0.4, 73,   5,   5,11, 83.1,⑦⑧⑦, 7,13,Ｃウルドサリエ, 72,福永祐, 0.4, 69,   1,   3, 3,  6.9, ⑤⑤, 7, 6,Ｈエｰシンビｰエル, 73,藤岡佑, 0.5, 72,   5,*  3, 4, 12.9, ⑫⑫
 8, 7,Ｈファイヤｰオパｰル, 50,田村太, 1.9, 44, -11,  -5,12,129.0, ⑭⑭, 8, 4,Ｍキャトルマン, 67,藤岡佑, 0.5, 71,   4,   4, 3,  6.3,⑤⑨⑥, 8,16,Ｆメイショウアｰチャ, 71,武豊  , 0.5, 68,  -5,   8, 1,  3.7, ⑫⑫, 8, 5,Ｊメイショウルシェロ, 72,角田晃, 0.6, 75,  11,  -5,11, 83.2, ⑤④
