09年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｋカシノピストン, 45,後藤浩,, 52,  -9,*  0, 7, 13.7, ⑭⑬, 1, 2, イコｰルパｰトナｰ,,金折知,,,,, 4, 13.5,③③③, 1, 6,Ｆシャア, 75,小坂忠,, 75,   5,* 12, 6, 16.0,⑧⑧⑦, 1, 1,Ａアクシオン, 88,岩田康,, 83,   8,   9, 2,  5.0, ⑧⑥
 2,13,Ｅグランデワイルド, 54,藤岡佑, 0.1, 53,*  0, -12,10, 27.4, ③③, 2, 6, マンノダイヤモンド,,今村康,195.0,,,, 7, 24.2,②②②, 2,13,Ｅキャプテンマジン, 76,岩田康, 0.0, 74,   5,  10, 2,  3.7,⑪⑨④, 2, 4,Ｂスピリタス, 88,武豊  , 0.1, 85,   6,* 14, 1,  1.9, ⑬⑫
 3, 8,Ｌキリシマウイング, 41,松山弘, 0.3, 50,  -1, -14,13, 74.3, ④④, 3,14, ドリｰムガｰルズ,,小坂忠,195.2,,,, 3,  7.1,①①①, 3,10,Ｈキクノセンヒメ, 73,飯田祐, 0.1, 75,   2,* 16,11, 43.4,⑭⑮⑮, 3, 5,Ｆスペルバインド, 81,スミヨ, 0.1, 84,   7,* 11, 4,  8.8, ⑪⑩
 4, 5,Ｆダテノスイミｰ, 53,和田竜, 0.3, 51,  -9,* -1,14, 99.2, ⑮⑮, 4, 1, マッキｰガリウム,,佐久間,196.1,,,, 6, 14.3,⑨⑦⑥, 4, 3,Ｉベルモントゴラッソ, 72,川田将, 0.3, 72,   4,   9,10, 36.3,⑤⑦⑨, 4, 2,Ｅダンツホウテイ, 82,藤田伸, 0.2, 82,  10,   4, 3,  5.6, ⑤④
 5,14,Ｊナリタシｰズン, 49,福永祐, 0.3, 51,  -2, -12, 6, 12.3, ⑤⑤, 5, 3, ドラゴンホｰラｰ,,高野容,197.0,,,,10, 68.2,④④④, 5, 1,Ｂルナキッズ, 78,武豊  , 0.4, 72,   5,   7, 1,  2.6,③④⑤, 5, 8,Ｌミッキｰペトラ, 73,後藤浩, 0.3, 81,  10,   2, 7, 35.1, ⑥⑤
 6, 3,Ｇチャｰムドライフ, 52,太宰啓, 0.4, 50,  -4, -11, 1,  2.6, ⑥⑥, 6,11, テイエムカイブツ,,仲田雅,198.2,,,, 9, 57.4,⑤⑥⑦, 6,11,Ｊナムラフュｰチャｰ, 72,幸英明, 0.7, 70,   5,   6, 4,  9.3,⑫⑪⑧, 6, 3,Ｍホｰマンアラシ, 72,福永祐, 0.5, 79,   7,   4,11,181.4, ⑨⑦
 7, 6,Ｏメイショウシェリｰ, 35,高橋亮, 0.4, 50,  -6,  -8,15,106.3, ⑪⑧, 7, 7, コｰド,,高野和,198.5,,,,12,112.9,⑦⑤⑤, 7, 5,Ａメイショウロｰツェ, 79,スミヨ, 0.7, 69,*  6,   3, 3,  9.1,④⑤⑥, 7,10,Ｊダイレクトキャッチ, 76,四位洋, 0.6, 78,   7,   3, 9, 58.1, ⑦⑧
 8, 9,Ａヤマイチハジメ, 60,田嶋翔, 0.5, 49,  -4, -11, 9, 14.2, ⑨⑨, 8, 8, ビクトリｰレディｰ,,岩崎祐,199.0,,,, 8, 42.8,⑧⑧⑧, 8, 2,Ｄガリアｰノ, 76,松山弘, 0.7, 69,   3,   8, 5, 10.4,⑩⑫⑩, 8, 7,Ｈシゲルタック, 78,太宰啓, 0.6, 79,   5,   9,13,193.5, ⑭⑭
 9,11,Ｈランドタカラ, 52,浜中俊, 0.6, 49,  -4, -12, 2,  6.1, ⑩⑩, 9, 4, トｰコｰシゲル,,南井大,199.5,,,,13,118.5,⑩⑨⑨, 9, 8,Ｌワンダｰアサｰルト, 69,野元昭, 0.9, 69,   3,   7,14, 91.2,⑬⑭⑬, 9, 6,Ｋウィズディクタット, 75,浜中俊, 0.6, 76,* 13, -10,14,473.8, ①①
10, 2,Ｉエンジェルブレス, 51,小牧太, 0.7, 47,  -8,  -8, 3,  9.9, ⑫⑪,10,13, ユｰセイヤマトオｰ,,出津孝,200.1,,,,11,102.4,⑫⑪⑩,10,12,Ｃテｰオｰマグナム, 77,浜中俊, 1.0, 67,*  7,  -1, 7, 17.3,⑦③①,10,13,Ｃルｰルプロスパｰ, 84,和田竜, 0.6, 77,* 12,  -7, 6, 15.1, ③③
11,12,Ｄアキノフライ, 54,秋山真, 1.1, 46,*  2, -23, 8, 14.1, ②②,11,12, マｰベラスパレｰド,,菊地昇,201.5,,,, 5, 14.3,⑬⑬⑬,11, 9,Ｇトップオブオナｰ, 74,国分恭, 1.5, 66,   3,   0,12, 49.2,⑮⑬⑫,11, 9,Ｎトップクリフォｰド, 72,幸英明, 1.0, 73,   6,  -1, 8, 38.2, ⑫⑪
12,16,Ｂタガノムｰンダスト, 56,赤木高, 1.3, 42,  -7, -15,11, 31.2, ⑬⑫,12, 9, サフランチカラ,,北沢伸,202.6,,,,14,130.2,⑪⑫⑪,12,15,Ｎサンライズフェア, 67,池添謙, 1.6, 62,*  7,  -7,13, 66.9,①①②,12,12,Ｄノットアロｰン, 83,小牧太, 1.5, 68,   7,  -9, 5, 12.1, ⑩⑨
13,10,Ｃファンドリトレイン, 56,幸英明, 1.5, 43,*  2, -27, 4, 10.5, ①①,13,10, エｰシンビッグシｰ,,西谷誠,203.4,,,, 2,  6.4,⑥⑩⑫,13, 7,Ｍレッドファング, 67,福永祐, 1.7, 62,*  7,  -7, 9, 35.0,②②③,13,11,Ｇタイセイファイタｰ, 79,赤木高, 2.3, 58,* 13, -33,10,164.8, ②②
14, 7,Ｎメディカルランド, 35,川島信, 1.7, 38, -10, -13,16,341.8, ⑯⑯,,,,,,,,,,,,,14,14,Ｋアサケボｰイ, 70,植野貴, 2.3, 58,   4,  -7,15,473.1,⑨⑩⑭,14,14,Ｉエフティイカロス, 77,武幸四, 5.1, 40,   9, -65,12,188.5, ④⑬
15,15,Ｐアグネスルｰク, 34,藤田伸, 1.9, 38,  -4, -24, 5, 10.9, ⑦⑦,,,,,,,,,,,,,15, 4,Ｏナムラハｰン, 63,小牧太, 2.5, 56,   5, -12, 8, 21.9,⑥⑥⑪,,,,,,,,,,,,
16, 1,Ｍマルヨモミジスキｰ, 39,国分恭, 1.9, 39,  -5, -22,12, 68.9, ⑧⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
