09年 9月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛翼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈホｰプホｰマン, 38,飯田祐,, 52,* -6,  -5, 2,  3.7, ①①, 1, 6,Ａヤマニンオクタゴン, 67,柴田大,, 63,  -6,*  2, 1,  2.5, ⑤⑤, 1, 3,Ｈミサトフリｰト, 66,大庭和,, 78,  14,* -3, 7, 21.5, ⑧⑧, 1, 6,Ａマヤノロシュニ, 83,吉田隼,, 83,   9,*  7, 1,  3.1,   
 2, 5,Ｅカネサスタｰマイン, 47,石橋脩, 0.1, 53,* -6,  -4, 7, 20.5, ②②, 2,12,Ｆエリカシチｰ, 58,江田照, 0.0, 66, -11,* 10,13, 59.3, ⑮⑮, 2,16,Ｌコロンバスサｰクル, 63,中舘英, 0.1, 79,  11,* -1, 2,  3.3, ⑰⑯, 2, 7,Ｂアスタｰエンペラｰ, 73,中舘英, 0.2, 80,   9,*  5, 2,  3.2,   
 3, 8,Ｄチタニウムヘッド, 48,古川吉, 0.1, 52,  -8,  -3, 5, 11.5, ⑤⑤, 3, 9,Ｋマイティチアｰ, 51,黛弘人, 0.3, 59,  -6,  -2, 8, 27.3, ⑥⑥, 3,11,Ｂリバｰインバウンド, 70,西田雄, 0.3, 75,  15, -10, 4, 13.5, ⑥⑦, 3,12,Ｇラインディｰヴァ, 66,松田大, 0.3, 79,* 11,   2, 9, 22.4,   
 4, 6,Ｆチェルカトロｰバ, 47,荻野琢, 0.3, 50, -15,*  1, 6, 14.7, ⑨⑨, 4,13,Ｉスカｰレットシチｰ, 55,中舘英, 0.3, 60,* -5,  -3, 6, 17.0, ③③, 4,14,Ｐエアワルツ, 57,松田大, 0.5, 73,  11,* -6, 6, 18.2, ⑬⑬, 4, 8,Ｃキングオブザベスト, 71,丹内祐, 0.6, 70,   2,   3, 8, 18.7,   
 5, 3,Ｃメジロレイチェル, 51,武士沢, 0.6, 47,  -9,  -6, 1,  3.1, ⑥⑦, 5,15,Ｊオｰシャンハンタｰ, 53,上村洋, 0.3, 61,  -8,*  2,15,104.2, ⑩⑧, 5, 4,Ｎメジロアリス, 61,大野拓, 0.7, 71,  13, -11,15, 63.4, ⑩⑩, 5, 9,Ｄゴｰルデンリング, 70,黛弘人, 0.7, 71,   7,   0, 5, 16.4,   
 6, 9,Ｂグルｰヴィｰコマチ, 54,中舘英, 1.2, 42,  -7, -13, 4,  5.7, ③③, 6, 1,Ｌスｰパｰイｰグル, 50,津村明, 0.5, 58,  -8,   0, 7, 23.7, ⑨⑩, 6,13,Ａメジロフロｰラ, 71,古川吉, 0.7, 73,  10,  -7, 3,  7.5, ⑫⑮, 6, 1,Ｉケイエスバウアｰ, 64,上村洋, 0.7, 68,   2,   2,16,144.2,   
 7,10,Ｇゴブリンダンサｰ, 40,津村明, 1.3, 42, -10, -10, 8, 35.0, ⑧⑧, 7,14,Ｄベルウッドグラｰテ, 62,西田雄, 0.6, 56,  -6,  -4, 3,  6.6, ⑧⑦, 7, 8,Ｍカヤドｰモトヒメ, 62,上村洋, 0.7, 71,  11,  -9, 8, 22.5, ⑱⑰, 7,15,Ｏセレスマン, 59,津村明, 0.7, 69,   5,   0,12, 40.7,   
 8, 7,Ｋマルタカテンザン, 19,丹内祐, 1.3, 42,  -8, -13,10,178.8, ④④, 8, 5,Ｅコウワエクスプレス, 61,石橋脩, 0.7, 55,  -6,  -7, 5, 13.8, ④④, 8, 2,Ｋゴｰルドケｰ, 63,吉田隼, 0.8, 69,  14, -15, 5, 16.9, ⑨⑨, 8,17,Ｎコクトｰ, 59,田面木, 0.8, 71,* 10,  -5,13, 49.1,   
