09年10月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅショウリノホホエミ, 55,松山弘,, 64,*  1,* -1, 7, 19.4, ①①, 1, 3, スリｰラスカル,,熊沢重,,,,, 2,  4.6,④③②, 1, 5,Ｐサマｰウインド, 54,武豊  ,, 87,* 13,*  9, 1,  1.9, ①①, 1,12,Ａメイショウベルｰガ, 88,武豊  ,, 81,   6,* 14, 1,  2.4,⑪⑫⑫
 2,12,Ｂテイエムミュｰズ, 58,太宰啓, 1.0, 56,  -1,* -7, 2,  4.3, ⑥⑥, 2, 7, テイエムチｰタｰ,,出津孝,195.2,,,, 5, 10.9,②②①, 2,10,Ｅクレスコワンダｰ, 75,浜中俊, 0.1, 86,  10,* 11, 6, 13.2, ⑥⑥, 2, 3,Ｅザサンデｰフサイチ, 84,藤田伸, 0.2, 78,  10,  -2, 3,  6.7,④③③
 3, 6,Ａカルテブランシェ, 66,武豊  , 1.2, 55,*  0, -10, 1,  2.7, ②②, 3,10, マッキｰケインズ,,佐久間,195.6,,,, 3,  5.0,⑩⑥④, 3,15,Ｃドキャｰレ, 76,小牧太, 0.7, 82,* 13,   4, 2,  7.1, ②②, 3, 1,Ｃカネトシソレイユ, 84,小牧太, 0.2, 79,   8,   3, 5, 10.5,⑥⑥⑥
 4, 1,Ｆクラシックアｰト, 54,福永祐, 1.3, 53,  -2,  -9, 3,  6.1, ③③, 4, 4, カシノアマゾネス,,金折知,195.6,,,, 6, 13.0,①①③, 4, 6,Ｆライフストリｰム, 74,国分恭, 1.0, 79,  10,   3, 4, 10.8, ⑤⑤, 4,13,Ｇケンブリッジレｰザ, 83,川田将, 0.2, 79,   7,   4, 6, 11.2,⑧⑧⑧
 5, 5,Ｄスウィｰプイン, 55,小林慎, 1.9, 48,  -5, -11, 9, 63.5, ⑪⑩, 5, 1, メイショウカレン,,植野貴,196.1,,,, 4,  8.4,⑬⑪⑪, 5, 1,Ｌオシャベリコパ, 66,川田将, 1.2, 76,   9,   3,11, 60.3, ⑦⑦, 5,10,Ｆハギノプリンセス, 83,酒井学, 0.3, 76,   8,   1, 7, 21.5,⑦⑦⑦
 6, 2,Ｊキタサンメｰル, 47,野元昭, 2.0, 48,  -3, -13, 6, 12.6, ⑧⑦, 6, 6, スカイボｰイング,,岩崎祐,196.4,,,,11, 70.8,⑥⑦⑧, 6,14,Ａカプリｰス, 81,松山弘, 1.3, 74,   7,   4,14, 82.3, ⑩⑪, 6, 7,Ｋメイショウドンタク, 78,太宰啓, 0.3, 77,  10,  -2, 4,  8.7,⑤⑤⑤
 7,10,Ｈヒカリウイ, 52,田中克, 2.4, 46,  -3, -16, 8, 20.4, ⑩⑧, 7, 8, テンジンリュウセｰ,,浜野谷,196.5,,,, 8, 31.3,⑤⑤⑤, 7, 4,Ｈマサヤマト, 73,武幸四, 1.3, 76,   5,   7, 5, 11.8, ⑯⑯, 7, 4,Ｄデンコウミサイル, 84,浜中俊, 0.4, 78,   7,   4,13,116.0,⑨⑨⑩
 8, 3,Ｃメイプルリボｰン, 56,佐久間, 2.5, 45,  -2, -17,11,126.5, ⑦⑨, 8, 9, シｰスピアｰ,,白浜雄,196.5,,,, 1,  2.6,⑨⑩⑨, 8, 9,Ｋピュアマリｰン, 67,石橋守, 1.3, 77,   6,   6,13, 80.9, ⑮⑮, 8, 8,Ｊニュｰビギニング, 80,幸英明, 0.6, 76,   6,   3, 9, 37.3,⑫⑪⑨
 9, 9,Ｇマイネヴィント, 53,和田竜, 2.7, 43,  -1, -22, 4,  7.3, ⑤⑤, 9, 5, ワイズプロロｰグ,,北沢伸,196.6,,,,12,116.5,⑧⑧⑦, 9, 8,Ｍナショナルヒｰロｰ, 63,角田晃, 1.4, 76,  11,  -1, 8, 22.1, ③③, 9, 2,Ｂアメジストリング, 87,福永祐, 0.7, 75,   6,   1, 2,  4.8,⑩⑩⑪
10, 8,Ｉリズミカルステップ, 51,浜中俊, 3.7, 35,  -1, -30, 5,  7.7, ④④,10,13, カシノヨウスケ,,高野容,196.7,,,, 9, 39.7,⑦⑨⑩,10,11,Ｉグランプリチェリｰ, 72,福永祐, 1.8, 71,   9,  -2,10, 40.3, ⑧⑧,10, 5,Ｈマルカハンニバル, 82,角田晃, 0.7, 74,* 14, -19,10, 38.5,②②②
11, 7,Ｋグッドティアラ, 34,幸英明, 3.9, 32,  -4, -30,10, 99.9, ⑨⑪,11, 2, リリｰプレジャｰ,,高田潤,198.8,,,, 7, 17.5,⑫⑫⑫,11, 3,Ｊチュウワキング, 71,熊沢重, 1.8, 73,   8,   1,16,237.5, ⑭⑭,11, 6,Ｉエｰシンダｰドマン, 80,武幸四, 0.8, 76,   4,   6,11, 60.5,⑬⑬⑬
12,11,Ｌパｰプルナイト, 33,田村太, 4.3, 30,  -6, -29,12,250.1, ⑫⑫,12,12, レナプリンセス,,黒岩悠,199.5,,,,13,182.1,③④⑥,12, 2,Ｏタイガｰスラム, 62,幸英明, 1.9, 69,   7,   0,12, 62.9, ⑫⑫,12,11,Ｌマイネルキｰロフ, 74,和田竜, 1.0, 70,  10, -15, 8, 25.4,③④④
,,,,,,,,,,,,13,14, トウケイビクトリｰ,,今村康,204.3,,,,14,223.3,⑪⑬⑬,13,16,Ｎリバｰサルブロｰ, 63,太宰啓, 2.0, 70,  11,  -6,15,172.7, ④④,13, 9,Ｍマルイチクエスト, 71,石橋守, 1.2, 68,* 14, -28,12, 97.1,①①①
,,,,,,,,,,,,14,11, カシノブレイヴリ,,小坂忠,209.3,,,,10, 45.5,⑭⑭⑭,14,12,Ｂプライムパレス, 76,和田竜, 2.2, 67,   7,  -4, 7, 17.4, ⑪⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｇトップフリｰダム, 74,田中健, 3.2, 60,   7, -11, 9, 37.9, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｄエルメスグリｰン, 75,藤田伸, 3.4, 58,   8, -15, 3,  9.2, ⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-6),,,,,,,,,,,
"単勝:1,940円 複勝:04=320円 12=150円 06=120円 枠連:6,170円",,,,,,,,,,,,"単勝:460円 複勝:03=200円 07=280円 10=160円 枠連:1,580円",,,,,,,,,,,,単勝:190円 複勝:05=140円 10=310円 15=180円 枠連:920円,,,,,,,,,,,,単勝:240円 複勝:12=130円 03=230円 01=250円 枠連:710円,,,,,,,,,,,
"馬連:6,360円 ワイド:04-12=1,530円 04-06=620円 06-12=300円",,,,,,,,,,,,"馬連:2,860円 ワイド:03-07=890円 03-10=550円 07-10=890円",,,,,,,,,,,,"馬連:1,810円 ワイド:05-10=700円 05-15=330円 10-15=990円",,,,,,,,,,,,"馬連:990円 ワイド:03-12=430円 01-12=480円 01-03=1,120円",,,,,,,,,,,
"馬単:15,280円 3連複:5,010円 3連単:56,470円",,,,,,,,,,,,"馬単:4,800円 3連複:4,470円 3連単:27,990円",,,,,,,,,,,,"馬単:1,990円 3連複:2,530円 3連単:9,950円",,,,,,,,,,,,"馬単:1,630円 3連複:2,950円 3連単:11,000円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
