09年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａメイショウデジレ, 66,武豊  ,, 64,  -2,*  7, 2,  3.6,⑬⑧⑧, 1, 5,Ｅアｰリンダル, 61,横山典,, 67, -19,* 19, 1,  2.8,⑤⑥⑤, 1, 7,Ｄウインク, 72,北村宏,, 72,   2,* 10, 3,  5.9,③③②, 1, 4,Ａイブロン, 93,藤田伸,, 85,  -4,* 25,10, 28.2, ⑬⑬
 2,12,Ｌアイアムランボｰ, 51,吉田豊, 0.2, 61,*  1,  -1,10, 68.8,③③②, 2, 9,Ｆヒルトップシｰン, 60,吉田隼, 0.3, 64, -19,  13, 2,  3.4,⑩⑦⑥, 2,11,Ａノワｰルシチｰ, 79,吉田豊, 0.1, 71,*  6,   1, 4,  8.8,②①①, 2,14,Ｄスリｰアベニュｰ, 89,田中勝, 0.0, 85,  -6,* 27, 1,  4.2, ⑮⑭
 3, 7,Ｆブラストヘッド, 58,三浦皇, 0.5, 60,  -1,   0, 8, 33.8,⑦⑥⑥, 3, 3,Ｃワイルドトウショウ, 63,内田博, 0.3, 67, -21,* 17, 4,  8.6,⑧⑨⑨, 3, 8,Ｇフラッグラッシュ, 65,内田博, 0.3, 72,   1,*  9, 7, 34.5,⑥⑥⑦, 3,12,Ｈラインプレアｰ, 87,福永祐, 0.1, 86,   6,  15, 6, 10.9, ⑥⑥
 4, 8,Ｄクリｰバレン, 64,松岡正, 0.6, 59,  -2,   1, 5,  8.9,⑧⑦⑦, 4,13,Ｈトウショウパンサｰ, 57,大庭和, 0.5, 58,*-16,   4, 6, 13.1,①①①, 4, 4,Ｂピンクバンサｰ, 77,武豊  , 0.4, 71,   1,*  9, 1,  1.7,⑨⑧④, 4,10,Ｉアウトクラトｰル, 87,岩田康, 0.2, 84,   6,  15, 8, 18.7, ④④
 5, 5,Ｂミヤビタカラオｰ, 65,吉田隼, 0.8, 57,*  1,  -6, 1,  3.1,②②①, 5,14,Ａハイゲｰト, 64,北村宏, 0.5, 57,*-18,   7, 3,  6.4,⑥④③, 5,10,Ｃアドマイヤワｰルド, 76,田中勝, 0.5, 70,   1,   8, 2,  4.5,⑦⑦⑩, 5,11,Ｌカルナバリｰト, 85,内田博, 0.2, 84,   5,  15, 5, 10.5, ⑤⑤
 6,10,Ｃザクリエイション, 64,横山典, 0.8, 57,  -2,  -2, 4,  5.6,④⑤⑤, 6,12,Ｄヴィｰヴァマンボ, 62,後藤浩, 0.8, 62, -22,  13,10, 50.1,⑭⑫⑫, 6, 2,Ｅラブリｰコンサｰト, 69,岩田康, 1.2, 66,   1,   2, 5, 16.0,⑤⑤⑥, 6, 3,Ｇワｰルドハンタｰ, 88,四位洋, 0.3, 83,   2,  17, 7, 15.3, ⑪⑩
 7, 1,Ｇハバナシガｰ, 58,伊藤工, 1.0, 59,  -6,*  5, 7, 30.8,⑭⑫⑪, 7,11,Ｉキャンディロック, 52,勝浦正, 1.0, 53,*-18,   0,12,200.7,④③④, 7, 9,Ｈアイディリック, 63,武士沢, 1.3, 64,   2,  -1, 9,100.6,④④③, 7, 6,Ｐジョイフルハｰト, 80,北村宏, 0.4, 82,*  8,  11,13, 65.3, ②②
 8,11,Ｉジャンボマズル, 57,江田照, 1.3, 54,*  1, -11, 6, 24.0,⑩④③, 8, 7,Ｇウインヘリオス, 60,武豊  , 1.0, 51,*-18,  -1, 7, 16.9,②②②, 8, 5,Ｆマルタｰズストｰム, 67,伊藤工, 1.6, 65,  -3,   6, 6, 28.0,⑪⑪⑪, 8,13,Ｊランヘランバ, 86,吉田豊, 0.5, 81,   4,  14,14,139.1, ⑦⑧
