09年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葉牡丹賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃバイナリｰスタｰ, 62,吉田豊,, 68,*  6,*  4, 3,  4.7, ②②, 1,11, ユドロ,---,的場勇,, 59,* -3,* -1, 5, 20.9, ③③, 1, 7,Ｂグリフィンゲｰト, 82,田中勝,, 79,   3,* 17, 1,  2.5, ⑩⑨, 1, 4,Ｅミッションモｰド, 67,スミヨ,, 78,  -2,* 20, 4,  7.4,⑨⑥⑤
 2, 6,Ｄオクルス, 61,田中勝, 0.9, 60,*  8,  -6, 2,  3.9, ①①, 2, 7, シゲルキヨマサ,---,石橋脩, 0.0, 60,* -3,* -2, 1,  2.1, ②②, 2, 8,Ａプレンティラヴ, 83,木幡初, 0.3, 76,*  7,  11, 2,  4.3, ④④, 2, 2,Ｄヤングアットハｰト, 70,吉田隼, 0.0, 80,  -5,* 26, 6,  8.9,⑩⑩⑪
 3, 9,Ｂハタノディアナ, 65,伊藤工, 1.1, 57,  -3,   2, 6, 16.4, ⑤⑥, 3, 2, ダイキリｰ,---,三浦皇, 0.4, 55,  -6,  -3, 2,  3.9, ④④, 3,16,Ｃトｰホウカラブラン, 78,田辺裕, 0.5, 75,*  8,   8, 8, 26.8, ②②, 3,11,Ｃダイワアセット, 71,後藤浩, 0.1, 74,*  0,  10, 2,  3.6,②②②
 4,12,Ｅゴｰルインマｰク, 58,勝浦正, 1.3, 56,  -9,*  7, 4, 14.6, ⑫⑪, 4, 3, ザハブ,---,吉田稔, 0.7, 53, -11,* -1, 4,  9.5, ⑦⑤, 4, 5,Ｎコスモオｰ, 72,松岡正, 0.5, 74,   6,  10,13,119.9, ③③, 4,12,Ａスペｰスアｰク, 73,デムｰ, 0.3, 75,  -5,* 20, 5,  8.4,⑪⑪⑧
 5,13,Ｆマイネルリファイン, 58,松岡正, 1.4, 55,  -6,   3, 5, 15.4, ⑩⑩, 5, 5, バゴプリンス,---,スボリ, 1.0, 50,* -3, -11, 9, 79.1, ①①, 5, 1,Ｈチャｰムキャップ, 74,勝浦正, 0.5, 75,   4,  12,11, 90.6, ⑨⑥, 5, 6,Ｋイチブン, 57,松岡正, 0.5, 72,  -3,  11, 3,  6.5,⑤⑤⑥
 6,16,Ａディアビリｰヴ, 76,中舘英, 1.4, 56,*  5,  -7, 1,  2.0, ③③, 6, 9, アｰティカル,---,柴田善, 1.7, 44,  -8, -11, 3,  4.3, ⑥⑥, 6, 6,Ｋフェイクスタｰ, 74,後藤浩, 0.5, 74,*  8,   8, 3,  5.5, ①①, 6,13,Ｂアｰスガルド, 72,蛯名正, 0.5, 71,* -1,   9, 1,  3.6,④④③
 7, 4,Ｍタイセイロｰザ, 36,田辺裕, 1.6, 54,  -3,  -1,12,112.8, ⑧⑧, 7,12, ミリオンヨハネス,---,吉田隼, 2.0, 42,  -7, -15, 5, 20.9, ⑤⑦, 7, 2,Ｍコリコパット, 72,宮崎北, 0.6, 73,   2,* 14,10, 34.7, ⑬⑬, 7, 8,Ｊディアブラスト, 57,田中勝, 0.6, 72,  -4,  14, 7, 16.8,⑦⑨⑩
 8,11,Ｈギャンビット, 49,鷹野宏, 1.9, 51,  -2,  -6,11, 81.8, ⑦⑤, 8, 4, マイフェイヴァｰ,---,高山太, 2.0, 41, -20,  -4,12,170.3, ⑨⑨, 8, 4,Ｅアプロｰズヒｰロｰ, 78,鈴来直, 1.0, 70,  -2,* 14, 9, 33.3, ⑯⑯, 8, 5,Ｇロフティｰクリフ, 63,柴田善, 0.7, 68,  -3,   7, 8, 19.8,③③④
 9, 2,Ｏタマモキャンディ, 28,石橋脩, 2.0, 52,   2,  -9,13,226.3, ④④, 9, 6, セカンドチャｰタｰ,---,伊藤工, 2.2, 38, -12, -13, 7, 24.2, ⑧⑧, 9, 3,Ｄモアザンスマｰト, 78,三浦皇, 1.1, 69,   1,   9, 4,  9.9, ⑭⑭, 9, 1,Ｆマイネルマグレブ, 64,石橋脩, 0.7, 71,  -2,  10, 9, 29.3,⑥⑦⑨
10, 1,Ｇインタｰラｰケン, 49,北村宏, 2.0, 49, -13,*  4,10, 81.2, ⑭⑬,10, 8, イｰストダンデイ,---,鈴来直, 2.9, 32, -23,  -9,11,137.5, ⑩⑪,10,12,Ｌゴｰルドエンデバｰ, 73,二本柳, 1.2, 68,*  7,   3, 6, 17.0, ⑤⑤,10, 9,Ｈマイネノｰブレス, 63,三浦皇, 1.1, 66,  -2,   5,10, 43.2,⑧⑧⑦
11, 3,Ｌクロヒョウ, 37,デムｰ, 2.6, 45, -13,  -1, 8, 60.9, ⑬⑭,11,10, ダイワスコｰピオン,---,武士沢, 4.5, 18, -35, -11,10, 84.9, ⑫⑫,11,10,Ｇスマｰトエッジ, 75,石神深, 1.2, 69,   5,   5,16,218.7, ⑥⑦,11,10,Ｌトキメキジｰン, 53,北村宏, 1.4, 66,  -6,  11,12,235.8,⑫⑫⑫
