09年11月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥多摩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｈアポロパステル, 47,村田一,, 61,* -6,   4, 5, 19.6, ③②, 1, 8, ムｰンレスナイト,,五十嵐,,,,, 1,  2.4,①①①, 1, 3,Ｂダイワバｰバリアン, 69,蛯名正,, 75,  -4,  13, 1,  1.6, ③③, 1, 3,Ｋドラゴンファング, 79,藤田伸,, 88,* -8,  23, 2,  3.9, ①①
 2,11,Ａグラスサミット, 64,蛯名正, 0.0, 60,* -6,   4, 1,  1.7, ④③, 2, 2, ブルｰポラリス,,大庭和,205.4,,,, 9, 80.9,③③③, 2, 1,Ｅセイコｰライコウ, 65,柴田善, 0.0, 76,  -7,* 16, 2,  4.8, ④④, 2, 4,Ｍドリｰムスカイラブ, 78,石橋脩, 0.2, 87,*-11,  24, 3,  4.6, ③③
 3, 5,Ｃゴｰルインマｰク, 53,勝浦正, 0.3, 59, -14,* 12, 2,  5.5, ⑭⑬, 3, 6, トップモンジュｰ,,高田潤,205.4,,,, 3,  7.7,⑧⑧⑦, 3, 8,Ｃレインスティック, 68,伊藤工, 0.3, 72,  -7,  12, 3,  8.1, ⑤⑤, 3, 5,Ａマイネルエルフ, 89,松岡正, 0.4, 85, -15,  25, 1,  3.6, ⑦⑥
 4, 6,Ｌマスタｰルティア, 40,小林淳, 0.4, 59, -11,*  7, 9, 45.4, ⑩⑩, 4, 5, サニｰネイティブ,,高野和,205.7,,,, 6, 23.8,②②②, 4, 9,Ａカシマストロング, 69,クラス, 0.3, 73,  -9,* 16, 5, 11.4, ⑦⑦, 4,16,Ｂアロマキャンドル, 86,クラス, 0.4, 82,*-10,  19, 8, 44.2, ②②
 5,13,Ｊモンスティル, 46,クラス, 0.4, 57,  -7,   2, 6, 26.6, ②④, 5, 4, クンダリｰニ,,西谷誠,206.1,,,, 5, 16.0,⑤⑤④, 5,10,Ｄハｰドパワｰ, 66,勝浦正, 0.7, 64,* -2,   1, 4, 10.7, ①①, 5,11,Ｄテイエムアタック, 85,蛯名正, 0.4, 87, -16,* 28, 4,  5.2, ⑫⑪
 6,14,Ｄラッシュザワｰク, 52,藤田伸, 0.6, 55,* -5,  -2, 4, 10.0, ①①, 6,13, プラクシス,,宗像徹,207.1,,,, 4,  7.9,⑦⑥⑥, 6, 7,Ｈハシルヨミテテ, 41,江田照, 0.9, 64,  -8,   7, 6, 18.5, ⑥⑥, 6,10,Ｊスｰパｰワシントン, 80,高田潤, 0.6, 82, -12,  20, 9, 63.1, ④⑤
 7,10,Ｉトレノジャイアント, 47,北村宏, 1.5, 47,  -7,  -7, 8, 31.3, ⑧⑤, 7, 9, キングマジック,,浜野谷,207.4,,,,13,216.5,⑨⑨⑨, 7, 4,Ｆクラリン, 60,北村宏, 1.0, 65, -10,  10, 7, 45.7, ⑧⑧, 7, 8,Ｃフォｰチュンワｰド, 85,北村宏, 0.8, 79, -15,  21, 5,  9.8, ⑪⑩
 8, 3,Ｍカツヨプリンセス, 39,伊藤直, 1.8, 46, -11,  -5,14,239.5, ⑪⑪, 8, 3, シルクジャｰニｰ,,石神深,207.6,,,, 8, 51.7,⑩⑩⑩, 8, 6,Ｉゼフュロス, 41,石橋脩, 1.4, 62, -14,  10,10,293.9, ⑩⑩, 8, 2,Ｏグレイトフルタイム, 76,柴田善, 0.8, 81, -18,  25,14,107.5, ⑩⑫
 9, 9,Ｂキュルミナン, 60,松岡正, 2.0, 44, -10,  -9, 3,  7.2, ⑦⑦, 9,11, グラスハｰブ,,山本康,207.9,,,,10,150.9,⑥⑦⑧, 9, 2, モルフェグレイス,---,村田一, 1.6, 59, -11,   4, 9,213.4, ⑨⑨, 9,12,Ｈアドマイヤヘッド, 80,村田一, 0.8, 80, -13,  19, 6, 14.1, ⑧⑦
10, 8,Ｆマイハｰトスロブス, 47,武士沢, 2.1, 43,  -8, -10,11,109.8, ⑥⑥,10,12, エイワハヤブサ,,横山義,207.9,,,, 7, 27.7,④④⑤,10, 5,Ｇリネンパズル, 47,大庭和, 1.8, 50,* -3, -11, 8,138.6, ②②,10, 7,Ｑヒシハイグレｰド, 69,小林淳, 0.9, 82, -20,* 26,16,164.4, ⑬⑬
