09年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａマイネルカリバｰン, 51,和田竜,, 62,*  7,*-16, 1,  1.8, ②②, 1,13,Ｂクレバｰトウショウ, 68,川田将,, 66,*  9,  -9, 2,  3.3, ②②, 1,13,Ｄスカイノダン, 61,川田将,, 67,* -2,  -1, 1,  1.7, ②②, 1,10,Ｃナムラハンタｰ, 88,田中勝,, 90,  14,* 12, 2,  5.5,④⑤③
 2, 8,Ｄシャイン, 35,太宰啓, 0.7, 54,   6, -23, 2,  3.6, ③③, 2, 6,Ｌサウンドアクシス, 48,生野賢, 0.1, 64,   3,  -3, 4,  7.8, ⑦⑥, 2,14,Ａヴンダｰゾンネ, 62,幸英明, 0.1, 66,* -3,  -1, 2,  7.6, ③③, 2, 9,Ｂケアレスウィスパｰ, 88,金折知, 0.7, 86,  10,* 14, 6, 19.0,⑪⑪⑧
 3, 4,Ｇエｰシンテュポｰン, 31,福永祐, 0.8, 52,   5, -22, 3,  4.6, ⑤④, 3, 7,Ａトウショウデザイア, 68,中村将, 0.3, 63,   6,  -7, 5,  9.3, ⑤⑤, 3,12,Ｆマジカルレッド, 58,福永祐, 0.2, 65,  -5,*  1, 7, 17.7, ⑦⑤, 3, 3,Ｄハｰドシｰキング, 88,浜中俊, 1.0, 85,  10,* 12, 5,  8.8,⑩⑬⑪
 4, 7,Ｃフェブムｰビング, 42,幸英明, 1.3, 48,*  9, -33, 6, 22.9, ①①, 4, 5,Ｆカツヨグラッチェ, 56,浜中俊, 0.4, 63,*  7, -10, 8, 31.1, ④④, 4, 8,Ｂイナズマガイア, 62,中村将, 0.2, 66,  -8,*  4, 3, 11.0, ⑥⑦, 4, 6,Ｐタガノエスペランサ, 73,橋本美, 1.0, 84,  12,   8,15,187.9,⑦⑦⑤
 5, 6,Ｂゼットセブン, 47,川田将, 1.9, 39,   3, -35, 4, 14.2, ⑧⑤, 5,11,Ｃジョｰシンドバッド, 64,武豊  , 0.7, 58,   0,  -4, 1,  2.7, ⑩⑪, 5,15,Ｅキングコｰリンオｰ, 60,熊沢重, 0.5, 61,*  1,  -9, 4, 11.1, ①①, 5, 7,Ｇゼンノトレヴィ, 86,幸英明, 1.2, 79,* 17,  -5, 8, 26.4,①①①
 6, 1,Ｅベルエｰル, 34,小牧太, 1.9, 40,   5, -36, 5, 21.3, ④⑥, 6, 3,Ｇインテネブリス, 55,小牧太, 1.0, 56,   1,  -9, 6, 23.2, ⑨⑧, 6, 7,Ｈサイキョウアサカゼ, 56,浜中俊, 0.6, 61,  -7,  -1, 8, 17.8, ⑨⑨, 6, 8,Ｆエタｰナルスマイル, 86,伊藤直, 2.0, 77,   8,   6,10, 41.9,⑭⑮⑮
 7, 3,Ｆツルミヒカリ, 33,赤木高, 2.2, 36,   1, -35, 7, 84.6, ⑥⑦, 7,14,Ｄシゲルアソサン, 63,角田晃, 1.1, 57,*  7, -17, 3,  7.6, ③③, 7,10,Ｃシンゼンライク, 61,飯田祐, 0.6, 59,  -5,  -4, 5, 14.5, ④④, 7, 1,Ｏアグネスマクシマム, 74,渡辺薫, 2.1, 78,  10,   2, 7, 24.6,⑬⑫⑫
 8, 5,Ｈタハラタイシン, 29,金折知, 7.4,-30,  -1, ---, 8,128.9, ⑦⑧, 8, 2,Ｅメイショウヨシムネ, 58,渡辺薫, 1.2, 55,   0,  -8, 7, 27.5, ⑪⑨, 8,16,Ｉマイプレファランス, 54,藤岡康, 0.8, 57, -11,  -2, 6, 16.8, ⑪⑫, 8,13,Ｅアンダｰカウンタｰ, 86,赤木高, 2.3, 74,  12,  -3, 4,  6.3,⑨⑧⑥
