09年 1月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春望ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄミラクルフルｰツ, 55,吉田豊,, 60,  -3,* -1, 1,  2.8, ⑦⑦, 1, 2, プライドイズハｰト,,五十嵐,,,,, 7, 23.0,④③②, 1, 9,Ｇハクバドウジ, 67,赤木高,, 77,*  9,   1, 5, 11.8, ①①, 1, 8,Ｆヒシオフェンス, 84,後藤浩,, 88,*  9,  16, 1,  3.7, ②②
 2, 6,Ｏエルサフィｰル,-15,武士沢, 0.2, 59,*  1,  -7,14,177.6, ③③, 2,14, スプリングロック,,大庭和,213.3,,,,10, 65.4,⑬⑦⑥, 2, 6,Ｅハピネスフォｰユｰ, 69,田辺裕, 0.1, 74,*  7,   2, 3, 10.4, ②②, 2, 3,Ｎケイアイスイジン, 76,的場勇, 0.1, 89,   6,* 19,11, 66.6, ⑥⑥
 3,12,Ａクリアソウル, 58,内田博, 0.6, 55,  -5,* -2, 2,  4.0, ⑬⑫, 3, 8, ジョｰネンボｰ,,高野和,213.4,,,, 4, 10.9,①①①, 3, 1,Ｍスプリングルｰシｰ, 57,福永祐, 0.2, 75,   4,*  6, 8, 22.5, ⑥⑥, 3, 9,Ｂワンダｰポデリオ, 86,福永祐, 0.3, 88,   3,* 21, 2,  4.1, ⑪⑪
 4, 4, コパノファンタメ,---,宮崎北, 0.8, 52,  -4,  -6, 7, 14.5, ⑪⑧, 4, 4, サンベルナｰル,,佐藤聖,214.4,,,, 3, 10.6,⑦⑤④, 4,14,Ｆアルフェラッツ, 69,草野太, 0.4, 72,   4,   3,11, 44.1, ⑧⑤, 4,12,Ｊミスタｰモナルコス, 81,ペリエ, 0.6, 84,   5,  16, 6, 11.2, ⑨⑧
 5,14,Ｋカワキタラブポップ, 46,千葉直, 0.8, 50, -10,*  1,15,190.2, ⑮⑮, 5, 1, ビｰビｰライナｰ,,柴田未,216.3,,,,11, 78.5,⑥②③, 5, 2,Ｈコメンテｰタｰ, 66,柴山雄, 0.6, 72,   1,*  6,12, 66.9, ⑨⑨, 5, 7,Ｅタイキシルバｰ, 84,大庭和, 0.8, 82,   3,  16,10, 38.3, ⑫⑫
 6,16,Ｂリュウキュウサンバ, 56,田中勝, 0.9, 55,*  5, -19, 6, 13.7, ①①, 6,12, トウカイエｰル,,穂苅寿,216.5,,,, 1,  1.5,③④⑤, 6, 3,Ｂドゥｰエン, 74,ペリエ, 1.1, 67,  -1,*  5, 2,  4.0, ⑮⑭, 6,16,Ｋセレスケイ, 81,吉田豊, 0.9, 81,   7,  10,13, 83.5, ⑤⑤
 7,10,Ｈキストゥクラウン, 50,菊沢隆, 1.0, 52,  -5,  -7, 5, 11.3, ⑩⑬, 7, 7, ハシルペンチャン,,柴田大,216.8,,,,14,155.7,⑫⑪⑧, 7, 8,Ｃドリｰムシャドウ, 71,藤田伸, 1.2, 65,   0,   2, 1,  2.4, ⑫⑪, 7,14,Ｌシャインウェｰヴ, 80,藤田伸, 1.0, 81,*  9,   8, 8, 36.5, ③③
 8, 5,Ｊオペラシュｰズ, 47,松岡正, 1.1, 52,  -4,  -8,10, 33.8, ⑫⑨, 8,11, サインオブゴッド,,宗像徹,217.4,,,, 6, 18.7,⑧⑩⑨, 8,11,Ｄシャフツレディ, 70,丸田恭, 1.5, 63,   4,  -7, 4, 11.2, ④④, 8, 4,Ｈサンマルセイコｰ, 82,大野拓, 1.0, 82,   4,  14,14, 99.3, ⑩⑨
 9, 3,Ｅメジロフェｰム, 51,丸田恭, 1.3, 50,  -1, -15, 4,  8.2, ④④, 9, 5, イｰルドハｰド,,浜野谷,217.6,,,,12, 95.4,⑭⑨⑦, 9, 5,Ｋベルモントバレット, 63,横山義, 1.8, 62,  -1,   0,15,198.0, ⑬⑬, 9,13,Ｄギシアラバストロ, 85,内田博, 1.2, 79,   7,   9, 5,  9.4, ④④
10,11,Ｆウッディｰムｰン, 51,後藤浩, 1.4, 49,  -1, -16, 8, 24.1, ⑥⑥,10, 3, レオレクサス,,水出大,217.8,,,, 8, 47.3,⑨⑫⑪,10,15,Ａロッソトウショウ, 77,岩田康, 2.7, 52,  -4,  -6, 6, 12.2, ⑭⑮,10, 2,Ｉタガノシャンハイ, 81,小野次, 1.4, 78,  -1,  16,12, 70.5, ⑮⑮
11, 7,Ｃハツノボリ, 55,藤田伸, 1.8, 46,  -1, -19, 3,  7.7, ⑤⑤,11,10, アイファｰタｰボｰ,,山本康,223.7,,,,13,134.1,⑩⑬⑫,11,12, フロｰラルシｰズン,---,中舘英, 3.0, 53,   3, -16,13, 79.7, ⑤⑧,11,15,Ｃアドマイヤゴルゴ, 86,岩田康, 1.5, 77,   1,  13, 4,  7.0, ⑭⑬
12, 9,Ｎトシテンマ, -6,西田雄, 2.2, 42,  -5, -18,16,238.7, ⑧⑪,12, 6, ダイワアンリ,,金子光,225.0,,,, 9, 51.2,⑤⑧⑩,12,10,Ｉキスアンドクライ, 66,内田博, 3.0, 52,*  7, -23, 7, 18.0, ③③,12,10,Ｇラインストｰム, 83,津村明, 2.2, 71,   5,   2, 7, 28.8, ⑧⑦
