09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 4, フジノボｰガン,---,川島信, 1.7, 39, -28,*  2,13,159.1, ⑮⑮,12,15,Ｌシルクエステｰト, 69,秋山真, 1.2, 70,   6,  -5,15,107.6,⑪⑬⑪,12,10,Ｇデンコウミサイル, 80,武幸四, 2.4, 66,   9, -23,11, 82.3,⑩⑫⑫
,,,,,,,,,,,,13, 8, ホワイトミｰナ,---,ルメｰ, 1.8, 36,* -6, -21, 6, 16.6, ③③,13, 3,Ｅエメラルドミスト, 72,川島信, 1.4, 66,   5,  -5,12, 40.0,⑰⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,14, 7, クリノタッチンハネ,---,北村浩, 2.0, 36,  -7, -21,15,349.2, ⑥⑥,14, 6,Ｄダディｰズウォｰズ, 74,川田将, 1.7, 65,   6, -12, 2,  4.6,⑯⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,15,11, マルサンチャンス,---,田中健, 2.1, 36, -10, -20,14,166.9, ⑦⑩,15,16,Ｈハマノエルマｰ, 72,熊沢重, 1.9, 60,   5, -13, 8, 18.8,⑮⑰⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｆスズカマグナム, 72,武豊  , 2.0, 59,   7, -21, 7, 15.8,⑬⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｇダｰクジャケット, 72,浜中俊, 3.0, 52,   9, -40,10, 34.8,⑥⑦⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:2),,,,,,,,,,,
単勝:110円 複勝:06=100円 09=170円 07=610円 枠連:150円,,,,,,,,,,,,"単勝:290円 複勝:02=170円 05=340円 12=1,970円 枠連:1,840円",,,,,,,,,,,,"単勝:300円 複勝:04=150円 13=760円 02=2,710円 枠連:1,850円",,,,,,,,,,,,"単勝:820円 複勝:02=320円 06=310円 03=1,050円 枠連:3,150円",,,,,,,,,,,
"馬連:320円 ワイド:06-09=190円 06-07=610円 07-09=2,080円",,,,,,,,,,,,"馬連:1,760円 ワイド:02-05=700円 02-12=4,920円 05-12=10,340円",,,,,,,,,,,,"馬連:4,490円 ワイド:04-13=1,390円 02-04=7,070円 02-13=28,860円",,,,,,,,,,,,"馬連:3,430円 ワイド:02-06=1,070円 02-03=4,340円 03-06=4,500円",,,,,,,,,,,
"馬単:370円 3連複:2,610円 3連単:5,230円",,,,,,,,,,,,"馬単:2,840円 3連複:58,290円 3連単:294,510円",,,,,,,,,,,,"馬単:7,080円 3連複:182,180円 3連単:527,160円",,,,,,,,,,,,"馬単:6,870円 3連複:48,680円 3連単:222,570円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,京都ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｱﾝﾄﾞﾛﾒﾀﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂエｰシンヴァｰゴウ, 58,ルメｰ,, 60,* -2, -10, 3,  4.6, ②②, 1,10, リｰプオブフェイス,---,松山弘,, 49, -17,*  1, 3,  6.1, ⑪⑪, 1, 2, エｰシンディｰエス,,横山義,,,,, 6, 10.7,⑥②①, 1, 4,Ａナムラクレセント, 96,小牧太,, 89,  10,* 13, 1,  2.7,⑫⑪⑩
 2, 3,Ｄペガサスヒルズ, 57,安藤勝, 0.0, 59,  -4,* -7, 1,  2.6, ④④, 2,11, マザｰウェル,---,秋山真, 0.3, 44,*-10, -15, 5,  9.1, ③②, 2, 4, テイエムトッパズレ,,佐久間,212.9,,,, 2,  3.8,①①②, 2, 6,Ｍトｰセンジョｰダン, 79,スミヨ, 0.2, 86,  10,*  9, 2,  4.6,⑧⑩⑦
 3,12,Ａテイエムミュｰズ, 60,和田竜, 0.1, 58,* -3, -10, 4,  5.0, ③③, 3, 1, ウインブシドウ,---,ルメｰ, 0.3, 44, -12, -12, 1,  2.3, ④⑤, 3,13, トｰワベガ,,北沢伸,212.9,,,, 4,  7.9,⑧⑥⑤, 3, 8,Ｂゴｰルデンダリア, 90,武豊  , 0.5, 83,  10,   6, 4,  8.2,⑪⑬⑫
 4,11,Ｃセレスワンラヴ, 57,川島信, 0.5, 50,  -9,* -8, 2,  4.5, ⑩⑧, 4, 6, スマｰトグリッド,---,和田竜, 0.4, 45, -20,* -1,11,113.4, ⑫⑫, 4, 6, ドングラシアス,,熊沢重,213.1,,,, 9, 23.9,②③③, 4, 1,Ｏゴｰルデンメイン, 77,幸英明, 0.5, 83,* 13,   0,12, 49.8,⑤④④
 5, 4,Ｇシゲルタカウジ, 46,飯田祐, 0.5, 50,  -9,* -8, 8, 60.7, ⑧⑨, 5, 5, クォｰタｰデッキ,---,スミヨ, 0.6, 40, -13, -15, 7, 33.6, ⑥⑥, 5,12, ビコｰフェザｰ,,白浜雄,213.3,,,, 3,  5.8,⑩⑩⑩, 5,14,Ｊバトルバニヤン, 83,角田晃, 0.6, 84,  10,   5,10, 38.9,⑦⑫⑪
 6, 7,Ｅサダムシンプウ, 51,岩田康, 0.6, 52,*  0, -19, 5,  9.6, ①①, 6, 4, サｰベルダンス,---,浜中俊, 0.6, 43, -14, -12, 6, 12.3, ⑧⑧, 6,11, トロピカルクイｰン,,今村康,213.4,,,, 8, 23.4,⑦⑦⑦, 6, 2,Ｇマイネレｰツェル, 85,川田将, 0.7, 85,   7,* 12, 7, 24.2,⑯⑰⑯
 7, 6,Ｊホンマキセキ, 40,金折知, 0.8, 48,  -6, -17,10,145.0, ⑤⑥, 7, 2, プランテｰション,---,藤岡佑, 0.6, 41, -14, -12, 9, 60.3, ⑩⑩, 7, 1, エイシンボストン,,西谷誠,213.5,,,, 1,  3.7,④④④, 7,12,Ｅニルヴァｰナ, 86,熊沢重, 0.8, 78,* 13,  -5,11, 44.7,③③②
 8, 2,Ｈリッカタキシｰド, 46,小牧太, 1.0, 44, -13, -11, 9, 89.2, ⑫⑫, 8, 3, メイケイソフィア,---,幸英明, 0.8, 38, -13, -18,10, 70.7, ⑤⑦, 8, 3, バトルブレｰヴ,,菊地昇,213.9,,,, 7, 15.7,⑤⑨⑨, 8, 3,Ｉインティライミ, 83,ルメｰ, 0.9, 81,   9,   5, 5,  9.1,⑭⑯⑮
 9, 5,Ｆグッドブライダル, 47,福永祐, 1.0, 45, -12, -12, 6, 24.2, ⑪⑪, 9, 7, ビップレジェンド,---,小牧太, 0.9, 37,*-10, -25,12,145.2, ①①, 9, 5, スリｰラスカル,,岩崎祐,214.4,,,,10, 52.5,③⑤⑥, 9,11,Ｆレジネッタ, 86,岩田康, 0.9, 80,   9,   5, 6, 17.0,⑬⑮⑭
10,10,Ｋマチカネベンセイ, 34,酒井学, 1.4, 39,  -8, -22,12,294.9, ⑦⑦,10, 8, ノルマンディｰ,---,福永祐, 1.1, 35, -12, -24, 4,  7.9, ⑦④,10, 9, ロングアキレス,,林満明,214.5,,,,12, 99.0,⑪⑪⑪,10, 7,Ｃキャプテンベガ, 87,安藤勝, 1.0, 79,* 13,  -6, 3,  6.1,⑮⑥⑥
11,13,Ｉテイエムアコガレ, 45,小林徹, 1.6, 39,  -4, -28,13,316.8, ⑥⑤,11, 9, オｰスミアザレア,---,武豊  , 1.3, 31,*-10, -29, 2,  4.2, ②③,11,14, ワンダｰシンゲキ,,植野貴,215.0,,,, 5,  7.9,⑨⑧⑧,11,13,Ｌドリｰムフライト, 79,酒井学, 1.1, 75,* 14, -13,15,114.0,②①①
12, 1,Ｌグランプリオｰジｰ, 29,藤岡佑, 2.3, 29, -14, -28, 7, 24.5, ⑬⑬,12,12, フミノヤマビコ,---,武幸四, 1.3, 35, -15, -22, 8, 48.1, ⑨⑨,12, 8, ハストラング,,仲田雅,217.7,,,,14,139.1,⑬⑫⑫,12, 9,Ｈダイワワイルドボア, 85,藤岡佑, 1.3, 74,  10,  -7,14, 78.8,⑨⑧⑨
13, 9,Ｍナムラエンドレス, 24,上野翔, 2.9, 23, -11, -39,11,214.1, ⑨⑩,,,,,,,,,,,,,13,10, テイエムヤマトオｰ,,出津孝,221.1,,,,13,119.0,⑫⑬⑬,13,10,Ｑナイアガラ, 68,浜中俊, 1.5, 73,* 13, -15,13, 65.5,①②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,17,Ｋフィｰルドベアｰ, 82,秋山真, 1.5, 73,  12, -11, 8, 31.1,⑰⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｄダブルティンパニｰ, 86,福永祐, 1.7, 70,* 13, -18, 9, 34.6,⑥⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｐレッドアゲｰト, 75,四位洋, 2.3, 66,  12, -22,16,169.8,④⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｎゴｰウィズウィンド, 77,田中健, 3.6, 55,   7, -33,17,348.1,⑩⑭⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:2),,,,,,,,,,,
