09年12月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年12月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009ｺﾞｰﾙﾃﾞﾝ ｻﾄﾞﾙ ﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆアドマイヤプレミア, 55,岩田康,, 63,   6,* -9, 5, 15.0,⑤⑤⑥, 1, 9, ホウライブライアン,,熊沢重,,,,, 3,  5.0,⑥⑤③, 1,17,Ｂメイショウジンム, 76,マラｰ,, 77,*  5,   9, 3,  7.8, ⑦⑤, 1, 8,Ｂオセアニアボス, 79,ボレル,, 85,  -3,* 21, 1,  1.9, ⑥⑥
 2,16,Ｃナリタシルクロｰド, 62,熊沢重, 0.1, 61,*  6, -13, 2,  5.8,⑦⑥③, 2, 4, テイエムチｰタｰ,,出津孝,199.0,,,, 2,  3.9,③①①, 2,15,Ａリアルプリンス, 77,岩田康, 0.0, 74,*  4,   7, 1,  2.8, ③②, 2,13,Ｊケンブリッジエル, 74,横山典, 0.3, 81,  -6,  20, 6, 26.8, ⑨⑩
 3, 9,Ｄジンダリｰ, 60,内田博, 0.2, 60,   5, -13, 3, 10.5,⑫⑨⑤, 3, 8, スプリングカエサル,,白浜雄,199.1,,,,11,144.2,⑤②②, 3, 6,Ｉロｰズバンク, 66,安藤勝, 0.1, 77,   2,* 13, 5, 11.4, ⑫⑩, 3, 3,Ｏニホンピロキリバス, 64,武豊  , 0.3, 80,*  1,  13,12, 52.6, ①①
 4,11,Ｂグッドカレラ, 62,福永祐, 0.3, 58,   4,*-12, 4, 10.5,⑨⑧⑧, 4, 5, カシノヨウスケ,,高野容,199.2,,,, 8, 57.9,⑦④④, 4, 7,Ｐアコニットライアン, 57,的場文, 0.2, 75,   2,* 12,12, 39.0, ⑪⑪, 4, 6,Ｌロックオブサリサ, 72,ホワイ, 0.3, 80,*  0,  14, 9, 38.1, ②②
 5, 6,Ｇタガノキャプテン, 54,和田竜, 0.3, 58,   5, -14, 7, 26.7,④④④, 5,12, マンノダイヤモンド,,中村将,199.2,,,, 5, 19.0,⑪⑥⑥, 5, 8,Ｊサクラシャイニｰ, 65,小牧太, 0.3, 74,   2,* 10,11, 38.1, ⑥⑨, 5, 4,Ｆマイネルクラッチ, 76,キネｰ, 0.3, 81,* -2,  16, 4,  7.4, ③④
 6, 5,Ｊミゲｰル, 50,荻野琢, 0.3, 62,   2,* -8,13,134.3,⑮⑫⑫, 6,13, テイエムダイアナ,,高井彰,199.3,,,,13,207.9,②③⑤, 6, 5,Ｆクリｰルトルネｰド, 70,武豊  , 0.3, 73,   0,* 12, 4,  9.0, ⑨⑫, 6,14,Ｄアドマイヤダｰリン, 78,ムｰア, 0.4, 83, -11,* 26,13,111.1, ⑮⑭
 7,14,Ｎエリモレインボｰ, 43,石橋守, 1.0, 57,   4, -17, 9, 73.1,⑯⑬⑦, 7, 3, ワイズプロロｰグ,,大江原,200.4,,,, 7, 41.7,⑧⑦⑦, 7,11,Ｇプリティダンス, 69,福永祐, 0.5, 72,   3,   4,14, 43.0, ⑧⑦, 7, 1,Ｇヴェリタス, 76,ウィリ, 0.5, 79,  -4,  16, 2,  6.6, ⑤⑦
 8, 8,Ａシルクタｰンベリｰ, 65,松田大, 1.0, 56,*  6, -21, 1,  1.6,③③②, 8, 2, マｰベラスパレｰド,,岩崎祐,200.9,,,, 9, 64.7,⑨⑧⑧, 8, 3,Ｏロングキャロル, 59,大下智, 0.6, 71,   0,   9,17,322.8, ⑭⑬, 8,10,Ｃティムガッド, 79,藤田伸, 0.5, 77,* -2,  12, 5, 14.3, ④③
