09年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なずな賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアンロｰランサン, 75,赤木高,, 59,*  4,  -7, 1,  1.2, ③③, 1,11,Ｉルナレｰヴェ, 49,鮫島良,, 61,* -6,  -3, 4,  5.9,④④③, 1,10,Ｃトｰセンマンボ, 78,西田雄,, 81,* 12,*  7, 2,  5.2,②②①, 1, 1,Ａアンジュアイル, 72,的場勇,, 67,  -3,*  5, 3,  7.8, ⑮⑬
 2,12,Ｂキタサンハナミチ, 66,宮崎北, 0.0, 57,   1,* -5, 2, 12.4, ⑥⑥, 2, 4,Ｆエリモアクアポリス, 52,的場勇, 0.0, 57,  -8,* -2, 1,  3.3,⑦⑤⑤, 2, 2,Ｂホワイトショウフク, 82,宮崎北, 0.0, 80,* 12,*  8, 3,  5.8,⑨③②, 2, 4,Ｃスパラｰト, 67,宮崎北, 0.2, 71,   6,  -4, 2,  5.3, ⑤⑤
 3, 5,Ｆラッキｰパズル, 52,荻野琢, 0.5, 51,  -8,* -3, 9, 47.8, ⑫⑩, 3,10,Ａロイヤルクリッパｰ, 65,北村友, 0.0, 58,* -5,  -6, 2,  3.6,①②②, 3, 7,Ｆメイショウトンボ, 70,的場勇, 0.8, 77,   6,* 12, 5, 23.2,⑪⑨⑧, 3,13,Ｆケンブリッジエル, 62,武英智, 0.2, 71,*  7,  -6, 5,  9.0, ③③
 4, 3,Ｊオモイノママニ, 48,安部幸, 0.5, 57,*  6, -12,14,175.9, ②②, 4,13,Ｂミルリュユッテ, 57,長谷川, 0.0, 58,* -5,  -7, 7, 15.4,②①①, 4, 6,Ｄコスモビｰスト, 75,丹内祐, 0.9, 76,  10,   4, 4, 13.8,⑧⑤④, 4, 6,Ｇシルクブリッツ, 62,野元昭, 0.4, 66,   2,* -3, 4,  7.8, ⑩⑧
 5, 1,Ｄテイエムフラメンコ, 54,中舘英, 0.5, 53,   1, -10, 6, 32.5, ④④, 5,16,Ｇミヤビオウカ, 50,丸田恭, 0.2, 58, -11,*  1, 6, 12.2,⑮⑬⑪, 5, 5,Ｇマイネルアルセｰヌ, 68,津村明, 1.6, 70,   9,   1, 6, 29.6,⑤⑥⑥, 5, 7,Ｅフライトマイル, 63,西田雄, 0.7, 62,   3,  -9,11, 57.7, ⑧⑥
 6,11,Ｈハギノハニｰ, 50,鮫島良, 0.6, 51,  -4,  -6, 4, 14.7, ⑧⑦, 6,12,Ｃコスモプリズム, 56,田中博, 0.3, 58,  -9,  -3, 3,  5.4,⑫⑪⑩, 6, 9,Ｅシルクデュｰク, 72,田島裕, 1.7, 70,  10,  -3, 7, 29.6,③④⑤, 6,15,Ｂカネコメリッチ, 70,芹沢純, 0.7, 63,   5, -11, 6, 10.4, ⑦⑦
 7, 2,Ｉクインビスティｰ, 50,的場勇, 0.7, 55,*  6, -14, 3, 14.6, ①①, 7, 6,Ｌメイショウサンドラ, 41,飯田祐, 0.5, 55,  -9,  -5,10,102.0,⑨⑨⑨, 7, 8,Ｈサミｰデザｰト, 65,芹沢純, 2.2, 68,   5,   2,10,286.2,⑫⑩⑩, 7, 9,Ｄキュｰバンエイト, 66,北村友, 0.7, 64,*  7, -12, 1,  2.9, ④④
 8, 8,Ｅサダムヨカモン, 54,千葉直, 0.8, 47,  -2, -11, 8, 36.5, ⑦⑧, 8, 5,Ｅスカｰレットシチｰ, 54,安部幸, 0.5, 57, -11,* -1, 5, 11.7,⑪⑫⑫, 8, 1,Ａカラメルマキアｰト, 83,中舘英, 2.9, 60,* 12, -17, 1,  1.5,①①③, 8, 8,Ｊエフテｰダｰジｰ, 58,田辺裕, 1.1, 56,   1, -13,14,166.6, ⑪⑭
