09年11月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇナムラタイフｰン, 45,古川吉,, 59,  -7,*  6, 9, 35.8, ⑪⑧, 1,15,Ｅリオ, 69,的場勇,, 71,* 13,   0, 5, 10.1,①①①, 1, 2,Ｃシｰダｰラック, 74,的場勇,, 77,* 11,*  3, 3,  4.4,⑨④③, 1, 9,Ｄディアマジェスティ, 75,柴原央,, 76,   3,* 14, 3,  4.7,⑨⑧⑥
 2, 9,Ｏケイツｰノｰス, 19,草野太, 0.3, 54,  -7,*  1,15,149.7, ⑩⑪, 2,14,Ｄハエヌキ, 72,吉田隼, 0.8, 65,* 12,  -6, 1,  3.4,②②②, 2,14,Ｂスリｰサンカリスマ, 75,荻野琢, 0.1, 78,  10,*  5, 4,  7.6,⑧⑥④, 2, 8,Ａロｰレルレガリス, 79,中舘英, 0.2, 73,*  6,   9, 1,  2.0,①①①
 3,14,Ｂハｰトフルボディ, 56,中舘英, 0.7, 54,*  4, -14, 2,  3.5, ②②, 3,12,Ｌメイショウフェｰヴ, 59,村田一, 0.8, 69,   4,*  8,11, 72.1,⑪⑪⑨, 3, 1,Ａベルモントサｰガ, 76,芹沢純, 0.7, 73,* 11,  -2, 1,  3.4,③⑤⑤, 3, 2,Ｂブラッシュアップ, 77,橋本美, 0.2, 76,   4,  11, 2,  4.3,⑤⑤⑤
 4,10,Ａプリンシプルレディ, 56,宮崎北, 0.8, 49,  -3,  -9, 1,  3.1, ⑦④, 4,13,Ａエビスハルカ, 75,西田雄, 0.9, 66,   5,   3, 3,  7.3,⑦⑥⑥, 4, 5,Ｌアルウェット, 60,村田一, 1.4, 71,   8,*  2, 8, 26.0,⑭⑬⑨, 4, 5,Ｇジェネラルノブレス, 72,吉田隼, 0.3, 73,*  5,   9, 4,  6.2,③④④
 5, 5,Ｅマイネキラ, 50,丹内祐, 1.0, 46,  -5,  -9, 4,  6.2, ⑧⑨, 5,10,Ｃチャｰミングシチｰ, 73,太宰啓, 1.3, 65,   3,*  7, 7, 10.6,⑭⑭⑫, 5, 7,Ｆスルｰジエアｰ, 68,上村洋, 2.2, 65,* 11, -16, 7, 20.1,⑥③②, 5, 1,Ｃヘリオスシチｰ, 75,長谷川, 1.0, 70,   4,   5, 5, 14.3,⑥⑦⑦
 6, 7,Ｆオモイデサクラ, 46,大野拓, 1.0, 46,  -6,  -9, 5, 14.7, ⑨⑦, 6, 5,Ｏメイショウカガリビ, 55,古川吉, 1.6, 62,   5,   0, 8, 15.4,⑫⑩⑧, 6,11,Ｋタマモウィナｰ, 63,中舘英, 2.5, 64,* 12, -19, 6, 14.7,②②①, 6, 3,Ｆセクシｰザムライ, 73,大野拓, 1.4, 64,   2,   4, 7, 46.7,⑩⑩⑨
 7, 6,Ｄモンスティル, 50,的場勇, 1.1, 44,  -3, -13, 8, 28.7, ⑥⑩, 7,11,Ｉヤマニンノベリスト, 63,大野拓, 1.7, 60,   6,  -3,14,165.4,⑥⑦⑦, 7,13,Ｈトウショウライド, 63,武士沢, 2.6, 62,   9, -12,11, 53.0,⑪⑧⑦, 7,10,Ｅクオン, 73,芹沢純, 1.5, 62,*  5,  -2, 9,121.8,④③③
 8,11,Ｉアビｰロｰド, 35,二本柳, 1.2, 43,  -9,  -7,11, 53.6, ⑫⑬, 8, 8,Ｊセイカドルチェ, 60,木幡初, 1.8, 58,   8,  -9,10, 39.6,③③③, 8, 8,Ｇネイチャｰトレイル, 66,小野寺, 3.3, 60,   7, -12,12, 69.4,⑮⑭⑬, 8, 6,Ｉフレイムプリｰスト, 62,スボリ, 2.3, 57,*  5,  -9, 6, 28.8,②②②
 9,13,Ｋグリッタラｰティ, 31,木幡初, 1.3, 41, -16,* -2, 7, 22.8, ⑭⑭, 9, 9,Ｂクリノソｰニャ, 75,荻野琢, 1.9, 60,   8,  -8, 2,  4.1,④④④, 9,10,Ｅスマｰトソロモン, 69,宮崎北, 3.4, 59,   8, -14,10, 51.5,⑫⑪⑫, 9, 4,Ｊクレセントシップ, 53,西田雄, 2.9, 56,   2,  -8,10,296.1,⑧⑨⑩
10, 1,Ｃポケットキャンディ, 51,上村洋, 1.4, 44,*  3, -22, 3,  5.7, ③③,10, 7,Ｎタケデンスキップ, 56,伊藤直, 2.1, 59,   4,  -3,15,222.1,⑨⑫⑭,10, 3,Ｄミヤビタカラオｰ, 70,木幡初, 3.6, 57,   9, -23, 2,  4.0,⑦⑦⑧,10, 7,Ｈゴｰルデンラダｰ, 71,古川吉, 3.7, 50,*  5, -19, 8,114.3,⑦⑥⑧
