09年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,くすのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃホッコｰセルベッサ, 63,飯田祐,, 66,  -3,*  8, 2,  7.3,⑭⑬⑨, 1, 6,Ａエイシンイッテン, 78,藤岡康,, 69,*  4,* 10, 1,  2.0, ①①, 1, 4,Ｅシャウトライン, 68,浜中俊,, 76,*  0,   7, 1,  3.1, ①①, 1, 1,Ｂシルクメビウス, 77,田中博,, 75,   5,* 11, 1,  2.4,⑧⑦④
 2,16,Ｆミルフィアタッチ, 57,酒井学, 0.5, 60,   0,* -1,10, 53.5,⑩⑧⑦, 2, 9,Ｂルｰジュアルダン, 74,宮崎北, 0.6, 61,  -2,   8, 4,  8.8, ④③, 2, 7,Ｉデュヌラルテ, 65,二本柳, 0.5, 69, -10,* 12, 6, 12.9, ⑩⑨, 2, 6,Ｋファミッリア, 61,中舘英, 0.9, 66,*  6,   0, 7, 21.3,①①①
 3,13,Ｅマルブツハッピｰ, 61,中舘英, 0.5, 59,*  2,  -6, 3,  7.6,①①①, 3, 8,Ｄカウンセラｰ, 70,石橋守, 0.8, 63,   1,   6, 2,  5.6, ③④, 3,10,Ｂキングオブロマネ, 71,田辺裕, 0.7, 66,  -7,   5, 9, 34.6, ⑦③, 3,13,Ｆナリタカｰビン, 67,藤岡康, 1.0, 65,   4,   2, 4,  8.0,⑤⑤⑤
 4, 1,Ｍメイショウブロｰロ, 43,田嶋翔, 0.7, 59,  -2,*  0, 9, 38.7,⑧⑨⑧, 4,14,Ｅシュウボンバｰ, 68,田中健, 0.8, 60,  -2,   6, 3,  5.9, ⑥⑤, 4,15,Ｄテラノチェリｰ, 69,田中健, 0.8, 65,  -4,   1, 5,  9.7, ⑥④, 4,16,Ｄワｰルドワイド, 72,赤木高, 1.1, 64,   5,   2, 5, 14.5,⑩⑧⑥
 5,12,Ｄマｰブルアロｰ, 62,安藤光, 1.2, 53,  -1,  -7, 6, 19.7,⑦⑦⑥, 5, 4,Ｇガオウ, 66,西田雄, 0.9, 59,  -5,   9, 6, 14.0, ⑦⑦, 5,13,Ｌメイプルスペシャル, 61,宮崎北, 0.9, 63,* -1,  -3,13, 90.9, ③②, 5, 7,Ｉロｰドロックスタｰ, 66,浜中俊, 1.1, 66,*  5,   0, 3,  5.0,④④②
 6, 3,Ａマッキｰガリウム, 70,橋本美, 1.5, 52,*  1, -14, 1,  1.7,②②③, 6, 3,Ｋビッグロｰズ, 59,古川吉, 1.2, 59,  -8,   8,12,174.6, ⑨⑧, 6, 3,Ａセンザイイチグウ, 73,丸田恭, 1.0, 61, -12,   6, 3,  6.2, ⑪⑩, 5, 9,Ｅカｰル, 68,菊沢隆, 1.1, 67,   3,   3, 6, 21.0,⑫⑨⑨
 7, 9,Ｋアポロノオウジ, 48,西田雄, 1.5, 51,*  1, -14, 7, 20.7,⑤③④, 7, 7,Ｃケイティマイヒメ, 72,太宰啓, 1.2, 57,*  3,   1, 5,  9.2, ②②, 7,14,Ｊチャｰルストン, 64,長谷川, 1.1, 61,  -4,  -3, 8, 16.2, ⑤⑦, 7,11,Ｊコスモディアナ, 65,川島信, 1.2, 64,   1,*  6,14,102.5,⑮⑭⑫
 8, 5,Ｂカセドラルパレス, 67,北村友, 1.7, 50,  -3,  -7, 4,  9.5,⑪⑫⑪, 8,10,Ｆコロナガｰル, 67,北村友, 1.4, 52, -11,   7, 7, 17.1, ⑩⑩, 8,11,Ｈノボスイｰツ, 65,黛弘人, 1.1, 61,  -6,   0,14,112.3, ⑨⑧, 8,12,Ａアｰスワンハｰト, 77,小牧太, 1.3, 65,   0,*  7, 2,  4.8,⑯⑮⑬
 9,10,Ｉカムイリング, 52,小牧太, 1.9, 51,  -5,  -6, 8, 36.8,⑯⑭⑭, 9, 1,Ｉヒデフジ, 61,丸田恭, 1.4, 52, -16,* 10, 9, 75.8, ⑬⑪, 9, 1,Ｃイサミチェリｰ, 71,荻野琢, 1.1, 64, -25,* 18, 2,  5.2, ⑮⑮, 9,15,Ｌエｰティｰショパン, 58,北村友, 1.3, 63,   2,   4,15,142.7,⑬⑪⑩
10,11,Ｇキンシスタｰ, 54,田中健, 1.9, 50,   0, -15, 5, 16.6,④④②,10,11,Ｊパスタイム, 60,梶晃啓, 1.6, 52,  -2,  -1,11,155.4, ⑤⑥,10, 9,Ｏテンザンイカヅチ, 39,小牧太, 1.3, 60, -20,  10,10, 38.3, ⑭⑭,10, 8,Ｍキングアレキサンダ, 57,石橋守, 1.7, 64,   3,  -2,10, 67.2,⑪⑩⑦
11, 2,Ｌスリｰコンビナｰト, 47,太宰啓, 2.3, 46,   0, -18,13,150.0,⑥⑥⑤,11, 5,Ｌアクアブルｰマｰチ, 56,長谷川, 2.1, 48,  -8,  -2, 8, 61.9, ⑧⑨,11, 8,Ｋカルストンペｰスオ, 62,北村友, 1.3, 61, -18,   9,15,136.2, ⑬⑬,11, 4,Ｈウィアｰザスタｰ, 66,佐藤哲, 1.8, 61,   5,  -4, 8, 25.9,⑦⑥⑧
12,15,Ｊクレｰジュハクユウ, 52,浜中俊, 2.4, 47,  -3, -14,11, 76.9,⑫⑪⑫,12,13,Ｈカシノダンク, 63,安藤光, 2.3, 42, -13,   0,10,153.6, ⑫⑬,12, 2,Ｍスカイビュｰティｰ, 58,太宰啓, 1.4, 58, -19,   7,12, 50.2, ⑫⑫,12, 2,Ｃクオリティタイム, 72,飯田祐, 2.0, 62,   0,   3, 9, 34.2,⑭⑯⑭
13, 8,Ｏホッカイボンベイ, 39,中村将, 2.9, 42,  -2, -18,14,174.0,⑨⑩⑬,13,12,Ｎリネンミサイル, 52,田辺裕, 2.4, 40, -13,  -1,14,290.5, ⑪⑫,13, 5,Ｇサムライ, 66,小林久, 1.6, 54,  -4,  -9, 7, 14.2, ④⑤,13, 5,Ｇメイショウロｰツェ, 66,的場勇, 2.7, 56,*  6, -14,12, 73.1,③③③
14, 4,Ｈクレバｰチｰコ, 53,宮崎北, 3.0, 41,   0, -24,12,142.6,③⑤⑩,14, 2,Ｍメイプルブレイド, 52,田中博, 4.3, 22, -34,  -4,13,213.2, ⑭⑭,14,12,Ｎナスノアタック, 51,田中博, 2.0, 50,  -7, -12,11, 45.7, ⑧⑪,14, 3,Ｐスマｰトスパｰクル, 42,古川吉, 4.7, 43,*  5, -31,16,251.0,②②⑪
15,14,Ｐミツアキフレンド, 37,黛弘人, 4.0, 37,  -9, -17,16,532.4,⑮⑯⑯,,,,,,,,,,,,,15, 6,Ｆニシノクニカラ, 66,中舘英, 3.0, 37,* -1, -30, 4,  7.1, ②⑥,15,10,Ｎハロｰスカｰレット, 56,西田雄, 5.0, 38,   2, -27,13, 77.8,⑨⑫⑮
16, 6,Ｎトｰホウジェニｰ, 42,丸田恭, 4.2, 34,  -6, -24,15,202.5,⑬⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｏサンゴシック, 54,長谷川, 5.9, 36,   1, -34,11, 72.4,⑥⑬⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:730円 複勝:07=220円 16=1,120円 13=270円 枠連:5,000円",,,,,,,,,,,,単勝:200円 複勝:06=110円 09=190円 08=150円 枠連:570円,,,,,,,,,,,,単勝:310円 複勝:04=140円 07=410円 10=830円 枠連:810円,,,,,,,,,,,,"単勝:240円 複勝:01=140円 06=470円 13=220円 枠連:1,860円",,,,,,,,,,,
"馬連:10,070円 ワイド:07-16=3,040円 07-13=900円 13-16=2,900円",,,,,,,,,,,,馬連:790円 ワイド:06-09=350円 06-08=270円 08-09=780円,,,,,,,,,,,,"馬連:2,380円 ワイド:04-07=1,010円 04-10=1,800円 07-10=4,620円",,,,,,,,,,,,"馬連:3,060円 ワイド:01-06=1,280円 01-13=460円 06-13=2,400円",,,,,,,,,,,
"馬単:16,670円 3連複:18,730円 3連単:103,680円",,,,,,,,,,,,"馬単:1,340円 3連複:1,320円 3連単:5,780円",,,,,,,,,,,,"馬単:4,040円 3連複:19,180円 3連単:73,920円",,,,,,,,,,,,"馬単:4,960円 3連複:7,280円 3連単:33,440円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,太宰府特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｉカシノブシドｰ, 53,西田雄,, 59,  -1,*  0, 6, 13.2, ④④, 1,11,Ｃラヴドシャンクシｰ, 72,二本柳,, 77,   4,*  7, 2,  5.2,⑦⑥⑥, 1,12,Ｂシルクダイナスティ, 77,船曳文,, 71,*  2,* 13, 2,  4.5,⑤③③, 1, 7,Ｐバブルスプリングス, 67,太宰啓,, 79,   8,* 12,15, 76.1,⑧⑩⑧
 2, 3,Ａコクトｰ, 64,田面木, 0.0, 59,*  4,  -5, 1,  4.0, ②①, 2,13,Ｌレディｰビスティｰ, 59,鮫島良, 0.2, 77,   3,*  8,10, 47.4,⑬⑫⑧, 2, 4,Ａオｰミプレシャス, 77,川島信, 0.0, 70,   1,* 15, 3,  5.6,⑪⑦④, 2,14,Ｈトムウィンズ, 75,岩崎祐, 0.0, 78,   8,* 13, 8, 20.9,⑪⑪⑨
 3,10,Ｄリディック, 55,小牧太, 0.1, 58,   1,  -3, 2,  4.3, ⑤⑤, 3,16,Ｈアｰスシンボル, 65,丸田恭, 0.5, 70,*  5,  -2, 8, 36.7,⑥⑤⑤, 3,10,Ｃマイニングゴｰルド, 75,中舘英, 0.1, 70,*  2,  12, 1,  2.4,②①①, 3, 3,Ｄサンライズベガ, 79,北村友, 0.2, 76,   9,   8, 1,  3.0,⑥⑧⑥
 4, 7,Ｃヤマカツゴｰルド, 56,酒井学, 0.2, 57,  -2,  -1, 4,  6.5, ⑦⑥, 4, 1,Ａキュｰトエンブレム, 74,中舘英, 0.8, 69,*  6,  -7, 1,  2.0,③③③, 4, 7,Ｄマイネルハヤト, 74,田辺裕, 0.2, 66,   1,* 14, 6, 13.0,⑩⑥⑤, 4, 1,Ｉテントゥワン, 74,二本柳, 0.3, 76,   7,* 13,10, 31.6,⑬⑭⑫
 5, 9,Ｈキングコｰリンオｰ, 54,佐藤哲, 0.2, 56,*  2,  -5,11, 28.9, ③②, 5,10,Ｄエルベレス, 71,荻野琢, 0.9, 66,   4,  -6, 7, 30.4,⑪⑨⑦, 5, 1,Ｏインダストリアル, 57,北村友, 0.5, 67,  -3,* 16,10, 58.1,⑧⑪⑨, 5, 6,Ｅナリタトルネｰド, 78,石橋守, 0.4, 72,* 16,  -9, 6, 11.0,①①①
 6,12,Ｊフクノライジン, 48,田中博, 0.4, 54,  -8,*  1,10, 28.8, ⑪⑪, 6,14,Ｅレゼルブ, 70,北村友, 1.1, 66,   4,  -7, 6, 21.3,⑧⑧⑪, 6,16,Ｊフジマサルビｰ, 67,黛弘人, 0.9, 64,*  2,   6,12, 68.6,④②②, 6, 5,Ｂキクカラヴリイ, 81,赤木高, 0.4, 74,   4,* 16, 5,  8.4,⑮⑮⑭
 7, 8,Ｇリキドｰ, 54,荻野琢, 0.4, 54,*  4, -10, 5, 10.0, ①③, 7,15,Ｆビｰアデビル, 69,赤木高, 1.1, 63,*  7, -14, 9, 46.1,②②②, 7, 3,Ｆファイトシｰン, 73,田中健, 1.1, 65,  -2,  11, 9, 31.0,⑨⑭⑬, 7,15,Ｌステイトリｰデイズ, 72,浜中俊, 0.5, 74,  11,   1, 2,  6.5,⑦⑤⑦
 8,11,Ｋケンブリッジチｰフ, 47,安藤光, 0.7, 51,  -5,  -5,15,186.3, ⑧⑧, 8, 3,Ｋパｰルグレイピアス, 63,小牧太, 1.1, 65,   1,  -3, 5, 17.4,⑨⑩⑨, 8, 8,Ｍオリエンタルバレｰ, 63,西田雄, 1.2, 62,  -1,   8,11, 62.2,⑥⑩⑦, 8, 2,Ａフラワｰタキシｰド, 81,小牧太, 0.5, 71,* 14,  -6, 4,  7.9,③③③
