09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 4,Ｉハｰトフェルト, 30,渡辺薫, 2.5, 20,  -9, -39,12,226.0, ⑩⑪,,,,,,,,,,,,,13,16,Ｋダノンスピリット, 52,赤木高, 3.9, 41,*  3, -29,11,100.9,⑩⑦⑪,13, 7,Ｍバンブｰワｰルド, 70,和田竜, 3.0, 61,*  8, -13,11, 31.6,④④⑨
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｎユウサンチップ, 41,安藤光, 4.7, 35,  -3, -25,14,164.0,⑭⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｍマｰキスカット, 49,太宰啓, 5.1, 33,  -2, -33,10, 78.8,⑥⑭⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:390円 複勝:13=150円 02=590円 05=160円 枠連:6,490円",,,,,,,,,,,,単勝:310円 複勝:04=130円 07=110円 06=260円 枠連:290円,,,,,,,,,,,,"単勝:1,150円 複勝:07=360円 03=270円 11=600円 枠連:1,830円",,,,,,,,,,,,"単勝:750円 複勝:02=310円 04=880円 13=320円 枠連:2,530円",,,,,,,,,,,
"馬連:6,440円 ワイド:02-13=1,470円 05-13=390円 02-05=1,800円",,,,,,,,,,,,馬連:280円 ワイド:04-07=150円 04-06=490円 06-07=400円,,,,,,,,,,,,"馬連:2,310円 ワイド:03-07=890円 07-11=2,270円 03-11=1,940円",,,,,,,,,,,,"馬連:8,630円 ワイド:02-04=2,760円 02-13=1,070円 04-13=3,760円",,,,,,,,,,,
"馬単:9,860円 3連複:7,470円 3連単:57,390円",,,,,,,,,,,,"馬単:690円 3連複:1,100円 3連単:4,180円",,,,,,,,,,,,"馬単:6,060円 3連複:16,980円 3連単:95,420円",,,,,,,,,,,,"馬単:19,220円 3連複:37,590円 3連単:262,500円",,,,,,,,,,,
