09年 9月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 9月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小千谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃマドモアゼルノン, 56,吉田隼,, 59,*-11,*  6, 2,  3.9, ①①, 1,18,Ａグリッドマトリクス, 68,木幡初,, 66,*  0,   1, 1,  1.6, ③④, 1, 7,Ａシゲルアサマヤマ, 77,幸英明,, 77,*  6,  11, 1,  2.0,③③③, 1, 6,Ｈジャックボイス, 67,赤木高,, 66,  -9,   8, 8, 23.0, ③③
 2, 5,Ｄキョウエイバリュｰ, 52,丸田恭, 0.5, 53,*-13,   3, 4, 12.2, ②②, 2,16,Ｇコアレスランナｰ, 56,田中健, 0.4, 66,  -7,*  8, 7, 23.0, ⑪⑫, 2,11,Ｇスティｰルシャｰク, 70,松山弘, 0.2, 74,*  7,   7, 8, 28.8,②②②, 2,12,Ｉリルティングソング, 66,幸英明, 0.1, 65,* -6,   4,11, 38.4, ②②
 3,11,Ａエムオｰゴｰルド, 57,福永祐, 0.7, 52, -15,   3, 1,  1.8, ④④, 3, 7,Ｎエルシッド, 50,小牧太, 0.5, 64,  -7,*  6, 9, 58.3, ⑫⑩, 3, 9,Ｃヒゼンリバイバル, 72,川田将, 0.2, 76,   5,* 12, 2,  3.9,⑤⑤⑤, 3, 8,Ｅシセイカグヤ, 73,丸田恭, 0.2, 63, -12,   7, 6, 14.3, ⑦⑦
 4,12,Ｅニシノフェミニン, 52,大野拓, 0.7, 52, -17,*  5, 3,  7.0, ⑧⑤, 4, 6,Ｈマチカネビャッコ, 55,吉田隼, 0.6, 61,  -2,  -2, 8, 28.3, ⑦⑥, 4, 6,Ｌテイエムカイザｰ, 66,芹沢純, 0.3, 73,   6,  10,13,205.4,④④④, 4, 1,Ｌメイプルストリｰト, 65,中舘英, 0.3, 64, -16,* 10, 4,  7.8, ⑪⑬
 5, 2,Ｂマキシムクロｰバｰ, 56,中舘英, 0.9, 50, -13,   1, 7, 33.9, ③③, 5, 9,Ｂマリｰンルｰジュ, 67,宮崎北, 0.6, 61,  -4,   0, 6, 16.4, ⑨⑨, 5, 4,Ｂオｰルフォｰミｰ, 73,田中博, 0.7, 75,   3,  11, 5, 13.5,⑥⑧⑨, 5,15,Ｋウインバンディエラ, 65,吉田隼, 0.3, 62,  -9,   4, 9, 23.1, ⑥⑤
 6,10,Ｈトｰブプリンス, 42,中村将, 1.9, 40, -17,  -5, 9, 39.5, ⑦⑧, 6,15,Ｌポエットロリエット, 52,松山弘, 0.6, 64,  -8,*  8, 5, 16.3, ⑭⑭, 6, 8,Ｊシルクメルヴェイユ, 67,大野拓, 0.9, 73,   2,* 12,11,106.2,⑦⑩⑪, 6,11,Ｐアｰバンテｰスト, 55,大野拓, 0.3, 61,* -5,   0,16,140.8, ①①
 7, 3,Ｋデルマコルネリア, 23,中谷雄, 2.5, 36, -17, -10,11,303.1, ⑤⑥, 7,13,Ｄサイキョウアサカゼ, 63,藤岡康, 0.7, 59,  -1,  -7, 2,  5.6, ④③, 7,10,Ｉアウラスタｰ, 69,小牧太, 1.0, 73,   1,* 13, 9, 31.6,⑫⑪⑩, 7, 2,Ｂファルクス, 73,小牧太, 0.3, 63, -13,   7, 1,  2.8, ⑨⑧
 8, 4,Ｉナンヨｰスラッガｰ, 38,松山弘, 2.6, 33, -20,  -9, 8, 38.3, ⑪⑪, 8,14,Ｅアイエスプラスワン, 57,幸英明, 0.7, 63, -10,*  9, 3, 11.3, ⑯⑮, 8, 5,Ｋシトラスナイト, 66,中舘英, 1.2, 68,*  7,  -1, 4,  9.6,①①①, 8,10,Ａゴｰイングステｰジ, 79,的場勇, 0.4, 63, -21,* 14, 3,  6.7, ⑱⑱
