09年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六社特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂロｰブドヴルｰル, 62,勝浦正,, 68,*  4,*  3, 1,  2.5, ③④, 1, 6, ストロングマリオン,,宗像徹,,,,, 2,  3.5,⑥③③, 1, 9,Ｄサニｰラブカフェ, 70,武豊  ,, 68,   5,   4, 1,  3.5, ⑥⑤, 1, 1,Ｆツｰピｰス, 78,北村友,, 80,  12,   4, 5, 17.7, ②②
 2, 1,Ｃエフロレス, 61,伊藤工, 1.0, 56, -11,* 13, 3,  4.1, ⑮⑮, 2, 4, レイザストレングス,,穂苅寿,201.9,,,, 1,  3.5,③⑤④, 2, 6,Ｆハエヌキ, 69,柴田善, 0.1, 68,   6,   1, 5,  8.8, ③④, 2, 4,Ｄナミダガキラリ, 79,松岡正, 0.0, 80,  11,   7, 7, 24.5, ④④
 3, 9,Ｅベルモントダイヤ, 57,武豊  , 1.4, 56,*  4, -10, 4,  9.5, ②③, 3, 1, リバルドボｰイ,,平沢健,203.1,,,, 4, 12.9,⑩⑨⑧, 3, 8,Ｅシｰガルサリｰ, 70,三浦皇, 0.1, 68,   4,*  7, 4,  8.5, ⑨⑨, 3, 3,Ａセプタｰレイン, 82,北村宏, 0.0, 79,   5,* 16, 6, 24.2, ⑫⑫
 4, 4,Ｇコスモスプリッツァ, 54,和田竜, 1.8, 54,   1,  -9, 7, 39.2, ⑥⑤, 4,10, カシマレジェンド,,佐藤聖,203.6,,,,10, 25.0,④②②, 4,12,Ｍスティングマリｰ, 60,和田竜, 0.4, 66,   3,   5,15,225.4, ⑬⑫, 4, 9,Ｃホクレレ, 79,内田博, 0.1, 80,   6,* 13, 3,  6.0, ⑪⑪
 5, 6,Ａナドレ, 65,藤田伸, 1.9, 53,*  4, -13, 2,  3.7, ④②, 5,12, メジロマシュｰズ,,山本康,204.4,,,, 6, 13.6,⑧⑧⑦, 5, 1,Ｃニシノキンレンポ, 70,伊藤工, 0.5, 63,   1,*  6,10, 39.3, ⑮⑮, 5,16,Ｊディｰプスピリット, 77,藤田伸, 0.1, 80,   7,  11, 4,  6.3, ⑩⑨
 6, 5,Ｆハナノシルキｰ, 57,柴山雄, 2.3, 49,  -4,  -6, 5, 12.5, ⑬⑫, 6, 7, マイサンシャイン,,蓑島靖,204.8,,,, 8, 18.2,⑨⑩⑩, 6,11,Ｇゴｰルデンプライズ, 69,蛯名正, 0.8, 62,*  8,  -6,12, 41.5, ②②, 6, 6,Ｉオセアニアボス, 77,武豊  , 0.3, 76,   8,   5, 1,  3.3, ⑥⑥
 7,13,Ｈマルハチラブｰム, 52,蛯名正, 2.4, 48,   1, -14,10, 65.8, ⑦⑥, 7, 5, ステルスソニック,,五十嵐,205.5,,,, 7, 14.0,①①①, 7, 7,Ｂペチカ, 72,藤田伸, 0.8, 61,*  8,  -7, 3,  5.8, ①①, 7,13,Ｍマジックビクトリア, 74,和田竜, 0.4, 77,   6,   8,12, 32.6, ⑨⑩
 8,15,Ｉロｰズオブゴッホ, 51,武士沢, 2.4, 49,*  6, -20,11, 72.4, ①①, 8, 8, マイネルアルセｰヌ,,高野和,206.1,,,, 3,  5.7,②④⑤, 8, 2,Ｉクリノラプソディｰ, 69,横山典, 0.9, 61,   2,   2, 6, 12.2, ⑫⑬, 8, 5,Ｂメイショウマリア, 82,柴田善, 0.6, 74,   2,  11, 2,  4.3, ⑬⑭
 9,10,Ｋスプリングポピｰ, 43,北村宏, 2.5, 46,  -4,  -9,14,242.4, ⑩⑩, 9,14, ベガブラン,,浜野谷,207.3,,,,11, 42.4,⑦⑥⑥, 9,15,Ｌタツキセキ, 64,北村宏, 1.0, 59,*  7,  -7,11, 40.1, ④③, 9, 2,Ｈアロマンシェス, 77,後藤浩, 0.6, 74,   8,   3, 9, 25.6, ⑧⑧
10, 8,Ｍマイネセレネ, 41,松岡正, 2.5, 46,  -4,  -9, 8, 47.4, ⑪⑪,10, 3, ステラフィランテ,,草野太,208.7,,,, 5, 12.9,⑪⑪⑪,10, 4,Ａエムアイティアラ, 74,武士沢, 1.2, 59,   1,   1, 2,  4.4, ⑭⑭,10,18,Ｑニシノアンサｰ, 69,勝浦正, 0.7, 69,* 28, -34,17,196.5, ①①
11,12,Ｄスズノプロスタｰ, 57,郷原洋, 2.5, 47,  -1, -12, 6, 27.6, ⑨⑨,11,13, ユウタｰストライプ,,柴田大,208.8,,,,12, 65.3,⑤⑦⑨,11,10,Ｈビタｰオレンジ, 69,内田博, 1.2, 61,   6,  -5, 9, 20.7, ⑪⑧,11,11,Ｐヴンダｰ, 71,田中勝, 0.8, 74,  -1,* 14,15, 83.6, ⑱⑱
12, 3,Ｊクリスパワｰ, 45,藤岡康, 2.6, 45,  -7,  -5,15,309.5, ⑫⑬,12, 9, コスモアブソルｰト,,柴田未,210.8,,,, 9, 19.5,⑫⑫⑫,12,13,Ｋルｰトファイブ, 68,松岡正, 1.2, 60,  -2,*  6, 8, 19.9, ⑯⑯,12,10,Ｇゼンノモナルカ, 78,三浦皇, 0.8, 72,   4,   7,13, 36.4, ⑭⑬
13, 2,Ｏマリナデルレイ, 38,国分優, 2.7, 44, -10,  -3,16,361.1, ⑭⑭,13, 2, コアレスレｰサｰ,,金子光,217.3,,,,13, 77.9,⑬⑬⑬,13, 3,Ｏシャインジュエリｰ, 56,藤岡康, 1.8, 56,   3,  -6,16,291.8, ⑧⑪,13, 8,Ｋアップグレｰデッド, 76,蛯名正, 1.1, 67,  11, -11, 8, 25.4, ③③
14,14,Ｎソラウララ, 40,菊沢隆, 2.8, 48,   2, -18, 9, 60.2, ⑤⑦,,,,,,,,,,,,,14,14,Ｎデルマベガ, 57,勝浦正, 2.0, 53,   4, -11,13, 61.8, ⑩⑩,14,12,Ｌマイネルフェスタ, 76,武士沢, 1.2, 67,   1,   5,14, 37.6, ⑯⑮
15, 7, メディアトウショウ,---,高橋智, 4.0, 34, -12, -13,13,180.3, ⑯⑯,,,,,,,,,,,,,15,16,Ｊナムラテルテル, 69,後藤浩, 2.2, 51,   6, -15, 7, 18.3, ⑦⑥,15,15,Ｎジェイドファスト, 73,石神深, 1.3, 67,   1,   4,18,293.5, ⑮⑯
16,16,Ｌアイリッシュミスト, 41,田中勝, 4.4, 33,   0, -30,12, 86.9, ⑧⑧,,,,,,,,,,,,,16, 5,Ｐトｰセンクレスト, 39,草野太, 5.0, 33,   5, -38,14, 85.2, ⑤⑦,16, 7,Ｅジョウテンロマン, 78,横山典, 1.4, 63,  -1,   4,11, 31.4, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｏアサヒバロン, 71,柴山雄, 2.0, 56,   8, -19,10, 30.3, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｒキタノオｰロラ, 66,郷原洋, 2.0, 56,  11, -22,16,191.2, ⑤⑤
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
単勝:250円 複勝:11=110円 01=140円 09=210円 枠連:430円,,,,,,,,,,,,単勝:350円 複勝:06=150円 04=140円 01=280円 枠連:440円,,,,,,,,,,,,"単勝:350円 複勝:09=170円 06=240円 08=320円 枠連:1,330円",,,,,,,,,,,,"単勝:1,770円 複勝:01=720円 04=750円 03=630円 枠連:4,030円",,,,,,,,,,,
馬連:460円 ワイド:01-11=190円 09-11=370円 01-09=530円,,,,,,,,,,,,馬連:610円 ワイド:04-06=280円 01-06=750円 01-04=720円,,,,,,,,,,,,"馬連:1,650円 ワイド:06-09=640円 08-09=830円 06-08=1,340円",,,,,,,,,,,,"馬連:15,190円 ワイド:01-04=4,260円 01-03=6,120円 03-04=4,980円",,,,,,,,,,,
"馬単:790円 3連複:1,060円 3連単:3,270円",,,,,,,,,,,,"馬単:1,260円 3連複:2,280円 3連単:8,760円",,,,,,,,,,,,"馬単:2,840円 3連複:5,880円 3連単:27,130円",,,,,,,,,,,,"馬単:31,280円 3連複:88,380円 3連単:464,860円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ2100m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京王杯ｽﾌﾟﾘﾝｸﾞC ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄトウショウデザｰト, 66,藤田伸,, 62,   0,*  6, 5,  6.2, ⑨⑨, 1,14,Ａヒシセンチュリｰ, 72,内田博,, 64,   1,  -8, 1,  1.4,④④③, 1, 1,Ｇフェイクスパ, 73,蛯名正,, 75,*  1,  15, 8, 15.7,①①①, 1,11,Ｆスズカコｰズウェイ, 85,後藤浩,, 88,   7,  14, 8, 14.3, ⑦⑧
 2,15,Ｃクラブトゥギャザｰ, 66,内田博, 0.0, 64,*  6,  -1, 2,  4.8, ④③, 2, 6,Ｄクリノメダリスト, 62,横山典, 0.2, 62,  -3,* -1, 2,  8.0,⑪⑨⑦, 2,12,Ｋメイショウオニカゲ, 67,和田竜, 0.2, 76,  -1,* 17,10, 20.7,⑧⑧⑥, 2, 2,Ｃトウショウカレッジ, 88,内田博, 0.0, 89,   6,* 17, 3,  6.6, ⑨⑨
 3, 8,Ｅアシュラオｰ, 64,柴田善, 0.1, 63,   0,*  6, 4,  5.3, ⑪⑪, 3, 9,Ｂエスタｰナ, 71,柴田善, 0.3, 63,  -4,*  0, 6, 16.2,⑩⑩⑩, 3, 9,Ｊエアシャムス, 70,後藤浩, 0.3, 73,*  1,  13, 9, 18.6,②②②, 3, 4,Ｂファリダット, 88,武豊  , 0.1, 88,   4,* 18, 2,  5.0, ⑫⑬
 4, 9,Ｉダイワフラッグ, 53,蛯名正, 0.1, 61,*  6,  -4, 6,  9.4, ①①, 4, 1,Ｅメジロテンダｰ, 58,和田竜, 0.5, 58,*  5, -24, 5, 15.9,①①①, 4, 6,Ｃスリｰサンカリスマ, 75,北村友, 0.6, 73,  -3,* 17, 5,  9.3,⑨⑪⑩, 4,15,Ｎタマモホットプレイ, 82,武士沢, 0.2, 85,* 10,   8,18,248.8, ⑤④
 5,14,Ｂロｰレルカンタｰタ, 67,田中勝, 0.3, 61,  -1,*  6, 3,  5.2, ⑫⑫, 5, 3,Ｉメジロフェｰム, 49,伊藤工, 0.7, 57,   0, -16, 4, 15.7,③③④, 5, 2,Ｆメイショウコレット, 73,武豊  , 0.6, 72,*  0,  12, 6, 13.2,③③③, 5, 1,Ｌタケミカヅチ, 82,柴田善, 0.3, 86,   1,* 19, 5,  8.5, ⑰⑰
 6,10,Ａプレゼピオ, 72,三浦皇, 0.4, 60,   0,   3, 1,  4.3, ⑩⑧, 6,10,Ｈシャドウノｰト, 51,田中勝, 0.8, 57,  -3, -12, 7, 24.7,⑦⑧⑨, 6, 5,Ｅキングブライト, 74,内田博, 0.6, 74,  -2,  16, 2,  4.4,⑩⑩⑨, 6, 5,Ｇイｰスタｰ, 84,横山典, 0.3, 84,   8,  11,10, 23.7, ⑥⑦
 7, 1,Ｌユリカゴノオモイデ, 46,後藤浩, 0.7, 56,   3,  -3,11, 67.3, ⑧⑤, 7, 5,Ｆフロｰラルウインド, 58,三浦皇, 0.8, 57,  -1, -15, 3, 11.8,⑤⑥⑤, 7, 4,Ｉライトニングラン, 71,三浦皇, 0.8, 73,  -3,* 17, 4,  6.8,⑬⑫⑫, 7, 8,Ａスマイルジャック, 89,田中勝, 0.3, 86,   5,  14, 1,  4.7, ⑬⑭
 8, 7,Ｍワンモｰメント, 45,武士沢, 0.9, 55,*  5, -10, 7, 25.4, ②②, 8, 4,Ｃサスライノテイオｰ, 67,北村宏, 0.8, 54,  -3, -10, 8, 31.3,⑧⑦⑧, 8,11,Ｍアルファヨンジュン, 62,武士沢, 1.0, 68,*  0,   9,14,196.4,④⑤④, 8,13,Ｅソルジャｰズソング, 86,北村友, 0.4, 84,   6,  12, 7, 14.1, ⑪⑪
 9, 3,Ｊゴｰカイフォンテン, 53,北村友, 1.0, 53,   4,  -8,15,207.4, ⑤④, 9,13,Ｇハクサン, 54,柴山雄, 1.9, 47,  -1, -30,10,179.1,⑥⑤⑥, 9, 8,Ａマイネルアｰバニタ, 75,松岡正, 1.2, 69,  -1,  10, 1,  3.9,⑦⑦⑧, 9, 6,Ｍスピｰドタッチ, 82,藤岡康, 0.4, 83,   6,  12,11, 27.5, ⑩⑩
10, 2,Ｋノボシャｰク, 51,松岡正, 1.1, 55,  -3,   2,13,136.7, ⑭⑭,10, 2,Ｋマチカネビャッコ, 48,小林久, 2.3, 43,  -9, -19, 9, 44.2,⑭⑭⑭,10,10,Ｄニシノテンクウ, 74,伊藤工, 1.6, 65,  -1,   6,11, 21.4,⑥⑥⑦,10,18,Ｉウエスタンダンサｰ, 83,蛯名正, 0.4, 83,* 10,   5,15, 71.6, ③⑤
11,11,Ｈソヴリン, 55,勝浦正, 1.7, 50,  -1,  -7, 9, 38.2, ⑬⑬,11,11,Ｎウエスタンルパン, 38,藤岡康, 2.6, 38,  -8, -26,13,320.3,⑬⑬⑫,11,14,Ｈピサノシェンロン, 72,青木芳, 2.2, 62,  -3,   4, 7, 15.7,⑭⑭⑬,11, 9,Ｏボストンオｰ, 81,和田竜, 0.4, 83,* 10,   5,12, 42.8, ④③
12, 6,Ｏノｰティｰズファン, 16,柴山雄, 2.1, 49,  -4,  -4,16,240.2, ⑯⑯,12,12,Ｊチョットグルｰビｰ, 49,武士沢, 2.9, 38,  -5, -36,11,271.4,⑫⑪⑪,12, 3,Ｌスガノゴｰルド, 64,柴山雄, 3.0, 59,  -3,   1,12,112.0,⑫⑬⑭,12,16,Ｈマイネルファルケ, 84,松岡正, 0.4, 82,* 12,   2, 6, 10.0, ②②
13,13,Ｇダイワハンタｰ, 56,北村宏, 2.9, 40,   3, -23,12, 98.0, ③⑥,13, 8,Ｍカミノスカｰレット, 38,郷原洋, 3.0, 37,*  4, -57,12,313.0,②②②,13,13,Ｎワンダｰティンバｰ, 58,北村宏, 3.2, 53,*  0, -11,13,122.6,⑤④⑤,13, 7,Ｊリザｰブカｰド, 83,三浦皇, 0.5, 83,   2,  14, 4,  8.5, ⑮⑯
