09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｊニｰナ, 45,木幡初, 3.7, 42, -13,  -6,14,209.6, ⑮⑭,12, 9, トｰアマリｰ,---,田辺裕, 1.4, 39, -21,  -3,13,160.6, ⑫⑪,12, 8,Ｌビｰアデビル, 62,武士沢, 1.9, 62,   3,   0,10, 72.3,⑩⑨⑪,12, 5,Ｍマルブツブラボｰ, 76,武士沢, 1.2, 78,   1,* 17,15, 98.8,⑯⑯⑯
13,16,Ｏバルバロッサ, 27,石橋脩, 4.0, 42,   3, -23,12, 94.2, ⑤④,13, 7, クニサキレモネｰド,---,西田雄, 2.3, 30, -14, -18, 9,128.7, ⑧⑧,13, 9,Ｍキクジロウ, 61,柴山雄, 1.9, 66,   2,  -1,13,121.9,⑭⑪⑫,13,15,Ｉロットオブカクテル, 77,中舘英, 1.2, 72,*  8,   2,10, 40.4,①①①
14,10,Ｎエスエスサンライズ, 29,村田一, 4.3, 39, -15,  -9,16,277.6, ⑯⑯,,,,,,,,,,,,,14, 6,Ｋスプリングアｰム, 65,三浦皇, 2.2, 60,   2,  -1,11, 72.6,⑫⑭⑭,14, 8,Ｐジェイドファスト, 71,木幡初, 2.0, 69,   5,   0,13, 76.1,⑦⑧⑦
15,15,Ｐカシノライフ, 14,池崎祐, 4.3, 37,  -8, -16,15,269.9, ⑬⑮,,,,,,,,,,,,,15,11,Ｐセントラルボｰイ, 55,村田一, 2.7, 61,   2,  -8,16,341.1,⑬⑩⑩,15,10,Ｎヒシバトル, 75,大庭和, 2.2, 67,   2,   5,12, 63.5,⑫⑮⑮
16,14,Ｌリトルデビル, 41,田中博, 4.5, 38,  -1, -23,11, 83.4, ⑨⑨,,,,,,,,,,,,,16, 3,Ｏスズノユｰフォｰド, 56,郷原洋, 3.3, 54,   2, -11,15,265.1,⑧⑫⑯,16, 2,Ｏキｰプウイニング, 74,小野次, 3.0, 62,   5,  -8,16,133.3,⑥⑦⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,
単勝:550円 複勝:01=230円 08=370円 07=150円 枠連:640円,,,,,,,,,,,,"単勝:2,430円 複勝:13=720円 02=380円 06=1,020円 枠連:2,770円",,,,,,,,,,,,"単勝:2,420円 複勝:15=280円 04=110円 13=290円 枠連:690円",,,,,,,,,,,,"単勝:520円 複勝:12=230円 07=280円 14=1,090円 枠連:1,600円",,,,,,,,,,,
"馬連:3,880円 ワイド:01-08=1,260円 01-07=350円 07-08=690円",,,,,,,,,,,,"馬連:6,480円 ワイド:02-13=1,640円 06-13=3,180円 02-06=1,880円",,,,,,,,,,,,"馬連:860円 ワイド:04-15=390円 13-15=1,300円 04-13=350円",,,,,,,,,,,,"馬連:1,730円 ワイド:07-12=880円 12-14=3,880円 07-14=3,620円",,,,,,,,,,,
"馬単:6,970円 3連複:3,270円 3連単:31,040円",,,,,,,,,,,,"馬単:19,500円 3連複:34,510円 3連単:303,480円",,,,,,,,,,,,"馬単:3,680円 3連複:2,480円 3連単:25,740円",,,,,,,,,,,,"馬単:3,750円 3連複:28,920円 3連単:119,260円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝2000m 3 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,中山新春ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈコスモディアナ, 53,松岡正,, 62,  -5,*  9, 6, 10.8,⑨⑧⑥, 1,10, ピサノカルティエ,---,三浦皇,, 61, -21,* 14, 3,  5.9,⑦⑨⑦, 1,11, シュフルｰル,,金子光,,,,, 1,  2.9,①①①, 1,13,Ｎアポロフェニックス, 76,柴田善,, 86,   5,* 13, 4,  8.5, ⑦⑦
 2, 1,Ｅマスタｰギラティナ, 55,北村宏, 0.0, 60,* -2,   4, 8, 12.3,①①①, 2, 8, アｰリンダル,---,横山典, 0.0, 57, -20,  11, 1,  2.5,⑥⑥⑥, 2, 6, ヘンリｰゴンドｰフ,,横山義,217.9,,,, 2,  2.9,⑥③②, 2,10,Ｂダイワシｰクレット, 82,北村宏, 0.2, 82,   6,   9, 3,  8.0, ⑥④
 3, 4,Ａインディストラｰダ, 65,吉田隼, 0.0, 61,  -5,*  8, 1,  2.5,⑫⑨⑦, 3, 7, ブレイクナイン,---,吉田豊, 0.1, 53,*-16,   1, 6, 13.7,②②②, 3, 7, トｰセンセレニティ,,宗像徹,218.6,,,, 5, 10.5,⑧⑤④, 3, 1,Ａイｰスタｰ, 89,横山典, 0.2, 83,   1,* 14, 1,  4.8, ⑩⑧
 4, 9,Ｆホクトグレイン, 54,柴田善, 0.3, 60,* -3,   3, 3,  7.3,②②②, 4,11, マツリダガッツ,---,蛯名正, 0.1, 58, -18,   8, 4,  6.0,⑤⑤⑤, 4, 5, モリノミヤコ,,五十嵐,220.0,,,,12, 99.6,⑪⑩⑩, 4, 2,Ｌキルシュワッサｰ, 78,蛯名正, 0.2, 83,*  9,   6, 9, 14.4, ③③
 5, 7,Ｃビュｰティファイン, 58,内田博, 0.5, 57,  -4,   3, 2,  6.8,⑤⑥⑧, 5, 1, プロサｰピナ,---,木幡初, 0.2, 54, -18,   4, 5,  7.3,④③③, 5, 3, シンメイリゲル,,西谷誠,220.2,,,, 3,  6.1,⑦⑧⑥, 5, 9,Ｊメイビリｰヴ, 78,松岡正, 0.4, 80,* 11,   1,12, 28.0, ②②
