09年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2500m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美濃特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｈサンライズエルソル, 48,藤岡康,, 57, -10,*  7,12, 55.0,⑩⑧⑤, 1, 2,Ａマイネルクラリティ, 67,石橋脩,, 67, -13,* 17, 1,  1.8,⑪⑤④, 1,12,Ｊハｰマジェスティ, 66,的場勇,, 77,* 10,*  9,11, 60.7,⑪⑤③, 1, 7,Ｈコラデピｰノ, 69,田辺裕,, 82,  -3,  19, 9, 45.0,⑧⑧⑦
 2, 4,Ｏキンシスタｰ, 40,田中健, 0.8, 51,* -7,  -4, 5, 11.2,①①①, 2,16,Ｂロｰズリパブリック, 56,上村洋, 0.2, 63,*-12,  10, 2,  6.0,③②①, 2,11,Ｌレイトスプリング, 63,田中博, 0.6, 75,* 10,   3, 8, 20.9,⑨⑧⑦, 2,12,Ａダイワオｰジｰ, 79,的場勇, 0.0, 81,  -6,* 24, 2,  3.1,⑪⑪⑫
 3,16,Ｎチャｰムドリｰム, 41,中村将, 0.8, 48,* -8,  -3,13, 64.1,②②②, 3,12,Ｅテイエムメデテカ, 54,佐久間, 0.3, 61,*-11,   9, 4, 15.7,⑯③②, 3, 5,Ｃレジｰムチェンジ, 74,中舘英, 0.6, 76,   8,*  6, 2,  6.6,⑬⑫⑩, 3, 6,Ｍシングルショット, 66,鮫島良, 0.2, 78,  -4,  14, 3,  4.6,⑤⑥⑥
 4, 3,Ａハバナシガｰ, 58,千葉直, 1.1, 48, -11,*  1, 2,  6.1,⑫⑬⑭, 4,10,Ｇスタｰリｰスカイ, 54,柴原央, 0.4, 64, -14,  16, 7, 25.6,⑨⑧⑥, 4,10,Ａピエナグッドラック, 78,太宰啓, 0.7, 76,   9,*  6, 1,  1.7,⑭⑬⑪, 4, 4,Ｂブルｰリッチ, 78,中舘英, 0.4, 75,* -2,   9, 1,  2.7,③④②
 5,14,Ｍケイアイコンジン, 45,長谷川, 1.1, 53,  -9,  -3, 9, 24.8,⑥⑦⑦, 5,11,Ｊマラｰド, 52,柴山雄, 0.7, 61, -17,  16, 8, 28.3,⑭⑪⑪, 5, 9,Ｍティアップアライブ, 63,石橋脩, 1.0, 72,   8,  -1, 9, 53.5,⑧⑨⑧, 5,14,Ｄシングンリタｰンズ, 74,古川吉, 0.5, 78,  -5,  16, 6, 19.1,⑫⑫⑩
 6,10,Ｄコスモハｰモニｰ, 56,大野拓, 1.3, 50, -12,   0, 6, 11.2,⑭⑭⑪, 6,15,Ｆヤマチョウサン, 54,田中博, 0.7, 61, -14,  12,10, 43.1,⑦⑦⑦, 6, 6,Ｇアグネスヨジゲン, 69,長谷川, 1.0, 70,* 11,  -9, 6, 19.4,②①①, 6, 2,Ｇマルサンリタｰン, 70,石橋脩, 0.6, 71,* -1,   4, 4, 15.2,①①①
 7,11,Ｂインバラトゥｰラ, 58,鮫島良, 1.5, 50, -10,  -4, 3,  6.8,⑬⑨⑩, 7, 6,Ｎプロミスウェル, 43,田中健, 0.8, 56, -13,   7, 6, 20.7,②④⑤, 7, 2,Ｄアドマイヤビアン, 73,藤岡康, 1.1, 71,   9,  -2, 7, 19.7,④⑥⑤, 7,13,Ｋトミケンプライム, 67,藤岡康, 0.7, 76,  -5,  15, 7, 28.8,⑬⑬⑬
 8, 5,Ｆティダアパアパ, 52,中舘英, 1.6, 45,  -9,  -8, 4, 10.5,④④④, 8, 1,Ｈトミケンコウテイ, 54,北村友, 0.9, 63, -18,* 19, 5, 17.4,⑫⑮⑮, 8, 1,Ｂニシノフェリｰチェ, 77,田中健, 1.2, 70,   9,   0, 4, 11.8,⑥⑪⑫, 8,10,Ｅマイスタｰキング, 72,柴山雄, 0.8, 76,  -9,  18, 5, 17.8,⑭⑭⑪
 9, 2,Ｋジャンジャン, 47,古川吉, 1.6, 49, -11,  -3,15,144.3,⑪⑪⑫, 9,14,Ｏケｰジｰカチボシ, 41,田辺裕, 0.9, 57, -17,  13,13, 85.7,⑧⑩⑩, 9, 8,Ｆナンヨｰイｰスト, 70,大野拓, 1.2, 69,* 10,  -4, 3,  8.5,⑦⑦⑬, 9, 8,Ｉスモｰキｰクォｰツ, 69,田中博, 0.8, 73,  -5,  10,10, 51.4,⑩⑨⑧
