09年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,みちのく特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, プレファシオ,---,秋山真,, 62,* -9,* 13, 2,  3.9,⑨①①, 1,13,Ｄレト, 59,木幡初,, 69,*  6,*  5, 1,  3.6, ②②, 1,12,Ｄダンツクリスエス, 74,太宰啓,, 73,*  9,   2, 2,  4.4,②②②, 1, 7,Ｄファルクス, 77,宮崎北,, 78,   3,  13, 5,  7.5, ⑦⑦
 2,15, グスベリｰ,---,津村明, 0.2, 61,* -9,* 12, 4,  7.7,②③③, 2,12,Ｇタンジブルアセット, 56,丸山元, 0.3, 64,   3,   3, 5,  8.6, ③③, 2, 4,Ｂベルモントサｰガ, 78,中舘英, 0.2, 72,*  9,   0, 3,  4.4,①①①, 2,14,Ｃステラｰホｰプ, 80,柴田善, 0.0, 79,  -1,* 17, 3,  6.9, ⑨⑩
 3,12, アパッショナンテ,---,吉田豊, 0.3, 62, -11,* 15, 6, 11.6,⑧⑦⑥, 3, 9,Ｂオペラライコｰ, 62,宮崎北, 0.5, 62,  -1,*  5, 9, 26.5, ⑨⑥, 3,16,Ａスリｰサンカリスマ, 80,荻野琢, 0.4, 73,   6,*  5, 1,  4.2,⑨⑥④, 3, 6,Ｈシャトルタテヤマ, 73,赤木高, 0.1, 77,   6,   9, 9, 24.6, ⑤④
 4,11, ロｰドアビリティ,---,松田大, 0.5, 62,* -9,  10, 3,  5.1,①②②, 4, 6,Ｃドリｰムファミｰユ, 61,丸田恭, 0.6, 60,*  8,  -6, 3,  7.1, ①①, 4, 7,Ｆマコトボムケッチ, 70,津村明, 0.7, 69,   5,*  4, 5, 12.4,⑩⑧⑧, 4, 9,Ｍナムラエクシｰド, 68,津村明, 0.1, 77,  -2,* 17,13, 79.0, ⑩⑨
 5, 1, サングレアズｰル,---,宮崎北, 1.4, 52, -11,   6, 1,  3.7,④⑥④, 5,16,Ｈキングシャｰロット, 53,スボリ, 0.6, 61,   0,   2, 7, 13.4, ⑤⑤, 5,13,Ｉゴｰルデンハインド, 67,後藤浩, 0.7, 68,*  8,  -3, 4,  5.5,③③③, 5, 2,Ａエｰブダッチマン, 81,吉田豊, 0.2, 76,* 10,   4, 2,  5.9, ①①
 6,10, アモｰレマテルノ,---,武英智, 1.7, 51, -10,   1,14, 95.0,③④⑤, 6, 8,Ｉケイエスケイト, 52,村田一, 0.7, 60,  -1,   2, 4,  7.2, ⑧⑦, 6, 9,Ｍトップオブパンチ, 63,江田照, 0.8, 68,   6,   1,10, 32.1,⑬⑦⑥, 6, 8,Ｉヴァイスハイト, 72,古川吉, 0.3, 76,  -4,* 16, 7, 12.2, ⑪⑪
 7,13, ジェットカフェ,---,丸田恭, 1.8, 50, -10,   0, 7, 17.2,⑥⑤⑦, 7, 3,Ｋユキノラムセス, 47,田辺裕, 0.7, 59,  -4,*  4, 6, 10.7, ⑫⑧, 7,10,Ｊメイショウロッコｰ, 67,吉田豊, 1.5, 66,   5,  -1, 7, 15.6,⑮⑪⑩, 7, 5,Ｅショウナンダンク, 76,中舘英, 0.3, 75,*  8,   4, 1,  4.0, ②②
 8, 5, アップビｰトバイオ,---,太宰啓, 2.8, 43, -12,  -4, 5, 11.5,⑤⑩⑧, 8, 7,Ａバクシンカｰリｰ, 67,吉田豊, 0.8, 58,  -4,   3, 2,  4.1, ⑩⑫, 8, 8,Ｋジョウノガｰベラ, 67,西田雄, 1.6, 65,   5,  -1,14,109.4,⑪⑫⑪, 8, 3,Ｊケンブリッジエル, 72,江田照, 0.4, 73,   5,   6,10, 25.8, ③③
