09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,09年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｉメイショウサライ, 90,藤岡康, 2.1, 76,   9,   3,11, 66.0,⑫⑬⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｍキングブレｰヴ, 88,池添謙, 2.3, 73,   9,   0,13,112.5,⑩⑪⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｆドンクｰル, 91,藤岡佑, 2.5, 72,   9,  -1,14,174.0,⑪⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｏトシナギサ, 83,川田将, 4.7, 58,* 13, -30, 6, 16.7,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-1),,,,,,,,,,,
"単勝:150円 複勝:01=110円 03=520円 05=970円 枠連:1,510円",,,,,,,,,,,,"単勝:900円 複勝:07=300円 04=200円 06=1,010円 枠連:1,830円",,,,,,,,,,,,"単勝:1,560円 複勝:07=330円 09=170円 03=150円 枠連:620円",,,,,,,,,,,,"単勝:570円 複勝:16=230円 11=530円 01=330円 枠連:3,160円",,,,,,,,,,,
"馬連:1,510円 ワイド:01-03=540円 01-05=1,330円 03-05=5,500円",,,,,,,,,,,,"馬連:1,770円 ワイド:04-07=700円 06-07=2,930円 04-06=2,360円",,,,,,,,,,,,"馬連:3,690円 ワイド:07-09=1,040円 03-07=700円 03-09=370円",,,,,,,,,,,,"馬連:6,590円 ワイド:11-16=1,990円 01-16=1,110円 01-11=2,660円",,,,,,,,,,,
"馬単:1,970円 3連複:12,530円 3連単:31,050円",,,,,,,,,,,,"馬単:4,430円 3連複:18,730円 3連単:103,940円",,,,,,,,,,,,"馬単:9,040円 3連複:3,530円 3連単:39,620円",,,,,,,,,,,,"馬単:11,350円 3連複:18,290円 3連単:109,230円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ききょうｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅタニノエポレット, 59,武豊  ,, 67,   3,* -4,10, 35.0, ⑨⑩, 1, 5,Ｂアンディｰフロイデ, 63,古川吉,, 65,* -1,*  1, 2,  3.4, ③③, 1, 9,Ａダッシャｰゴｰゴｰ, 72,佐藤哲,, 67,  -1,*  1, 1,  3.5, ④⑤, 1, 9,Ａアドマイヤアゲイン, 79,安藤勝,, 74,  11,*  0, 1,  1.9,⑨⑥④
 2,13,Ｋグリュｰネワルト, 41,藤岡佑, 0.1, 66,*  6, -12, 4, 12.7, ③③, 2,15,Ｇハンサムウｰマン, 52,藤岡佑, 0.0, 64,  -2,*  2, 8, 39.4, ④④, 2, 7,Ｈニシノモレッタ, 59,和田竜, 0.3, 65,*  0,  -4, 6, 10.9, ③③, 2, 3,Ｃディアマジェスティ, 77,四位洋, 0.2, 75,  10,   0, 3,  5.7,⑥⑤⑥
