06年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂロｰレルハンバｰバ, 58,大野拓,, 57,   0,* -1, 2,  3.2, ②②, 1, 4,Ｉブレｰブソルジャｰ, 46,蛯名正,, 57, -10,*  9, 8, 17.5,⑩⑧⑦, 1,12,Ｃヤクモアクティヴ, 67,横山義,, 76,   3,* 16, 7, 21.7,⑦⑥③, 1,10,Ｅキｰプザフェイス, 71,田中勝,, 76,   0,* 16, 3,  6.6, ⑩⑨
 2, 3,Ｃベルモントエｰス, 58,穂苅寿, 0.0, 65,*  6,  -5, 1,  2.4, ①①, 2,13,Ｂワンダｰブレベスト, 54,石橋脩, 0.7, 48,* -3, -11, 2,  7.0,①①①, 2,13,Ｊスウィｰプアロング, 61,塚田祥, 0.1, 68,*  4,   4, 9, 25.3,①①①, 2, 6,Ｋプライベｰトエリア, 67,柴田善, 0.1, 70,*  9,   7,10, 42.9, ②③
 3, 4,Ｉノｰブルスマッシュ, 38,石神深, 0.5, 53,  -2,* -2,12,258.7, ⑤⑤, 3, 3,Ｃコスモタイド, 54,中舘英, 0.8, 48,* -4,  -9, 1,  2.0,⑤②②, 3, 9,Ａパルエクスプレス, 68,蛯名正, 0.1, 74,   4,  12, 1,  2.2,④④③, 3, 8,Ｄアドマイヤキラメキ, 72,菅原勲, 0.2, 73,  -1,  15, 5, 10.9, ⑫⑫
 4,12,Ａヤマテプログレス, 59,丹内祐, 1.2, 47,   1, -14, 6, 15.8, ②②, 4, 5,Ｄトｰセンマンボ, 54,小野次, 1.1, 46,* -4, -12, 6, 11.5,②②②, 4, 6,Ｉクラヴィｰア, 62,中舘英, 0.6, 64,*  2,   1, 4,  7.3,④④③, 4,14,Ａマルカフレンチ, 82,川原正, 0.2, 71,   5,  10, 1,  2.1, ⑤⑤
 5,15,Ｄフジマサリｰダｰ, 55,吉田豊, 1.2, 45,  -4,  -7, 3,  5.9, ⑦⑤, 5, 1,Ｍカミノコンコルド, 23,小林淳, 1.5, 44,  -8,  -8,10,185.2,⑧⑥⑤, 5, 5,Ｋバンチフラワｰ, 57,穂苅寿, 0.6, 72,   1,  15, 6, 20.6,⑩⑩⑩, 5, 1,Ｈケイアイフウジン, 68,大西直, 0.2, 68,* 12,   3, 6, 17.5, ①①
 6,14,Ｊオンワｰドカルマ, 34,水野貴, 1.5, 42,  -4, -10, 8, 49.5, ⑦⑧, 6,11,Ｊメサジェ, 41,高野和, 2.0, 36,* -6, -22,12,203.8,②②④, 6, 3,Ｇマイネルプログレス, 64,菅原勲, 0.8, 70,   0,  13, 3,  6.1,⑪⑩⑩, 6,12,Ｆハニｰハント, 70,江田照, 0.3, 70,   3,  11, 9, 40.0, ⑧⑧
 7, 8,Ｆネゴシエｰション, 48,田辺裕, 2.1, 36,  -5, -15, 4, 10.7, ⑨⑧, 7,15,Ｇベストポディウム, 46,吉田豊, 2.5, 38, -11, -12, 5,  9.2,⑫⑩⑨, 7,10,Ｅシンボリユタカオｰ, 66,田中博, 0.8, 63,   1,   2, 5, 14.6,④⑥③, 7,15,Ｃナリタダンディ, 77,河北通, 0.3, 70,   3,  11, 4,  8.8, ⑧⑨
 8, 7,Ｇオリエンタルゲイル, 45,吉田隼, 2.1, 36,  -3, -18, 5, 11.1, ⑤⑤, 8, 7,Ｈダイワパンテｰラ, 46,吉田隼, 2.6, 36, -12, -12, 4,  8.8,⑫⑩⑪, 8, 2,Ｂカルストンペｰスオ, 68,川原正, 0.9, 68,  -4,* 17,11, 50.0,⑪⑫⑫, 8,13,Ｌネオナｰト, 66,二本柳, 0.3, 69,   6,   8, 7, 24.7, ⑤⑤
