06年 8月20日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,06年 8月20日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知床特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａアンソロジｰ, 63,柴山雄,, 51, -12,   2, 2,  2.6, ②②, 1,13, オｰソリティバイオ,---,本田優,, 52,*-20,  16, 5, 10.4,②②②, 1,10,Ｌメイショウホクシン, 40,芹沢純,, 68,* -2,   8,12, 73.1, ①①, 1,13,Ｈエアサバス, 68,安藤勝,, 79,  -4,* 26, 5, 12.6,⑤④③
 2, 8,Ｃバクシンヒロイン, 52,本田優, 0.2, 51, -20,*  7, 3,  9.6, ⑦⑥, 2,12, ニシノプライド,---,四位洋, 0.2, 43,*-18,  10, 2,  2.8,①①①, 2,11,Ｈダノンエトランゼル, 55,加藤士, 0.3, 61,  -7,   6, 6, 20.8, ②②, 2, 8,Ｉオリオンオンサイト, 68,岩田康, 0.4, 59,* -3,  10, 1,  3.5,②②②
 3, 1,Ｅマロンラッシュ, 42,佐藤哲, 0.3, 47, -16,   2, 6, 31.8, ⑤③, 3, 1, スズカサンバ,---,武豊  , 0.5, 55, -26,* 20, 1,  2.6,⑧⑥⑤, 3, 8,Ｃスプリングジュラ, 64,五十嵐, 0.7, 54,  -7,   2, 4,  8.6, ②②, 3, 9,Ｇディｰプウイング, 68,四位洋, 0.6, 78, -12,* 28, 4,  7.6,⑬⑫⑧
 4, 9,Ｆノボスイｰツ, 41,北村宏, 0.3, 46, -15,   0, 7, 32.4, ④③, 4, 8, ラフィナｰル,---,秋山真, 0.6, 38,*-20,   8, 3,  8.8,③②③, 4, 9,Ｅキシュウマドンナ, 62,秋山真, 0.8, 57, -13,   7, 3,  8.4, ⑤⑤, 4,11,Ｄハギノプリンセス, 70,柴山雄, 0.6, 71, -10,* 24, 7, 12.7,⑪⑨⑧
 5, 7,Ｄユキノマｰガレット, 44,須貝尚, 0.9, 35, -20,  -4, 4, 16.3, ⑦⑦, 5, 4, オｰスミプランドル,---,安藤勝, 1.0, 44, -27,  16, 4, 10.3,⑨⑦④, 5, 4,Ｉドリｰムシｰカｰ, 53,本田優, 0.9, 55, -15,   7, 8, 22.5, ⑥⑤, 5, 2,Ｌコスモメルベｰユ, 54,川島信, 0.7, 54,  -4,   7, 8, 22.5,③②③
 6, 6,Ｉドナプレミア, 31,小林徹, 0.9, 36, -24,   0, 8, 45.4, ⑨⑦, 6, 3, グランメルヴィｰユ,---,古川吉, 1.2, 48, -28,* 19, 6, 13.6,⑩⑨⑦, 6, 7,Ｇスカイルミエｰル, 57,小林徹, 0.9, 54, -21,*  9, 5, 15.8, ⑨⑦, 6, 1,Ｂエイシンサリヴァン, 76,藤田伸, 0.9, 63,  -7,  18, 2,  4.4,⑧⑦⑦
 7, 5,Ｇレパティヌｰル, 40,菊沢隆, 1.0, 34, -24,  -1,11,156.7, ⑨⑩, 7, 9, ピンクキャンドル,---,柴山雄, 1.4, 41, -28,  16, 9, 37.7,⑫⑨⑦, 7, 3,Ｄアルファキャスパｰ, 63,藤田伸, 1.1, 54, -23,* 10, 2,  6.5, ⑪⑨, 7,15,Ａミヤコノカｰン, 76,北村宏, 0.9, 72, -10,* 26, 6, 12.7,⑪⑫⑫
 8, 2,Ｂコパノスケ, 58,横山典, 1.0, 32,*-11, -17, 1,  1.9, ②①, 8,14, ビッグジャガｰ,---,津村明, 2.2, 16, -25,  -9,10, 40.9,⑤④⑤, 8, 6,Ｆメジロドルフィン, 60,川島信, 1.4, 48, -18,   4,11, 59.0, ⑦⑦, 8,10,Ｃトウショウパワｰズ, 74,武豊  , 1.0, 57,  -5,  12, 3,  4.6,⑤⑥⑤
 9,11,Ｈウインエトワｰル, 34,小島太, 1.8, 21, -28, -14, 5, 19.2, ⑨⑪, 9, 6, マイネルドナｰル,---,武幸四, 3.2,  3, -33,  -6, 7, 31.6,⑫⑪⑪, 9,12,Ｋミズホユウセイ, 51,柴原央, 1.6, 45, -18,   2,10, 33.8, ⑦⑨, 9, 5,Ｊマイネシャｰナ, 68,菊沢隆, 1.3, 68, -12,  24, 9, 36.4,⑭⑮⑪
10, 3,Ｋプリフェクト,-70,四位洋, 2.1,  0, -16, -26,10,115.7, ⑤⑦,10,10, イｰガデザイア,---,川島信, 3.5, -9, -35,  -7, 8, 34.9,⑭⑫⑫,10, 2,Ａデアレガロ, 69,的場勇, 1.6, 42, -21,   2, 9, 32.2, ⑨⑨,10, 7,Ｋアドミラルトラップ, 54,松田大, 1.4, 53,  -4,   3,10, 46.0,④④⑤
11, 4,Ｊマルダイロマン, 30,秋山真, 2.7,-49,* -8, -43, 9, 47.0, ①③,11, 5, トヨマ,---,的場勇, 3.6,-50, -29, -24,12,184.0,⑥⑦⑩,11, 1,Ｂヤマニンデュエル, 67,四位洋, 1.7, 44,* -4,  -8, 1,  1.8, ②②,11, 4,Ｆミスタｰシｰザ, 69,長谷川, 1.7, 51, -13,  15,14,106.3,⑮⑭⑭
,,,,,,,,,,,,12, 7, タグライディｰン,---,芹沢純, 4.8, 4.8---, -23, -50,13,220.0,③④⑨,12, 5,Ｊロンジェ, 52,津村明, 2.4, 35, -27,  -2, 7, 21.3, ⑫⑫,12, 3,Ｅスｰパｰキャノン, 70,津村明, 2.1, -4,*  4, -33,11, 51.9,①①①
,,,,,,,,,,,,13, 2, テイエムアッパレ,---,高井彰, 5.9, 5.9---, -35, -44,14,223.6,⑥⑫⑬,,,,,,,,,,,,,13,14,Ｍゲイリｰアイトｰン, 53,的場勇, 2.1, 49,  -7,   0,15,174.9,⑦⑦⑩
,,,,,,,,,,,,14,11, マルハチアラウンド,---,佐藤哲, 6.9, 6.9---, -36, -57,11,128.8,⑩⑭⑭,,,,,,,,,,,,,14, 6,Ｎハンシンテイオｰ, 49,秋山真, 2.4, 48,  -8,  -2,12, 63.9,⑧⑨⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏキタサンメッセｰジ, 48,須貝尚, 3.8, -2,  -9, -21,13, 85.9,⑩⑨⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
